,Artist,Scrape_Date,Search_Name,Joined,Subscribers,Total_Views,Published,Title,Category,Duration,Views,Likes,Dislikes,Paid,Family_Friendly,URL
0,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2018-11-16 00:00:00.000000,malibu - barney kessel (jazz guitar transcription!),Film & Animation,2.2,13247,1510,1,False,True,https://www.youtube.com/watch?v=qwCmeActUeE
1,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2018-11-11 00:00:00.000000,sweet tooth,Film & Animation,2.3,69348,8034,18,False,True,https://www.youtube.com/watch?v=WudXSpQwUnY
2,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2018-11-04 00:00:00.000000,a thing about chords!,Film & Animation,1.9166666666666665,147325,22700,21,False,True,https://www.youtube.com/watch?v=uINxIvwK1eo
3,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2018-10-31 00:00:00.000000,griffin's noise,Film & Animation,0.55,185326,17405,36,False,True,https://www.youtube.com/watch?v=e1LOYhMe0ys
4,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2018-10-23 00:00:00.000000,ghost choir 👻🎵,Film & Animation,1.5,1145737,173996,230,False,True,https://www.youtube.com/watch?v=kXF3VYYa5TI
5,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2018-10-06 00:00:00.000000,GARBAGE (a song),Film & Animation,2.216666666666667,136669,14225,32,False,True,https://www.youtube.com/watch?v=G00HiZHlRzg
6,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2018-10-05 00:00:00.000000,testin' out vulf compressor with some FUNK,Film & Animation,1.1833333333333333,32322,3154,4,False,True,https://www.youtube.com/watch?v=zFTXdFxgfyQ
7,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2018-08-23 00:00:00.000000,MR BARKLEY!!!,Film & Animation,0.38333333333333336,199528,11983,16,False,True,https://www.youtube.com/watch?v=ap1nDTMbUYs
8,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2018-07-12 00:00:00.000000,🎵 ICE CREAM SONGS 🎵,Film & Animation,1.5666666666666667,485231,27725,56,False,True,https://www.youtube.com/watch?v=ox_-BOCLv8s
9,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2018-06-26 00:00:00.000000,thumbnail (ft. brian david gilbert),Film & Animation,3.1,131201,8806,21,False,True,https://www.youtube.com/watch?v=hZmaoIyE7xo
10,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2018-05-26 00:00:00.000000,B O N E S,Film & Animation,1.9666666666666668,118953,11656,37,False,True,https://www.youtube.com/watch?v=E1M0i7nrDig
11,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2018-05-26 00:00:00.000000,the golden hour,Film & Animation,2.0,137490,7765,10,False,True,https://www.youtube.com/watch?v=FlAahnk74x4
12,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2018-05-01 00:00:00.000000,keys,Film & Animation,1.6333333333333333,89198,7459,14,False,True,https://www.youtube.com/watch?v=XXZeqPMue0I
13,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2018-04-09 00:00:00.000000,M A T T    D O Y L E ? ? ?,Film & Animation,0.45,222089,10228,19,False,True,https://www.youtube.com/watch?v=fDwmndPI3yc
14,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2018-03-30 00:00:00.000000,hello world,Film & Animation,1.9333333333333333,1561914,91994,330,False,True,https://www.youtube.com/watch?v=Yw6u6YkTgQ4
15,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2018-03-14 00:00:00.000000,a talking cat???,Film & Animation,1.4833333333333334,355063,17641,42,False,True,https://www.youtube.com/watch?v=zKv4WlpeczM
16,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2018-02-23 00:00:00.000000,G O O S E B U M P S,Film & Animation,0.7666666666666667,246941,11305,18,False,True,https://www.youtube.com/watch?v=LxZNrg2DVnQ
17,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2018-01-28 00:00:00.000000,asymptotic,Film & Animation,1.8666666666666667,335341,19299,67,False,True,https://www.youtube.com/watch?v=SEbzTe0CzT8
18,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2018-01-21 00:00:00.000000,twitter jam videos 2016-2017,Film & Animation,38.016666666666666,30821,1924,3,False,True,https://www.youtube.com/watch?v=VdR1ksrn6vQ
19,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2018-01-17 00:00:00.000000,MOUTH!,Film & Animation,1.0333333333333334,131991,12925,27,False,True,https://www.youtube.com/watch?v=RGS_AVHVAvA
20,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2017-11-17 00:00:00.000000,let's make a beat!,Film & Animation,2.05,68001,3679,7,False,True,https://www.youtube.com/watch?v=FcEQ1CAgaXg
21,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2017-11-02 00:00:00.000000,cromslor,Film & Animation,0.9666666666666667,538969,16959,53,False,True,https://www.youtube.com/watch?v=hS8_bUBXaOY
22,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2017-11-02 00:00:00.000000,heyyyy 👏  👏  griffin 👏  👏,Film & Animation,0.35,510621,20730,50,False,True,https://www.youtube.com/watch?v=_yhThNaYCVo
23,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2017-11-02 00:00:00.000000,play with me!,Film & Animation,0.5166666666666667,337331,12291,29,False,True,https://www.youtube.com/watch?v=Z2f9bz5_2dM
24,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2017-11-02 00:00:00.000000,griffin's metamorphosis,Film & Animation,0.45,366842,14692,22,False,True,https://www.youtube.com/watch?v=m29U5IIoCM4
25,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2017-09-24 00:00:00.000000,wario time,Film & Animation,0.38333333333333336,304243,23218,119,False,True,https://www.youtube.com/watch?v=aegAuQ2_xhA
26,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2017-09-14 00:00:00.000000,ukulele,Film & Animation,1.4833333333333334,158066,7925,22,False,True,https://www.youtube.com/watch?v=hXrSE-pQOsk
27,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2017-08-19 00:00:00.000000,dogsitting,Film & Animation,1.2833333333333332,72016,5504,14,False,True,https://www.youtube.com/watch?v=9FWsMtKMu0Q
28,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2017-08-12 00:00:00.000000,pool vibes,Film & Animation,1.8833333333333333,111479,6407,7,False,True,https://www.youtube.com/watch?v=HuCy-NUfibA
