ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
Diddly ASMR,2019-02-20 02:13:34.555211,23,2018-07-04 00:00:00.000000,39425,2554876,2019-02-08 00:00:00.000000,ASMR Tingly Tapping & Hair Brushing,Entertainment,29.02,42685,1091,68,False,True,https://www.youtube.com/watch?v=Z04iw33sTDU,UCdvYSTbhmzWgWyfGnhet03Q
Diddly ASMR,2019-02-20 02:13:34.555211,23,2018-07-04 00:00:00.000000,39425,2554876,2019-02-02 00:00:00.000000,Fall Asleep in Less Than 20 Minutes to Shadowed Hand Movements ASMR,Entertainment,18.83,15033,627,15,False,True,https://www.youtube.com/watch?v=h6unp-bGksE,UCdvYSTbhmzWgWyfGnhet03Q
Diddly ASMR,2019-02-20 02:13:34.555211,23,2018-07-04 00:00:00.000000,39425,2554876,2019-01-18 00:00:00.000000,ASMR Tapping To Help You Sleep ♥,Entertainment,23.63,89621,1937,108,False,True,https://www.youtube.com/watch?v=kJRhP5idtWg,UCdvYSTbhmzWgWyfGnhet03Q
Diddly ASMR,2019-02-20 02:13:34.555211,23,2018-07-04 00:00:00.000000,39425,2554876,2019-01-04 00:00:00.000000,ASMR Mouth Sounds & Slow Hand Movements,Entertainment,16.13,68341,1705,95,False,True,https://www.youtube.com/watch?v=4Nk1ybTihBc,UCdvYSTbhmzWgWyfGnhet03Q
Diddly ASMR,2019-02-20 02:13:34.555211,23,2018-07-04 00:00:00.000000,39425,2554876,2018-12-23 00:00:00.000000,ASMR Lighting Matches for Relaxation 🔥,Entertainment,17.8,27729,1041,35,False,True,https://www.youtube.com/watch?v=VCgdMTANKfU,UCdvYSTbhmzWgWyfGnhet03Q
Diddly ASMR,2019-02-20 02:13:34.555211,23,2018-07-04 00:00:00.000000,39425,2554876,2018-12-15 00:00:00.000000,ASMR Ear Cupping & Deep Brain Massage,Entertainment,23.98,126975,2328,98,False,True,https://www.youtube.com/watch?v=4wJvhI9alTs,UCdvYSTbhmzWgWyfGnhet03Q
Diddly ASMR,2019-02-20 02:13:34.555211,23,2018-07-04 00:00:00.000000,39425,2554876,2018-12-10 00:00:00.000000,ASMR Tingly Trigger Words & Hand Movements,Entertainment,30.87,136188,2775,135,False,True,https://www.youtube.com/watch?v=BcfxBR9rp4A,UCdvYSTbhmzWgWyfGnhet03Q
Diddly ASMR,2019-02-20 02:13:34.555211,23,2018-07-04 00:00:00.000000,39425,2554876,2018-12-01 00:00:00.000000,ASMR Face Brushing & Breathy Whispers for Sleep,Entertainment,15.65,140201,2657,127,False,True,https://www.youtube.com/watch?v=9JBxmqkKi8Y,UCdvYSTbhmzWgWyfGnhet03Q
Diddly ASMR,2019-02-20 02:13:34.555211,23,2018-07-04 00:00:00.000000,39425,2554876,2018-11-23 00:00:00.000000,ASMR Tweezing Your Eyebrows (Up-Close Personal Attention ♥),Entertainment,15.47,45898,1162,56,False,True,https://www.youtube.com/watch?v=7HVvtCBQvBo,UCdvYSTbhmzWgWyfGnhet03Q
Diddly ASMR,2019-02-20 02:13:34.555211,23,2018-07-04 00:00:00.000000,39425,2554876,2018-11-17 00:00:00.000000,ASMR Rainbow Mechanical Keyboard Typing,Entertainment,15.27,167419,2947,264,False,True,https://www.youtube.com/watch?v=0CwxjrAMtXg,UCdvYSTbhmzWgWyfGnhet03Q
