ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
Milou Jonas,2019-01-07 06:08:44.517236,14,2015-09-06 00:00:00.000000,17,1878,2016-05-10 00:00:00.000000,Mijn schoenen stace laten zien,People & Blogs,1.02,121,0,4,False,True,https://www.youtube.com/watch?v=KYNFpD7CRk8,UC00FXF0H17mDuoYGPh24Wkg
Milou Jonas,2019-01-07 06:08:44.517236,14,2015-09-06 00:00:00.000000,17,1878,2016-04-14 00:00:00.000000,Korte iving routine,People & Blogs,5.6,136,2,4,False,True,https://www.youtube.com/watch?v=IJ2PkkaZnzc,UC00FXF0H17mDuoYGPh24Wkg
Milou Jonas,2019-01-07 06:08:44.517236,14,2015-09-06 00:00:00.000000,17,1878,2016-04-03 00:00:00.000000,Dansen op no vilter ik ga deze dans doen op de eind voorsteling tanja als je dit kijkt dit doen we,People & Blogs,1.52,28,1,4,False,True,https://www.youtube.com/watch?v=7so1JPhk_JU,UC00FXF0H17mDuoYGPh24Wkg
Milou Jonas,2019-01-07 06:08:44.517236,14,2015-09-06 00:00:00.000000,17,1878,2016-03-20 00:00:00.000000,Moestuintjes,People & Blogs,7.82,125,2,4,False,True,https://www.youtube.com/watch?v=AZZLkkZH-7w,UC00FXF0H17mDuoYGPh24Wkg
Milou Jonas,2019-01-07 06:08:44.517236,14,2015-09-06 00:00:00.000000,17,1878,2016-03-20 00:00:00.000000,Ariana grande haar maaken en meening over gekleurde pet,People & Blogs,5.68,51,0,1,False,True,https://www.youtube.com/watch?v=XZChfFEAFZY,UC00FXF0H17mDuoYGPh24Wkg
Milou Jonas,2019-01-07 06:08:44.517236,14,2015-09-06 00:00:00.000000,17,1878,2016-03-19 00:00:00.000000,Mededeling speletjes dag,People & Blogs,5.55,114,1,4,False,True,https://www.youtube.com/watch?v=PI0lJObW65I,UC00FXF0H17mDuoYGPh24Wkg
Milou Jonas,2019-01-07 06:08:44.517236,14,2015-09-06 00:00:00.000000,17,1878,2016-03-15 00:00:00.000000,Lekere lunch maaken,People & Blogs,5.08,104,2,1,False,True,https://www.youtube.com/watch?v=8y_-ZmfOFto,UC00FXF0H17mDuoYGPh24Wkg
Milou Jonas,2019-01-07 06:08:44.517236,14,2015-09-06 00:00:00.000000,17,1878,2016-03-15 00:00:00.000000,Met aisha en manahiel,People & Blogs,4.42,135,3,4,False,True,https://www.youtube.com/watch?v=--4O8QRiCKQ,UC00FXF0H17mDuoYGPh24Wkg
Milou Jonas,2019-01-07 06:08:44.517236,14,2015-09-06 00:00:00.000000,17,1878,2016-03-15 00:00:00.000000,Daneen op b brave tot in de nacht,People & Blogs,3.23,224,2,6,False,True,https://www.youtube.com/watch?v=pPg__zo0q04,UC00FXF0H17mDuoYGPh24Wkg
Milou Jonas,2019-01-07 06:08:44.517236,14,2015-09-06 00:00:00.000000,17,1878,2016-03-04 00:00:00.000000,Rare cips proeven,People & Blogs,5.62,113,1,1,False,True,https://www.youtube.com/watch?v=GeCnSX7Wi8M,UC00FXF0H17mDuoYGPh24Wkg
Milou Jonas,2019-01-07 06:08:44.517236,14,2015-09-06 00:00:00.000000,17,1878,2016-02-26 00:00:00.000000,Dansen op niemand van ronie flex en mister polska,People & Blogs,2.78,236,5,8,False,False,https://www.youtube.com/watch?v=iQWbPhTV5x0,UC00FXF0H17mDuoYGPh24Wkg
Milou Jonas,2019-01-07 06:08:44.517236,14,2015-09-06 00:00:00.000000,17,1878,2016-01-22 00:00:00.000000,Shop blog priemark en kruitvat,People & Blogs,4.18,94,5,1,False,False,https://www.youtube.com/watch?v=_BQxUYTKEus,UC00FXF0H17mDuoYGPh24Wkg
Milou Jonas,2019-01-07 06:08:44.517236,14,2015-09-06 00:00:00.000000,17,1878,2016-01-10 00:00:00.000000,Mijn kast laaten zien ♥,People & Blogs,13.92,71,3,1,False,True,https://www.youtube.com/watch?v=AfRPQichG2g,UC00FXF0H17mDuoYGPh24Wkg
Milou Jonas,2019-01-07 06:08:44.517236,14,2015-09-06 00:00:00.000000,17,1878,2015-11-06 00:00:00.000000,Leker eete,People & Blogs,13.02,310,10,2,False,True,https://www.youtube.com/watch?v=ABIAvLcwF1w,UC00FXF0H17mDuoYGPh24Wkg
