ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
Alesso,2019-01-28 05:33:54.280220,71,2010-04-05 00:00:00.000000,1879082,600255408,2018-11-30 00:00:00.000000,Alesso - Tilted Towers,Music,4.33,1875505,9849,709,False,True,https://www.youtube.com/watch?v=i1y8gArefd0,UC05i95k_replaced_w8CvrtZ_replaced_yGTob7A
Alesso,2019-01-28 05:33:54.280220,71,2010-04-05 00:00:00.000000,1879082,600255408,2018-10-15 00:00:00.000000,Alesso - REMEDY (Extended Mix),Music,4.42,2147916,26336,556,False,True,https://www.youtube.com/watch?v=nQysjpk1X5M,UC05i95k_replaced_w8CvrtZ_replaced_yGTob7A
Alesso,2019-01-28 05:33:54.280220,71,2010-04-05 00:00:00.000000,1879082,600255408,2018-08-31 00:00:00.000000,Alesso - REMEDY (Official Music Video),Music,4.97,48918591,285091,13243,False,True,https://www.youtube.com/watch?v=vB67ddBhO1c,UC05i95k_replaced_w8CvrtZ_replaced_yGTob7A
Alesso,2019-01-28 05:33:54.280220,71,2010-04-05 00:00:00.000000,1879082,600255408,2018-07-29 00:00:00.000000,Alesso | Tomorrowland 2018 Weekend 2 (Full Set LIVE),Music,70.5,3905635,27664,812,False,True,https://www.youtube.com/watch?v=DsXmpzik9Ic,UC05i95k_replaced_w8CvrtZ_replaced_yGTob7A
Alesso,2019-01-28 05:33:54.280220,71,2010-04-05 00:00:00.000000,1879082,600255408,2018-04-23 00:00:00.000000,Alesso x Rudy [Original Song] | Alesso & Rudy Mancuso,Music,3.75,1565773,44670,1323,False,True,https://www.youtube.com/watch?v=h208HbsyTzs,UC05i95k_replaced_w8CvrtZ_replaced_yGTob7A
Alesso,2019-01-28 05:33:54.280220,71,2010-04-05 00:00:00.000000,1879082,600255408,2018-02-07 00:00:00.000000,Anitta - Vai Malandra (Alesso & KO:YU Remix) with Anwar Jibawi | Official Video,Music,3.58,4131578,96980,8791,False,True,https://www.youtube.com/watch?v=p55AlBd8XDU,UC05i95k_replaced_w8CvrtZ_replaced_yGTob7A
Alesso,2019-01-28 05:33:54.280220,71,2010-04-05 00:00:00.000000,1879082,600255408,2018-01-23 00:00:00.000000,Alesso & Anitta - Is That For Me (KO:YU Remix) [Official Video],Music,3.83,307997,11691,311,False,True,https://www.youtube.com/watch?v=MmOPjWN7wJY,UC05i95k_replaced_w8CvrtZ_replaced_yGTob7A
Alesso,2019-01-28 05:33:54.280220,71,2010-04-05 00:00:00.000000,1879082,600255408,2018-01-16 00:00:00.000000,Alesso & Anitta - Is That For Me (Sylvain Armand Remix) [Official Video],Music,4.28,216155,11058,307,False,True,https://www.youtube.com/watch?v=9Eo9Goz0QrA,UC05i95k_replaced_w8CvrtZ_replaced_yGTob7A
Alesso,2019-01-28 05:33:54.280220,71,2010-04-05 00:00:00.000000,1879082,600255408,2018-01-09 00:00:00.000000,Alesso & Anitta - Is That For Me (3LAU Remix) [Official Video],Music,3.07,1351476,50410,1206,False,True,https://www.youtube.com/watch?v=9WIqVL0dwo8,UC05i95k_replaced_w8CvrtZ_replaced_yGTob7A
Alesso,2019-01-28 05:33:54.280220,71,2010-04-05 00:00:00.000000,1879082,600255408,2017-11-29 00:00:00.000000,"J. Balvin, Willy William - Mi Gente (Alesso Remix) with Anwar Jibawi | Official Music Video",Music,4.22,3071939,42967,2899,False,True,https://www.youtube.com/watch?v=Iay3Wu6wybA,UC05i95k_replaced_w8CvrtZ_replaced_yGTob7A
