ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
Tigran Asatryan,2019-01-07 06:29:05.889442,73,2008-08-11 00:00:00.000000,0,152860105,2018-12-25 00:00:00.000000,Tes - Arman Asatryan // New 2019 Premiere,Music,5.03,109073,0,0,False,True,https://www.youtube.com/watch?v=eD2ClDHDDNc,UC0VXpWBFgNwhpIiipUULMKg
Tigran Asatryan,2019-01-07 06:29:05.889442,73,2008-08-11 00:00:00.000000,0,152860105,2018-12-21 00:00:00.000000,Vorn E Patchare - Tigran Asatryan (New 2019 Song),Music,3.72,582544,4528,174,False,True,https://www.youtube.com/watch?v=ffy_0YhuPOI,UC0VXpWBFgNwhpIiipUULMKg
Tigran Asatryan,2019-01-07 06:29:05.889442,73,2008-08-11 00:00:00.000000,0,152860105,2018-11-15 00:00:00.000000,Varders - Tigran Asatryan (New 2018 Official Video),Music,4.37,1260096,6564,355,False,True,https://www.youtube.com/watch?v=LFj2Fk4QlSw,UC0VXpWBFgNwhpIiipUULMKg
Tigran Asatryan,2019-01-07 06:29:05.889442,73,2008-08-11 00:00:00.000000,0,152860105,2018-11-08 00:00:00.000000,Heravor Husheric - Aram Asatryan (NEW 2018 EXCLUSIVE RELEASE),Music,4.32,2780526,11299,570,False,True,https://www.youtube.com/watch?v=MMlyGSIJEKo,UC0VXpWBFgNwhpIiipUULMKg
Tigran Asatryan,2019-01-07 06:29:05.889442,73,2008-08-11 00:00:00.000000,0,152860105,2018-10-15 00:00:00.000000,Romani Par - Roman Babakhanyan (NEW 2018) █▬█ █ ▀█▀,Music,2.78,30085,388,33,False,True,https://www.youtube.com/watch?v=-uFmBEa2fRw,UC0VXpWBFgNwhpIiipUULMKg
Tigran Asatryan,2019-01-07 06:29:05.889442,73,2008-08-11 00:00:00.000000,0,152860105,2018-10-11 00:00:00.000000,Gole Sangam - Deejay Robert feat. Tigran Asatryan (Official Video),Music,4.05,1435462,0,0,False,True,https://www.youtube.com/watch?v=2buJrsImKrI,UC0VXpWBFgNwhpIiipUULMKg
Tigran Asatryan,2019-01-07 06:29:05.889442,73,2008-08-11 00:00:00.000000,0,152860105,2018-08-28 00:00:00.000000,Nmane - Tigran Asatryan (New 2018 Remix),Music,4.5,3420770,11212,833,False,True,https://www.youtube.com/watch?v=Lc3T7EPk_L0,UC0VXpWBFgNwhpIiipUULMKg
Tigran Asatryan,2019-01-07 06:29:05.889442,73,2008-08-11 00:00:00.000000,0,152860105,2018-08-04 00:00:00.000000,Father & Daughter Dance - Harout Pamboukjian,Music,5.75,349548,3802,212,False,True,https://www.youtube.com/watch?v=d-gF7k_cd6o,UC0VXpWBFgNwhpIiipUULMKg
Tigran Asatryan,2019-01-07 06:29:05.889442,73,2008-08-11 00:00:00.000000,0,152860105,2018-08-03 00:00:00.000000,Annman Harsik - Tigran Asatryan (New 2018 Single),Music,3.8,237197,2723,112,False,True,https://www.youtube.com/watch?v=IVTJ6cY46uE,UC0VXpWBFgNwhpIiipUULMKg
Tigran Asatryan,2019-01-07 06:29:05.889442,73,2008-08-11 00:00:00.000000,0,152860105,2018-03-08 00:00:00.000000,Hayi Sirun Achker - Tigran Asatryan (Official Video),Music,5.25,268029,2622,292,False,True,https://www.youtube.com/watch?v=h8GcjFJtR68,UC0VXpWBFgNwhpIiipUULMKg
Tigran Asatryan,2019-01-07 06:29:05.889442,73,2008-08-11 00:00:00.000000,0,152860105,2018-02-08 00:00:00.000000,Garun Garun - Tigran Asatryan & Spitakci Hayko (Official Music Video) (NEW 2018),Music,4.75,31499151,0,0,False,True,https://www.youtube.com/watch?v=aA2OJLBukLI,UC0VXpWBFgNwhpIiipUULMKg
Tigran Asatryan,2019-01-07 06:29:05.889442,73,2008-08-11 00:00:00.000000,0,152860105,2018-01-21 00:00:00.000000,"""Nan Jan"" Father Daughter Dance - Tigran Asatryan",Music,5.13,247632,2405,171,False,True,https://www.youtube.com/watch?v=UazuFBv_Ob0,UC0VXpWBFgNwhpIiipUULMKg
Tigran Asatryan,2019-01-07 06:29:05.889442,73,2008-08-11 00:00:00.000000,0,152860105,2017-12-01 00:00:00.000000,Sev Achker - Tigran Asatryan (New 2018 Official Video) █▬█ █ ▀█▀,Music,4.73,20925790,0,0,False,True,https://www.youtube.com/watch?v=6x634h7FP7o,UC0VXpWBFgNwhpIiipUULMKg
Tigran Asatryan,2019-01-07 06:29:05.889442,73,2008-08-11 00:00:00.000000,0,152860105,2017-11-30 00:00:00.000000,"Hayi Sirun Achker ""6/8 Remix"" - Tigran Asatryan",Music,4.5,349646,1908,165,False,True,https://www.youtube.com/watch?v=U2t2eamuBkU,UC0VXpWBFgNwhpIiipUULMKg
Tigran Asatryan,2019-01-07 06:29:05.889442,73,2008-08-11 00:00:00.000000,0,152860105,2017-11-10 00:00:00.000000,Tigran Asatryan - Live in Concert at Dolby Theatre - Full Version,Music,109.87,1214731,0,0,False,True,https://www.youtube.com/watch?v=BwO_Pmw0ROo,UC0VXpWBFgNwhpIiipUULMKg
