ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
Islamic Knowledge,2019-02-04 04:33:52.174521,16,2015-04-24 00:00:00.000000,892,111513,2016-07-25 00:00:00.000000,Hell!,Film & Animation,27.37,132,3,0,False,True,https://www.youtube.com/watch?v=mE5OdC5IPWE,UC0mWH52PsD8GR9fM5dKZw1A
Islamic Knowledge,2019-02-04 04:33:52.174521,16,2015-04-24 00:00:00.000000,892,111513,2016-06-20 00:00:00.000000,Jannah (Paradise),Education,28.83,616,12,0,False,True,https://www.youtube.com/watch?v=rkLIr5RTIFQ,UC0mWH52PsD8GR9fM5dKZw1A
Islamic Knowledge,2019-02-04 04:33:52.174521,16,2015-04-24 00:00:00.000000,892,111513,2016-06-13 00:00:00.000000,The Truth,Film & Animation,14.3,181,2,0,False,True,https://www.youtube.com/watch?v=SR1o741BT2k,UC0mWH52PsD8GR9fM5dKZw1A
Islamic Knowledge,2019-02-04 04:33:52.174521,16,2015-04-24 00:00:00.000000,892,111513,2016-04-09 00:00:00.000000,Prophet Joseph [Yusuf] AS,Film & Animation,36.6,4462,71,4,False,True,https://www.youtube.com/watch?v=nSobNIUtiW0,UC0mWH52PsD8GR9fM5dKZw1A
Islamic Knowledge,2019-02-04 04:33:52.174521,16,2015-04-24 00:00:00.000000,892,111513,2015-06-21 00:00:00.000000,Al Malhama happening soon Islam.,People & Blogs,19.92,28345,258,12,False,True,https://www.youtube.com/watch?v=ascpGN0Fadk,UC0mWH52PsD8GR9fM5dKZw1A
Islamic Knowledge,2019-02-04 04:33:52.174521,16,2015-04-24 00:00:00.000000,892,111513,2015-06-21 00:00:00.000000,What happens after death,People & Blogs,9.9,226,2,0,False,True,https://www.youtube.com/watch?v=wCLRAu5sOl0,UC0mWH52PsD8GR9fM5dKZw1A
Islamic Knowledge,2019-02-04 04:33:52.174521,16,2015-04-24 00:00:00.000000,892,111513,2015-06-21 00:00:00.000000,The story of Lot (Lut) AS,People & Blogs,17.38,1429,19,0,False,True,https://www.youtube.com/watch?v=7x3tx2v5vKA,UC0mWH52PsD8GR9fM5dKZw1A
Islamic Knowledge,2019-02-04 04:33:52.174521,16,2015-04-24 00:00:00.000000,892,111513,2015-06-21 00:00:00.000000,Story of Prophet Ibrahim (A.S),People & Blogs,36.47,26103,228,8,False,True,https://www.youtube.com/watch?v=x59rHzIg7VQ,UC0mWH52PsD8GR9fM5dKZw1A
Islamic Knowledge,2019-02-04 04:33:52.174521,16,2015-04-24 00:00:00.000000,892,111513,2015-06-21 00:00:00.000000,The Story of Salih(A.S) and The Nation Of Thamud,People & Blogs,17.32,4532,48,1,False,True,https://www.youtube.com/watch?v=52PiZWhv8ys,UC0mWH52PsD8GR9fM5dKZw1A
Islamic Knowledge,2019-02-04 04:33:52.174521,16,2015-04-24 00:00:00.000000,892,111513,2015-06-20 00:00:00.000000,The Story of Hud (A.S) And The Nation Of Aad,People & Blogs,16.05,39198,244,17,False,True,https://www.youtube.com/watch?v=bXKzDArF304,UC0mWH52PsD8GR9fM5dKZw1A
Islamic Knowledge,2019-02-04 04:33:52.174521,16,2015-04-24 00:00:00.000000,892,111513,2015-06-20 00:00:00.000000,The Story of Prophet Noah [Nuh] AS,People & Blogs,20.18,1783,9,0,False,True,https://www.youtube.com/watch?v=htG15UD-Bjg,UC0mWH52PsD8GR9fM5dKZw1A
Islamic Knowledge,2019-02-04 04:33:52.174521,16,2015-04-24 00:00:00.000000,892,111513,2015-06-20 00:00:00.000000,Cain And Abel [Qabil And Habil],People & Blogs,11.13,370,2,0,False,True,https://www.youtube.com/watch?v=evNobvRUg5U,UC0mWH52PsD8GR9fM5dKZw1A
Islamic Knowledge,2019-02-04 04:33:52.174521,16,2015-04-24 00:00:00.000000,892,111513,2015-06-20 00:00:00.000000,Story of Prophet Adam (A.S),People & Blogs,19.1,496,3,0,False,True,https://www.youtube.com/watch?v=4gPBKK3HlYI,UC0mWH52PsD8GR9fM5dKZw1A
Islamic Knowledge,2019-02-04 04:33:52.174521,16,2015-04-24 00:00:00.000000,892,111513,2015-06-18 00:00:00.000000,The Story of Prophet Enoch (Idris) (AS),People & Blogs,8.1,2635,26,1,False,True,https://www.youtube.com/watch?v=WQD_I08GnPQ,UC0mWH52PsD8GR9fM5dKZw1A
Islamic Knowledge,2019-02-04 04:33:52.174521,16,2015-04-24 00:00:00.000000,892,111513,2015-06-06 00:00:00.000000,the truth and a message and to humanity.,People & Blogs,25.87,109,1,3,False,True,https://www.youtube.com/watch?v=aaTcc18q8XQ,UC0mWH52PsD8GR9fM5dKZw1A
Islamic Knowledge,2019-02-04 04:33:52.174521,16,2015-04-24 00:00:00.000000,892,111513,2015-05-16 00:00:00.000000,Dajjal the (Antichrist) coming soon.,People & Blogs,22.85,835,8,2,False,True,https://www.youtube.com/watch?v=pWW5cHdyKpQ,UC0mWH52PsD8GR9fM5dKZw1A
