ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
kbr56 productionz,2019-01-28 04:31:26.430147,331,2017-10-16 00:00:00.000000,585,93119,2019-01-27 00:00:00.000000,Pubg-Ps4 quads-  New map  -  Happy sunday ladys and gents,Entertainment,167.93,10,1,1,False,True,https://www.youtube.com/watch?v=iE5JLUXqRHk,UC1tdhyFS_replaced_7R4QSPMr9EvTQw
kbr56 productionz,2019-01-28 04:31:26.430147,331,2017-10-16 00:00:00.000000,585,93119,2019-01-27 00:00:00.000000,Pubg-Ps4 quads-  New map  -  Happy sunday lets go !,Entertainment,154.82,11,3,1,False,True,https://www.youtube.com/watch?v=lOv1RIH7Fbo,UC1tdhyFS_replaced_7R4QSPMr9EvTQw
kbr56 productionz,2019-01-28 04:31:26.430147,331,2017-10-16 00:00:00.000000,585,93119,2019-01-26 00:00:00.000000,Pubg-Ps4 quads-  New map  -  straight mobbin,Entertainment,89.42,14,5,0,False,True,https://www.youtube.com/watch?v=PwREuHkqiTQ,UC1tdhyFS_replaced_7R4QSPMr9EvTQw
kbr56 productionz,2019-01-28 04:31:26.430147,331,2017-10-16 00:00:00.000000,585,93119,2019-01-26 00:00:00.000000,Pubg-Ps4 quads-  New map  -  straight mobbin,Entertainment,262.78,11,1,0,False,True,https://www.youtube.com/watch?v=GdZiES_B08w,UC1tdhyFS_replaced_7R4QSPMr9EvTQw
kbr56 productionz,2019-01-28 04:31:26.430147,331,2017-10-16 00:00:00.000000,585,93119,2019-01-25 00:00:00.000000,Blackout-Quads - down but not out  !,Entertainment,130.0,8,2,0,False,True,https://www.youtube.com/watch?v=RKfhFd1QcKk,UC1tdhyFS_replaced_7R4QSPMr9EvTQw
kbr56 productionz,2019-01-28 04:31:26.430147,331,2017-10-16 00:00:00.000000,585,93119,2019-01-25 00:00:00.000000,Pubg-Ps4 quads-  New map  -  straight mobbin,Entertainment,64.02,4,2,0,False,True,https://www.youtube.com/watch?v=BFzXDjMJjcg,UC1tdhyFS_replaced_7R4QSPMr9EvTQw
kbr56 productionz,2019-01-28 04:31:26.430147,331,2017-10-16 00:00:00.000000,585,93119,2019-01-25 00:00:00.000000,Pubg-Ps4 quads-  New map  -  straight mobbin,Entertainment,43.67,2,0,0,False,True,https://www.youtube.com/watch?v=uc4Umsx_FgU,UC1tdhyFS_replaced_7R4QSPMr9EvTQw
kbr56 productionz,2019-01-28 04:31:26.430147,331,2017-10-16 00:00:00.000000,585,93119,2019-01-25 00:00:00.000000,Purple punch 2.0 !! Designer shatter review ! Super flame!!,Entertainment,5.42,14,4,0,False,False,https://www.youtube.com/watch?v=l47zjqZSYrc,UC1tdhyFS_replaced_7R4QSPMr9EvTQw
kbr56 productionz,2019-01-28 04:31:26.430147,331,2017-10-16 00:00:00.000000,585,93119,2019-01-23 00:00:00.000000,Pubg-Ps4 quads-  New map first person!!!,Entertainment,54.9,6,0,0,False,True,https://www.youtube.com/watch?v=Bh5zFUElqlU,UC1tdhyFS_replaced_7R4QSPMr9EvTQw
kbr56 productionz,2019-01-28 04:31:26.430147,331,2017-10-16 00:00:00.000000,585,93119,2019-01-21 00:00:00.000000,Pubg-Ps4 quads straight mobbin,Entertainment,62.92,11,3,0,False,True,https://www.youtube.com/watch?v=zJ5N2TZ6Lb8,UC1tdhyFS_replaced_7R4QSPMr9EvTQw
kbr56 productionz,2019-01-28 04:31:26.430147,331,2017-10-16 00:00:00.000000,585,93119,2019-01-21 00:00:00.000000,Pubg-Ps4 quads straight merking people!!!! Ya Son!!!!!,Entertainment,121.32,13,0,0,False,True,https://www.youtube.com/watch?v=B8tB_qga0cY,UC1tdhyFS_replaced_7R4QSPMr9EvTQw
kbr56 productionz,2019-01-28 04:31:26.430147,331,2017-10-16 00:00:00.000000,585,93119,2019-01-20 00:00:00.000000,Rideing  the tallest Mountain! STEEP Gameplay,Gaming,66.03,13,3,0,False,True,https://www.youtube.com/watch?v=B7A9P8-vLGM,UC1tdhyFS_replaced_7R4QSPMr9EvTQw
kbr56 productionz,2019-01-28 04:31:26.430147,331,2017-10-16 00:00:00.000000,585,93119,2019-01-20 00:00:00.000000,Pubg-Ps4 quads-killing spree!,Entertainment,27.22,11,3,0,False,True,https://www.youtube.com/watch?v=451mjWr5v9g,UC1tdhyFS_replaced_7R4QSPMr9EvTQw
kbr56 productionz,2019-01-28 04:31:26.430147,331,2017-10-16 00:00:00.000000,585,93119,2019-01-19 00:00:00.000000,Pubg-Ps4 quads-straight killing,Gaming,202.32,13,1,0,False,True,https://www.youtube.com/watch?v=Zkf-O_ThNSA,UC1tdhyFS_replaced_7R4QSPMr9EvTQw
kbr56 productionz,2019-01-28 04:31:26.430147,331,2017-10-16 00:00:00.000000,585,93119,2019-01-18 00:00:00.000000,Pubg-Ps4 quads-straight killing ! First chicken dinner of today,Entertainment,110.77,9,2,0,False,True,https://www.youtube.com/watch?v=G_I4jKTdJYI,UC1tdhyFS_replaced_7R4QSPMr9EvTQw
