ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
andre selli,2019-01-11 19:12:56.084571,15,2017-03-19 00:00:00.000000,671,349726,2017-04-15 00:00:00.000000,[BEST]Lee Mack  Going Out Live,Sports,46.98,4433,30,6,False,True,https://www.youtube.com/watch?v=7BJlpK1lU2Y,UC3_replaced_LWCwq5_replaced_cD2jHLHxUVRmw
andre selli,2019-01-11 19:12:56.084571,15,2017-03-19 00:00:00.000000,671,349726,2017-04-15 00:00:00.000000,[BEST]Stand up comedy by Dane Cook - Stand Up Comedy Special - Talk Show Comedy,Sports,86.92,3089,4,1,False,True,https://www.youtube.com/watch?v=4UBEi9DrPJE,UC3_replaced_LWCwq5_replaced_cD2jHLHxUVRmw
andre selli,2019-01-11 19:12:56.084571,15,2017-03-19 00:00:00.000000,671,349726,2017-04-15 00:00:00.000000,[BEST]Nina Conti Stand Up   Talk to the Hand Full Show,Sports,74.37,340,3,0,False,True,https://www.youtube.com/watch?v=D1uufDwDIgc,UC3_replaced_LWCwq5_replaced_cD2jHLHxUVRmw
andre selli,2019-01-11 19:12:56.084571,15,2017-03-19 00:00:00.000000,671,349726,2017-04-15 00:00:00.000000,[BEST]Jason Byrne Stand Up 2015   The Byrne Identity   Stand Up Comedy Full Show Jason Byrne,Sports,81.95,88,0,0,False,True,https://www.youtube.com/watch?v=Oi4zQEa32Ss,UC3_replaced_LWCwq5_replaced_cD2jHLHxUVRmw
andre selli,2019-01-11 19:12:56.084571,15,2017-03-19 00:00:00.000000,671,349726,2017-04-15 00:00:00.000000,[BEST]Natasha Leggero Live At Bimbo's - Natasha Leggero - Stand Up Special Show,Sports,70.03,13102,96,6,False,False,https://www.youtube.com/watch?v=9lMx_0EhQaY,UC3_replaced_LWCwq5_replaced_cD2jHLHxUVRmw
andre selli,2019-01-11 19:12:56.084571,15,2017-03-19 00:00:00.000000,671,349726,2017-04-15 00:00:00.000000,[BEST]Stand up comedy by Louis CK - Louis CK - Best Comedians Ever,Sports,26.67,70,0,0,False,True,https://www.youtube.com/watch?v=n3kusguuCg0,UC3_replaced_LWCwq5_replaced_cD2jHLHxUVRmw
andre selli,2019-01-11 19:12:56.084571,15,2017-03-19 00:00:00.000000,671,349726,2017-04-15 00:00:00.000000,[BEST]Corey Holcomb Stand Up Comedy  - Corey Holcomb - The Problems Is You   Verr Funny LMAO,Sports,33.35,46450,222,20,False,True,https://www.youtube.com/watch?v=YPaO6fnJQww,UC3_replaced_LWCwq5_replaced_cD2jHLHxUVRmw
andre selli,2019-01-11 19:12:56.084571,15,2017-03-19 00:00:00.000000,671,349726,2017-04-15 00:00:00.000000,[BEST]Stand up comedy by  Anjelah Johnson -  Anjelah Johnson - Stand up comedy WOMEN,Sports,83.03,2307,14,1,False,True,https://www.youtube.com/watch?v=lExV3onSQIY,UC3_replaced_LWCwq5_replaced_cD2jHLHxUVRmw
andre selli,2019-01-11 19:12:56.084571,15,2017-03-19 00:00:00.000000,671,349726,2017-04-14 00:00:00.000000,"[BEST]Larry the Cable Guy Git R Done Best Stand Up - Stand up comedy American,",Sports,91.17,165555,947,103,False,True,https://www.youtube.com/watch?v=rDUw85ahWkY,UC3_replaced_LWCwq5_replaced_cD2jHLHxUVRmw
andre selli,2019-01-11 19:12:56.084571,15,2017-03-19 00:00:00.000000,671,349726,2017-04-14 00:00:00.000000,[BEST]Best stand up comedy full 2016   Stand up comedy english 2016   Jim Jefferies Full Show,Sports,53.58,25,0,0,False,True,https://www.youtube.com/watch?v=1vGHdFSZuHU,UC3_replaced_LWCwq5_replaced_cD2jHLHxUVRmw
