ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
kimkimpotpot,2019-01-18 23:28:00.393338,20,2009-05-16 00:00:00.000000,9618,15138431,2012-11-06 00:00:00.000000,Oo - Up Dharma Down with Lyrics,Music,4.27,14660527,23848,1576,False,True,https://www.youtube.com/watch?v=h5qydTpxbeU,UC5f3LdbJin0i_replaced_kpPqRPb2uQ
kimkimpotpot,2019-01-18 23:28:00.393338,20,2009-05-16 00:00:00.000000,9618,15138431,2011-04-02 00:00:00.000000,Samantha Marq feat Dev - I Like To Party (The Cataracs Remix),Music,3.33,21265,54,12,False,True,https://www.youtube.com/watch?v=ss82fesa4vY,UC5f3LdbJin0i_replaced_kpPqRPb2uQ
kimkimpotpot,2019-01-18 23:28:00.393338,20,2009-05-16 00:00:00.000000,9618,15138431,2011-01-12 00:00:00.000000,Jessica Jung SNSD - Barbie Girl,Music,3.22,100297,230,34,False,True,https://www.youtube.com/watch?v=vi3E0zJA3Bc,UC5f3LdbJin0i_replaced_kpPqRPb2uQ
kimkimpotpot,2019-01-18 23:28:00.393338,20,2009-05-16 00:00:00.000000,9618,15138431,2010-05-05 00:00:00.000000,Girls' Generation - Kissing You,Music,3.35,5667,20,2,False,True,https://www.youtube.com/watch?v=po5s6gr07fE,UC5f3LdbJin0i_replaced_kpPqRPb2uQ
kimkimpotpot,2019-01-18 23:28:00.393338,20,2009-05-16 00:00:00.000000,9618,15138431,2010-05-02 00:00:00.000000,Brandy & Ne-Yo - Too Little Too Late,Music,4.37,1706,10,0,False,True,https://www.youtube.com/watch?v=6ujUknNiHIs,UC5f3LdbJin0i_replaced_kpPqRPb2uQ
kimkimpotpot,2019-01-18 23:28:00.393338,20,2009-05-16 00:00:00.000000,9618,15138431,2010-03-30 00:00:00.000000,JoJo - Forever In My Life,Music,3.45,14875,44,1,False,True,https://www.youtube.com/watch?v=ECOuWYVTkuY,UC5f3LdbJin0i_replaced_kpPqRPb2uQ
kimkimpotpot,2019-01-18 23:28:00.393338,20,2009-05-16 00:00:00.000000,9618,15138431,2010-03-30 00:00:00.000000,Unkown - Beautiful One,Music,3.35,486,3,0,False,True,https://www.youtube.com/watch?v=i3bH71GyZxI,UC5f3LdbJin0i_replaced_kpPqRPb2uQ
kimkimpotpot,2019-01-18 23:28:00.393338,20,2009-05-16 00:00:00.000000,9618,15138431,2010-03-13 00:00:00.000000,Dream Street -  With All My Heart,Music,4.15,3004,16,0,False,True,https://www.youtube.com/watch?v=8OBSN0tEYRg,UC5f3LdbJin0i_replaced_kpPqRPb2uQ
kimkimpotpot,2019-01-18 23:28:00.393338,20,2009-05-16 00:00:00.000000,9618,15138431,2010-02-21 00:00:00.000000,Nina - Cold Summer Nights,Music,4.28,52521,78,1,False,True,https://www.youtube.com/watch?v=XtrTkhNZ-MM,UC5f3LdbJin0i_replaced_kpPqRPb2uQ
kimkimpotpot,2019-01-18 23:28:00.393338,20,2009-05-16 00:00:00.000000,9618,15138431,2010-02-13 00:00:00.000000,J-Co - Two Piece,Music,3.68,4338,15,0,False,True,https://www.youtube.com/watch?v=bS9HyKWHY1g,UC5f3LdbJin0i_replaced_kpPqRPb2uQ
kimkimpotpot,2019-01-18 23:28:00.393338,20,2009-05-16 00:00:00.000000,9618,15138431,2010-02-04 00:00:00.000000,Lil Eddie - Body Blanket,Music,3.32,1259,7,2,False,True,https://www.youtube.com/watch?v=n5YDh19Cf7M,UC5f3LdbJin0i_replaced_kpPqRPb2uQ
kimkimpotpot,2019-01-18 23:28:00.393338,20,2009-05-16 00:00:00.000000,9618,15138431,2010-02-02 00:00:00.000000,Danny Fernandes Ft. Elyssa - I Dare You,Music,3.58,5293,10,1,False,True,https://www.youtube.com/watch?v=mGCBQZpuHo0,UC5f3LdbJin0i_replaced_kpPqRPb2uQ
kimkimpotpot,2019-01-18 23:28:00.393338,20,2009-05-16 00:00:00.000000,9618,15138431,2010-01-10 00:00:00.000000,Chris Cendana - When the lights burn out,Music,3.3,16303,97,1,False,True,https://www.youtube.com/watch?v=U58okJ_M0Yk,UC5f3LdbJin0i_replaced_kpPqRPb2uQ
kimkimpotpot,2019-01-18 23:28:00.393338,20,2009-05-16 00:00:00.000000,9618,15138431,2010-01-03 00:00:00.000000,Usher - I Love You 2,Music,4.3,241094,611,8,False,True,https://www.youtube.com/watch?v=-gvOCfDvCzg,UC5f3LdbJin0i_replaced_kpPqRPb2uQ
kimkimpotpot,2019-01-18 23:28:00.393338,20,2009-05-16 00:00:00.000000,9618,15138431,2009-12-28 00:00:00.000000,JoJo - Fly Away,Music,3.55,1556,7,0,False,True,https://www.youtube.com/watch?v=2HcpAg7paAQ,UC5f3LdbJin0i_replaced_kpPqRPb2uQ
kimkimpotpot,2019-01-18 23:28:00.393338,20,2009-05-16 00:00:00.000000,9618,15138431,2009-12-28 00:00:00.000000,Ne-yo Feat Candace Jones - Sexy Love,Music,3.65,7303,24,1,False,True,https://www.youtube.com/watch?v=EHTTRLrf-qs,UC5f3LdbJin0i_replaced_kpPqRPb2uQ
kimkimpotpot,2019-01-18 23:28:00.393338,20,2009-05-16 00:00:00.000000,9618,15138431,2009-12-27 00:00:00.000000,Park Bom - You and I,Music,4.1,319,0,0,False,True,https://www.youtube.com/watch?v=McGq2llXKi4,UC5f3LdbJin0i_replaced_kpPqRPb2uQ
kimkimpotpot,2019-01-18 23:28:00.393338,20,2009-05-16 00:00:00.000000,9618,15138431,2009-11-12 00:00:00.000000,4th year - Einstein,Sports,7.78,163,0,0,False,True,https://www.youtube.com/watch?v=9PHb0gThZH8,UC5f3LdbJin0i_replaced_kpPqRPb2uQ
