ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
Tess So Original,2018-12-30 22:35:58.271371,15,2013-05-04 00:00:00.000000,2053,233878,2018-12-21 00:00:00.000000,The Way You Make Me Feel - Tess So Original (IN STUDIO MUSIC VIDEO),Music,2.67,2400,187,0,False,True,https://www.youtube.com/watch?v=7ePM-ROpvT0,UC7LsY3ihBI8iTkX2GWVubGQ
Tess So Original,2018-12-30 22:35:58.271371,15,2013-05-04 00:00:00.000000,2053,233878,2018-12-06 00:00:00.000000,"Fall In Love Tour w/ Tess So Original In Tacoma, Washington",Music,8.18,755,44,2,False,True,https://www.youtube.com/watch?v=pcl3kaD91_4,UC7LsY3ihBI8iTkX2GWVubGQ
Tess So Original,2018-12-30 22:35:58.271371,15,2013-05-04 00:00:00.000000,2053,233878,2018-09-28 00:00:00.000000,Aggressive - Tess So Original,Music,2.17,20986,584,10,False,True,https://www.youtube.com/watch?v=6M8zJYpJWW0,UC7LsY3ihBI8iTkX2GWVubGQ
Tess So Original,2018-12-30 22:35:58.271371,15,2013-05-04 00:00:00.000000,2053,233878,2018-06-14 00:00:00.000000,I Want It (Official Video) - Tess So Original,People & Blogs,2.95,133258,3066,118,False,True,https://www.youtube.com/watch?v=rVnsXoSScgA,UC7LsY3ihBI8iTkX2GWVubGQ
Tess So Original,2018-12-30 22:35:58.271371,15,2013-05-04 00:00:00.000000,2053,233878,2018-06-11 00:00:00.000000,"Tess So Original x Shoreline Mafia Show 6/9/18 Petaluma, CA",People & Blogs,3.22,3974,70,3,False,True,https://www.youtube.com/watch?v=fn96CzA_t5Q,UC7LsY3ihBI8iTkX2GWVubGQ
Tess So Original,2018-12-30 22:35:58.271371,15,2013-05-04 00:00:00.000000,2053,233878,2018-05-19 00:00:00.000000,Tess So Original Live San Francisco’s Mission Prom 2018,People & Blogs,2.03,2491,43,0,False,True,https://www.youtube.com/watch?v=cTyLbLtmRAk,UC7LsY3ihBI8iTkX2GWVubGQ
Tess So Original,2018-12-30 22:35:58.271371,15,2013-05-04 00:00:00.000000,2053,233878,2018-05-06 00:00:00.000000,Haterz (Official Video) - Tess So Original,People & Blogs,3.65,8282,246,5,False,True,https://www.youtube.com/watch?v=C9f394zn1us,UC7LsY3ihBI8iTkX2GWVubGQ
Tess So Original,2018-12-30 22:35:58.271371,15,2013-05-04 00:00:00.000000,2053,233878,2018-02-13 00:00:00.000000,Haterz - Tess So Original,People & Blogs,3.67,2982,70,1,False,True,https://www.youtube.com/watch?v=moE4-_aDsK8,UC7LsY3ihBI8iTkX2GWVubGQ
Tess So Original,2018-12-30 22:35:58.271371,15,2013-05-04 00:00:00.000000,2053,233878,2018-02-13 00:00:00.000000,Work - Tess So Original,People & Blogs,2.17,2465,70,1,False,True,https://www.youtube.com/watch?v=YUKPQY6GFO0,UC7LsY3ihBI8iTkX2GWVubGQ
Tess So Original,2018-12-30 22:35:58.271371,15,2013-05-04 00:00:00.000000,2053,233878,2018-02-13 00:00:00.000000,Ain't Givin' It Up (Prod. By DopeBoyzMusic),People & Blogs,3.23,3407,65,0,False,True,https://www.youtube.com/watch?v=y7sEEokW-cc,UC7LsY3ihBI8iTkX2GWVubGQ
Tess So Original,2018-12-30 22:35:58.271371,15,2013-05-04 00:00:00.000000,2053,233878,2018-02-13 00:00:00.000000,No Free Features - Tess So Original,People & Blogs,2.95,4598,122,1,False,True,https://www.youtube.com/watch?v=h-kAxX2APcQ,UC7LsY3ihBI8iTkX2GWVubGQ
Tess So Original,2018-12-30 22:35:58.271371,15,2013-05-04 00:00:00.000000,2053,233878,2018-02-13 00:00:00.000000,Dirty Girl (Dutty Gyal) - Tess So Original,People & Blogs,2.72,7005,154,2,False,True,https://www.youtube.com/watch?v=TwATIk4UXWA,UC7LsY3ihBI8iTkX2GWVubGQ
Tess So Original,2018-12-30 22:35:58.271371,15,2013-05-04 00:00:00.000000,2053,233878,2018-02-13 00:00:00.000000,I Want It - Tess So Original,Music,2.92,34440,544,11,False,True,https://www.youtube.com/watch?v=LbtagoRamJk,UC7LsY3ihBI8iTkX2GWVubGQ
Tess So Original,2018-12-30 22:35:58.271371,15,2013-05-04 00:00:00.000000,2053,233878,2017-07-07 00:00:00.000000,Tess - Love Or Lust,People & Blogs,3.5,3415,115,0,False,True,https://www.youtube.com/watch?v=iF6Z45wlGQ0,UC7LsY3ihBI8iTkX2GWVubGQ
Tess So Original,2018-12-30 22:35:58.271371,15,2013-05-04 00:00:00.000000,2053,233878,2017-07-04 00:00:00.000000,Tess Juicy/Friends (Remix),People & Blogs,2.38,3388,96,2,False,True,https://www.youtube.com/watch?v=rKxp3aAmohc,UC7LsY3ihBI8iTkX2GWVubGQ
