ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
Catplant ASMR,2019-01-11 05:16:54.813226,110,2012-11-09 00:00:00.000000,185104,23444259,2019-01-10 00:00:00.000000,"ASMR - Positive Affirmations to Comfort You 💕💤 (Soft Spoken, Hand Movements, Personal Attention)",People & Blogs,19.18,12858,1163,18,False,True,https://www.youtube.com/watch?v=xrNcf_SNOFQ,UC80UDR9O8vDvUVossfppxHg
Catplant ASMR,2019-01-11 05:16:54.813226,110,2012-11-09 00:00:00.000000,185104,23444259,2019-01-05 00:00:00.000000,"ASMR Scratching Fluffy Mic, Upclose Whispering, Hand Movements to Help you Relax ~ 💕",People & Blogs,18.4,124913,4048,78,False,True,https://www.youtube.com/watch?v=pbptV87a5fk,UC80UDR9O8vDvUVossfppxHg
Catplant ASMR,2019-01-11 05:16:54.813226,110,2012-11-09 00:00:00.000000,185104,23444259,2018-12-29 00:00:00.000000,ASMR - 40 TRIGGERS IN 19 MINUTES 😤😴,Entertainment,19.02,72902,2393,52,False,True,https://www.youtube.com/watch?v=s6KXlIcZyaY,UC80UDR9O8vDvUVossfppxHg
Catplant ASMR,2019-01-11 05:16:54.813226,110,2012-11-09 00:00:00.000000,185104,23444259,2018-12-26 00:00:00.000000,"ASMR INTENSE EATING Tapioca Pearls ~ Boba Mukbang ~ Soft/squishy, Sticky + Whispering Sounds ~",People & Blogs,21.37,67147,1944,79,False,True,https://www.youtube.com/watch?v=8JsIbCiEqhU,UC80UDR9O8vDvUVossfppxHg
Catplant ASMR,2019-01-11 05:16:54.813226,110,2012-11-09 00:00:00.000000,185104,23444259,2018-12-22 00:00:00.000000,"ASMR Festive Kissies + Repetitive Relaxing Words to Calm you Down ~ 💋 (Hand Movements, Whispering)",People & Blogs,18.23,115908,3368,79,False,True,https://www.youtube.com/watch?v=sVLqo1avXBQ,UC80UDR9O8vDvUVossfppxHg
Catplant ASMR,2019-01-11 05:16:54.813226,110,2012-11-09 00:00:00.000000,185104,23444259,2018-12-15 00:00:00.000000,ASMR Plucking Away Negative Energy ~Sending you love ~ Repetitive Words ~,People & Blogs,22.2,183097,4365,120,False,True,https://www.youtube.com/watch?v=LVc76xrvrlo,UC80UDR9O8vDvUVossfppxHg
Catplant ASMR,2019-01-11 05:16:54.813226,110,2012-11-09 00:00:00.000000,185104,23444259,2018-12-09 00:00:00.000000,"ASMR Fortnite Gameplay - Reaction to Season 7 New Battlepass Items, Skins (FULL WHISPERS)",People & Blogs,25.38,310191,5931,433,False,True,https://www.youtube.com/watch?v=rXv6zyeVWYY,UC80UDR9O8vDvUVossfppxHg
Catplant ASMR,2019-01-11 05:16:54.813226,110,2012-11-09 00:00:00.000000,185104,23444259,2018-12-08 00:00:00.000000,"(ASMR) Fallout 76 ~ Curing your Radiation with Radaway! 💊💉 (soft-spoken, latex, scratching sounds)",People & Blogs,23.37,267417,6763,382,False,True,https://www.youtube.com/watch?v=j1iDsFIHrR0,UC80UDR9O8vDvUVossfppxHg
Catplant ASMR,2019-01-11 05:16:54.813226,110,2012-11-09 00:00:00.000000,185104,23444259,2018-12-01 00:00:00.000000,ASMR Ear to Ear - Positive Affirmations + Breathing Sounds + Visual Triggers ~ I hope this helps 💖,People & Blogs,14.28,98264,2659,49,False,True,https://www.youtube.com/watch?v=O2hCKcEVd3Y,UC80UDR9O8vDvUVossfppxHg
Catplant ASMR,2019-01-11 05:16:54.813226,110,2012-11-09 00:00:00.000000,185104,23444259,2018-11-28 00:00:00.000000,ASMR Fluttering Fingers to Reduce Stress & Anxiety ~ whispering you to relax ~,People & Blogs,17.2,116294,3027,54,False,True,https://www.youtube.com/watch?v=RrkSlX3igpw,UC80UDR9O8vDvUVossfppxHg
