ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
Kho Nhạc Vàng,2019-01-14 01:56:58.032565,61,2017-05-03 00:00:00.000000,0,17345381,2019-01-13 00:00:00.000000,"Nghe Đi Rồi Khóc - Nuốt Lệ Vào Tim, Quá Xót Xa - Lk Nhạc Trữ Tình Hay Tê Tái",People & Blogs,64.9,140,6,2,False,True,https://www.youtube.com/watch?v=LGbSVW3CHSQ,UC8lJCYbvmk2B_MrXaoSPpsw
Kho Nhạc Vàng,2019-01-14 01:56:58.032565,61,2017-05-03 00:00:00.000000,0,17345381,2019-01-12 00:00:00.000000,"Nghe Đi Rồi Khóc - Vì Nghèo Trả Hết Ân Tình, Xót Xa - Lk Nhạc Sến Hay Nhất 2019",People & Blogs,72.82,20077,52,21,False,True,https://www.youtube.com/watch?v=tK9ps_vaK5c,UC8lJCYbvmk2B_MrXaoSPpsw
Kho Nhạc Vàng,2019-01-14 01:56:58.032565,61,2017-05-03 00:00:00.000000,0,17345381,2019-01-11 00:00:00.000000,"Nghe Đi Rồi Khóc - Tình Đầu bạc Lắm Anh Ơi, Cực Xót Xa - Lk Nhạc Sến Hay Nhất 2019",People & Blogs,73.72,4471,15,8,False,True,https://www.youtube.com/watch?v=jiuo9qd2Rqk,UC8lJCYbvmk2B_MrXaoSPpsw
Kho Nhạc Vàng,2019-01-14 01:56:58.032565,61,2017-05-03 00:00:00.000000,0,17345381,2019-01-10 00:00:00.000000,"Nghe Đi Rồi Khóc - Đêm Lạnh Nhớ Anh, Cực Xót Xa - Lk Nhạc Sến Buồn Thấu Tim",People & Blogs,63.42,55407,130,64,False,True,https://www.youtube.com/watch?v=dE4UenkgoGg,UC8lJCYbvmk2B_MrXaoSPpsw
Kho Nhạc Vàng,2019-01-14 01:56:58.032565,61,2017-05-03 00:00:00.000000,0,17345381,2019-01-09 00:00:00.000000,Nghe Đi Rồi Khóc - Trả Hết Ân Tình Cho Anh - Lk Nhạc Xưa Sến Nghe Cực Xót Xa,People & Blogs,69.12,89122,220,83,False,True,https://www.youtube.com/watch?v=5k7bHcH7rgA,UC8lJCYbvmk2B_MrXaoSPpsw
Kho Nhạc Vàng,2019-01-14 01:56:58.032565,61,2017-05-03 00:00:00.000000,0,17345381,2019-01-06 00:00:00.000000,"Khóc Nức Nở Khi Nghe Bolero Này - Hận Người Em yêu, Xót Xa - Lk Nhạc Trữ Tình Hay Nhất 2019",People & Blogs,71.38,20918,61,18,False,True,https://www.youtube.com/watch?v=twDy1DJe-8Y,UC8lJCYbvmk2B_MrXaoSPpsw
Kho Nhạc Vàng,2019-01-14 01:56:58.032565,61,2017-05-03 00:00:00.000000,0,17345381,2019-01-05 00:00:00.000000,"Khóc Sưng Mắt Khi Nghe Bolero Này - Em Đành Bỏ Anh, Cực Xót Xa - Lk Nhạc Vàng Buồn Thấu Tim",People & Blogs,63.42,71059,185,77,False,True,https://www.youtube.com/watch?v=nOr23RW4yaY,UC8lJCYbvmk2B_MrXaoSPpsw
Kho Nhạc Vàng,2019-01-14 01:56:58.032565,61,2017-05-03 00:00:00.000000,0,17345381,2019-01-05 00:00:00.000000,"Nhạc Tết 2019 - Nhạc Xuân 2019 - Lk Nhạc Tết Chọn Lọc Hay Nhất, Xuân Kỷ Hợi 2019",People & Blogs,45.88,4192,32,23,False,True,https://www.youtube.com/watch?v=uevniX7OHQ4,UC8lJCYbvmk2B_MrXaoSPpsw
Kho Nhạc Vàng,2019-01-14 01:56:58.032565,61,2017-05-03 00:00:00.000000,0,17345381,2019-01-04 00:00:00.000000,"Nghe Đi Rồi Khóc - Vì Nghèo Nên Mất Em, Xót Xa - Lk Nhạc Trữ Tình Hay Nhất",People & Blogs,78.17,138107,240,89,False,True,https://www.youtube.com/watch?v=fezTsK1SI7E,UC8lJCYbvmk2B_MrXaoSPpsw
Kho Nhạc Vàng,2019-01-14 01:56:58.032565,61,2017-05-03 00:00:00.000000,0,17345381,2019-01-03 00:00:00.000000,"Nghe Đi Rồi Khóc - Đắp Mộ Cuộc Tình, Xót Xa - Lk Nhạc Sến Hay Nhất 2019",People & Blogs,72.97,34098,64,46,False,True,https://www.youtube.com/watch?v=lk9d9s5hXug,UC8lJCYbvmk2B_MrXaoSPpsw
