ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
Ariana Grande`,2019-01-21 17:14:08.945100,339,2007-01-21 00:00:00.000000,31193970,11276432378,2019-01-17 00:00:00.000000,Ariana Grande - 7 rings,Music,3.08,50771247,3275503,170709,False,True,https://www.youtube.com/watch?v=QYh6mYIJG2Y,UC9CoOnJkIBMdeijd9qYoT_g
Ariana Grande`,2019-01-21 17:14:08.945100,339,2007-01-21 00:00:00.000000,31193970,11276432378,2019-01-17 00:00:00.000000,Ariana Grande - 7 rings (Audio),Music,3.0,4988756,348397,5963,False,True,https://www.youtube.com/watch?v=M84fFXooS5w,UC9CoOnJkIBMdeijd9qYoT_g
Ariana Grande`,2019-01-21 17:14:08.945100,339,2007-01-21 00:00:00.000000,31193970,11276432378,2019-01-03 00:00:00.000000,"Ariana Grande - thank u, next (bloopers + deleted scene)",Music,4.08,3547707,240906,3487,False,True,https://www.youtube.com/watch?v=8tatzR_p7o0,UC9CoOnJkIBMdeijd9qYoT_g
Ariana Grande`,2019-01-21 17:14:08.945100,339,2007-01-21 00:00:00.000000,31193970,11276432378,2019-01-03 00:00:00.000000,"Ariana Grande - thank u, next (bloopers + deleted scene)",Music,4.08,3547707,240906,3487,False,True,https://www.youtube.com/watch?v=nE4ad_t35yw,UC9CoOnJkIBMdeijd9qYoT_g
Ariana Grande`,2019-01-21 17:14:08.945100,339,2007-01-21 00:00:00.000000,31193970,11276432378,2018-12-13 00:00:00.000000,Ariana Grande - imagine (lyric video),Music,3.53,25878223,757681,19987,False,True,https://www.youtube.com/watch?v=7_rftpd0u0U,UC9CoOnJkIBMdeijd9qYoT_g
Ariana Grande`,2019-01-21 17:14:08.945100,339,2007-01-21 00:00:00.000000,31193970,11276432378,2018-12-13 00:00:00.000000,Ariana Grande - imagine (lyric video),Music,3.53,25878223,757684,19987,False,True,https://www.youtube.com/watch?v=4tJw0-FYLkw,UC9CoOnJkIBMdeijd9qYoT_g
Ariana Grande`,2019-01-21 17:14:08.945100,339,2007-01-21 00:00:00.000000,31193970,11276432378,2018-12-11 00:00:00.000000,"Ariana Grande - thank u, next (behind the scenes - part 3)",Music,12.17,2116558,102519,1251,False,True,https://www.youtube.com/watch?v=s0BIYOuY-Mw,UC9CoOnJkIBMdeijd9qYoT_g
Ariana Grande`,2019-01-21 17:14:08.945100,339,2007-01-21 00:00:00.000000,31193970,11276432378,2018-12-11 00:00:00.000000,"Ariana Grande - thank u, next (behind the scenes - part 3)",Music,12.17,2116558,102519,1251,False,True,https://www.youtube.com/watch?v=KWHmIOy8Nzg,UC9CoOnJkIBMdeijd9qYoT_g
Ariana Grande`,2019-01-21 17:14:08.945100,339,2007-01-21 00:00:00.000000,31193970,11276432378,2018-12-07 00:00:00.000000,"Ariana Grande - thank u, next (behind the scenes - part 2)",Music,11.5,1867129,112216,825,False,True,https://www.youtube.com/watch?v=nE4ad_t35yw,UC9CoOnJkIBMdeijd9qYoT_g
Ariana Grande`,2019-01-21 17:14:08.945100,339,2007-01-21 00:00:00.000000,31193970,11276432378,2018-12-07 00:00:00.000000,"Ariana Grande - thank u, next (behind the scenes - part 2)",Music,11.5,1867129,112216,825,False,True,https://www.youtube.com/watch?v=o38V48OpPaU,UC9CoOnJkIBMdeijd9qYoT_g
