ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
Александр Сучков,2019-02-02 19:55:30.480601,63,2011-10-07 00:00:00.000000,41,224537,2018-11-01 00:00:00.000000,2018 11 02 04 42 34,People & Blogs,2.45,2321,4,0,False,True,https://www.youtube.com/watch?v=X84XBtEjBo0,UCBXvQjBvVFHSHRQhZGuS3_w
Александр Сучков,2019-02-02 19:55:30.480601,63,2011-10-07 00:00:00.000000,41,224537,2018-10-30 00:00:00.000000,2018 08 23 18 25 26,People & Blogs,0.8,2194,7,0,False,True,https://www.youtube.com/watch?v=gnbZ_4l2dZY,UCBXvQjBvVFHSHRQhZGuS3_w
Александр Сучков,2019-02-02 19:55:30.480601,63,2011-10-07 00:00:00.000000,41,224537,2018-10-30 00:00:00.000000,2018 07 27 01 50 42,People & Blogs,0.75,5822,473,0,False,True,https://www.youtube.com/watch?v=WzJH0kYm3hM,UCBXvQjBvVFHSHRQhZGuS3_w
Александр Сучков,2019-02-02 19:55:30.480601,63,2011-10-07 00:00:00.000000,41,224537,2018-10-01 00:00:00.000000,2018 10 01 19 00 32,People & Blogs,1.13,2243,41,0,False,True,https://www.youtube.com/watch?v=Ms06ZxaLdCA,UCBXvQjBvVFHSHRQhZGuS3_w
Александр Сучков,2019-02-02 19:55:30.480601,63,2011-10-07 00:00:00.000000,41,224537,2018-03-12 00:00:00.000000,2018 03 12 14 38 52,People & Blogs,0.88,7224,3161,2,False,True,https://www.youtube.com/watch?v=uoKApb9wRzY,UCBXvQjBvVFHSHRQhZGuS3_w
Александр Сучков,2019-02-02 19:55:30.480601,63,2011-10-07 00:00:00.000000,41,224537,2018-03-11 00:00:00.000000,2018 03 12 03 13 41,People & Blogs,0.67,3632,3068,1,False,True,https://www.youtube.com/watch?v=nkkQtOEGHNc,UCBXvQjBvVFHSHRQhZGuS3_w
Александр Сучков,2019-02-02 19:55:30.480601,63,2011-10-07 00:00:00.000000,41,224537,2018-03-03 00:00:00.000000,2018 03 04 01 22 55,People & Blogs,1.03,1310,17,2,False,True,https://www.youtube.com/watch?v=GTuPcHVpPo0,UCBXvQjBvVFHSHRQhZGuS3_w
Александр Сучков,2019-02-02 19:55:30.480601,63,2011-10-07 00:00:00.000000,41,224537,2018-01-09 00:00:00.000000,2018 01 09 15 17 10,People & Blogs,180.5,9611,1908,2,False,True,https://www.youtube.com/watch?v=rz_J4ArMk74,UCBXvQjBvVFHSHRQhZGuS3_w
Александр Сучков,2019-02-02 19:55:30.480601,63,2011-10-07 00:00:00.000000,41,224537,2018-01-07 00:00:00.000000,2018 01 08 01 31 50,People & Blogs,3.98,4839,30,2,False,True,https://www.youtube.com/watch?v=h25G4RM0RC8,UCBXvQjBvVFHSHRQhZGuS3_w
Александр Сучков,2019-02-02 19:55:30.480601,63,2011-10-07 00:00:00.000000,41,224537,2017-12-14 00:00:00.000000,2017 12 15 02 26 48,People & Blogs,0.63,6338,1,0,False,True,https://www.youtube.com/watch?v=b4H5-a3iSxA,UCBXvQjBvVFHSHRQhZGuS3_w
Александр Сучков,2019-02-02 19:55:30.480601,63,2011-10-07 00:00:00.000000,41,224537,2017-12-14 00:00:00.000000,2017 12 15 01 49 37,People & Blogs,0.43,1345,1,0,False,True,https://www.youtube.com/watch?v=6AMLOqOfdmM,UCBXvQjBvVFHSHRQhZGuS3_w
Александр Сучков,2019-02-02 19:55:30.480601,63,2011-10-07 00:00:00.000000,41,224537,2017-12-12 00:00:00.000000,2017 12 13 00 28 09,People & Blogs,0.55,1322,1,0,False,True,https://www.youtube.com/watch?v=XeUeMm1lC4g,UCBXvQjBvVFHSHRQhZGuS3_w
Александр Сучков,2019-02-02 19:55:30.480601,63,2011-10-07 00:00:00.000000,41,224537,2017-12-06 00:00:00.000000,2017 12 07 01 15 24,People & Blogs,0.32,1057,30,1,False,True,https://www.youtube.com/watch?v=rkOz3NvfFPM,UCBXvQjBvVFHSHRQhZGuS3_w
Александр Сучков,2019-02-02 19:55:30.480601,63,2011-10-07 00:00:00.000000,41,224537,2017-11-23 00:00:00.000000,2017 11 23 16 21 05,People & Blogs,0.92,6,0,1,False,True,https://www.youtube.com/watch?v=llMPr8ckLNE,UCBXvQjBvVFHSHRQhZGuS3_w
Александр Сучков,2019-02-02 19:55:30.480601,63,2011-10-07 00:00:00.000000,41,224537,2017-11-23 00:00:00.000000,2017 11 23 15 39 40,People & Blogs,0.97,1112,1,0,False,True,https://www.youtube.com/watch?v=bsbgg3M2yco,UCBXvQjBvVFHSHRQhZGuS3_w
Александр Сучков,2019-02-02 19:55:30.480601,63,2011-10-07 00:00:00.000000,41,224537,2017-11-20 00:00:00.000000,2017 11 20 22 58 03,People & Blogs,0.53,21,0,0,False,True,https://www.youtube.com/watch?v=ZubhoASf5UU,UCBXvQjBvVFHSHRQhZGuS3_w
Александр Сучков,2019-02-02 19:55:30.480601,63,2011-10-07 00:00:00.000000,41,224537,2017-11-20 00:00:00.000000,2017 11 20 23 32 44,People & Blogs,0.82,17,0,1,False,True,https://www.youtube.com/watch?v=3az0kzIk_NI,UCBXvQjBvVFHSHRQhZGuS3_w
Александр Сучков,2019-02-02 19:55:30.480601,63,2011-10-07 00:00:00.000000,41,224537,2017-11-19 00:00:00.000000,2017 11 20 02 32 25,People & Blogs,2.13,2388,0,0,False,True,https://www.youtube.com/watch?v=Pa0FfVFnI1M,UCBXvQjBvVFHSHRQhZGuS3_w
Александр Сучков,2019-02-02 19:55:30.480601,63,2011-10-07 00:00:00.000000,41,224537,2017-11-19 00:00:00.000000,2017 11 20 01 28 14,People & Blogs,0.58,282,0,0,False,True,https://www.youtube.com/watch?v=_DU7ZRMO20A,UCBXvQjBvVFHSHRQhZGuS3_w
