ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
Meme Universe,2019-01-26 03:01:40.788084,28,2017-04-12 00:00:00.000000,201789,44156412,2019-01-04 00:00:00.000000,ULTIMATE DANK MEMES COMPILATION #52,Comedy,12.38,1573310,26116,1593,False,True,https://www.youtube.com/watch?v=0ldZu3BGY8s,UCC28RsrLMmpzny_replaced_6qLg4gcg
Meme Universe,2019-01-26 03:01:40.788084,28,2017-04-12 00:00:00.000000,201789,44156412,2018-12-25 00:00:00.000000,ULTIMATE DANK MEMES COMPILATION #51,Comedy,10.12,410558,7589,302,False,True,https://www.youtube.com/watch?v=nX0N-8qrzpo,UCC28RsrLMmpzny_replaced_6qLg4gcg
Meme Universe,2019-01-26 03:01:40.788084,28,2017-04-12 00:00:00.000000,201789,44156412,2018-12-09 00:00:00.000000,ULTIMATE DANK MEMES COMPILATION #50,Comedy,10.55,808616,15213,748,False,True,https://www.youtube.com/watch?v=KM64xN_eKp8,UCC28RsrLMmpzny_replaced_6qLg4gcg
Meme Universe,2019-01-26 03:01:40.788084,28,2017-04-12 00:00:00.000000,201789,44156412,2018-11-27 00:00:00.000000,ULTIMATE DANK MEMES COMPILATION #49,Comedy,11.07,1207009,18661,734,False,True,https://www.youtube.com/watch?v=lV5Dq2BnrWk,UCC28RsrLMmpzny_replaced_6qLg4gcg
Meme Universe,2019-01-26 03:01:40.788084,28,2017-04-12 00:00:00.000000,201789,44156412,2018-11-12 00:00:00.000000,ULTIMATE DANK MEMES COMPILATION #48,Comedy,10.53,1376847,22568,815,False,True,https://www.youtube.com/watch?v=Z7yhW5OD_KU,UCC28RsrLMmpzny_replaced_6qLg4gcg
Meme Universe,2019-01-26 03:01:40.788084,28,2017-04-12 00:00:00.000000,201789,44156412,2018-11-08 00:00:00.000000,ULTIMATE DANK MEMES COMPILATION #47,Comedy,10.52,3033484,55362,3622,False,True,https://www.youtube.com/watch?v=G0kd92HPOwg,UCC28RsrLMmpzny_replaced_6qLg4gcg
Meme Universe,2019-01-26 03:01:40.788084,28,2017-04-12 00:00:00.000000,201789,44156412,2018-10-21 00:00:00.000000,ULTIMATE DANK MEMES COMPILATION #46,Comedy,10.55,1116118,13374,446,False,True,https://www.youtube.com/watch?v=yaMegHDr3MA,UCC28RsrLMmpzny_replaced_6qLg4gcg
Meme Universe,2019-01-26 03:01:40.788084,28,2017-04-12 00:00:00.000000,201789,44156412,2018-10-16 00:00:00.000000,ULTIMATE DANK MEMES COMPILATION #45,Comedy,10.88,1453154,19046,812,False,True,https://www.youtube.com/watch?v=F6LTxm-HQjM,UCC28RsrLMmpzny_replaced_6qLg4gcg
Meme Universe,2019-01-26 03:01:40.788084,28,2017-04-12 00:00:00.000000,201789,44156412,2018-10-14 00:00:00.000000,ULTIMATE DANK MEMES COMPILATION #44,Comedy,10.07,297606,6899,168,False,True,https://www.youtube.com/watch?v=Wp42F5m-Kgc,UCC28RsrLMmpzny_replaced_6qLg4gcg
Meme Universe,2019-01-26 03:01:40.788084,28,2017-04-12 00:00:00.000000,201789,44156412,2018-10-13 00:00:00.000000,ULTIMATE DANK MEMES COMPILATION #43,Comedy,10.07,1151213,21718,589,False,True,https://www.youtube.com/watch?v=35LQDCyc0D8,UCC28RsrLMmpzny_replaced_6qLg4gcg
