ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
Fraankoo MaartiineZ,2019-02-18 03:26:58.949101,10,2011-09-03 00:00:00.000000,11,9255,2014-11-27 00:00:00.000000,TODO EL DIA DESPIERTO MARTINEZ BU,Entertainment,0.77,18,1,1,False,True,http://www.youtube.com/watch?v=Oz6lRLKmcTo,UCDyk4RBdF_replaced_aj8yw4fRWAEug
Fraankoo MaartiineZ,2019-02-18 03:26:58.949101,10,2011-09-03 00:00:00.000000,11,9255,2014-01-30 00:00:00.000000,"Muy Felices,se nota?",Entertainment,6.32,25,1,0,False,True,http://www.youtube.com/watch?v=ktYmR-nXLB4,UCDyk4RBdF_replaced_aj8yw4fRWAEug
Fraankoo MaartiineZ,2019-02-18 03:26:58.949101,10,2011-09-03 00:00:00.000000,11,9255,2014-01-23 00:00:00.000000,Soy un gato. (version hombre),Entertainment,1.42,58,1,0,False,True,http://www.youtube.com/watch?v=K3eUChs3Qjs,UCDyk4RBdF_replaced_aj8yw4fRWAEug
Fraankoo MaartiineZ,2019-02-18 03:26:58.949101,10,2011-09-03 00:00:00.000000,11,9255,2013-05-18 00:00:00.000000,Fraanko el mago  ahque,Science & Technology,0.13,17,0,0,False,True,http://www.youtube.com/watch?v=khk_Tw0ENOE,UCDyk4RBdF_replaced_aj8yw4fRWAEug
Fraankoo MaartiineZ,2019-02-18 03:26:58.949101,10,2011-09-03 00:00:00.000000,11,9255,2013-04-21 00:00:00.000000,Asdasd The Knife Song,Howto & Style,0.55,8855,207,16,False,True,http://www.youtube.com/watch?v=3nh2Nn7PT5A,UCDyk4RBdF_replaced_aj8yw4fRWAEug
Fraankoo MaartiineZ,2019-02-18 03:26:58.949101,10,2011-09-03 00:00:00.000000,11,9255,2013-04-21 00:00:00.000000,The Knife Song,Music,0.65,23,1,0,False,True,http://www.youtube.com/watch?v=AyjZZOukNPw,UCDyk4RBdF_replaced_aj8yw4fRWAEug
Fraankoo MaartiineZ,2019-02-18 03:26:58.949101,10,2011-09-03 00:00:00.000000,11,9255,2013-03-09 00:00:00.000000,El Baile De Pollito Pio♫,Music,2.78,50,0,0,False,True,http://www.youtube.com/watch?v=ii_HidsxLN4,UCDyk4RBdF_replaced_aj8yw4fRWAEug
Fraankoo MaartiineZ,2019-02-18 03:26:58.949101,10,2011-09-03 00:00:00.000000,11,9255,2012-12-21 00:00:00.000000,Personajes de Dragon Ball Z,Entertainment,1.93,26,0,0,False,True,http://www.youtube.com/watch?v=JzI6VEhf3fs,UCDyk4RBdF_replaced_aj8yw4fRWAEug
Fraankoo MaartiineZ,2019-02-18 03:26:58.949101,10,2011-09-03 00:00:00.000000,11,9255,2012-12-07 00:00:00.000000,te amo mucho DALMA....,Music,3.93,76,2,0,False,True,http://www.youtube.com/watch?v=ANGAMN-VqRI,UCDyk4RBdF_replaced_aj8yw4fRWAEug
Fraankoo MaartiineZ,2019-02-18 03:26:58.949101,10,2011-09-03 00:00:00.000000,11,9255,2012-11-12 00:00:00.000000,Dalma Rodriguez te amo....yo Juan Martinez,Music,4.4,94,1,0,False,True,http://www.youtube.com/watch?v=3oxQd-6S2qU,UCDyk4RBdF_replaced_aj8yw4fRWAEug
