ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
Gibi ASMR,2019-01-14 00:15:44.451770,360,2016-06-18 00:00:00.000000,1599743,406182090,2019-01-12 00:00:00.000000,[ASMR] Huge Candle & Lighter Haul - Relaxing Crackle Fire and Whispers for Sleep,Entertainment,37.72,197643,7504,157,False,True,https://www.youtube.com/watch?v=BpcjFXsv-F4,UCE6acMV3m35znLcf0JGNn7Q
Gibi ASMR,2019-01-14 00:15:44.451770,360,2016-06-18 00:00:00.000000,1599743,406182090,2019-01-10 00:00:00.000000,[ASMR] FINAL Stargirl: Big Sister Reads You to Sleep During a Thunderstorm,Entertainment,78.47,119593,4640,91,False,True,https://www.youtube.com/watch?v=h7R4xrlKTuM,UCE6acMV3m35znLcf0JGNn7Q
Gibi ASMR,2019-01-14 00:15:44.451770,360,2016-06-18 00:00:00.000000,1599743,406182090,2019-01-08 00:00:00.000000,YOU Pick My ASMR Triggers (....and I actually do them),Entertainment,38.33,677626,18596,431,False,True,https://www.youtube.com/watch?v=tV7-_XIdhj8,UCE6acMV3m35znLcf0JGNn7Q
Gibi ASMR,2019-01-14 00:15:44.451770,360,2016-06-18 00:00:00.000000,1599743,406182090,2019-01-05 00:00:00.000000,[ASMR] Whispered & Relaxing Skincare On You ~,Entertainment,31.43,709761,17282,373,False,True,https://www.youtube.com/watch?v=PxfaLoWx8oc,UCE6acMV3m35znLcf0JGNn7Q
Gibi ASMR,2019-01-14 00:15:44.451770,360,2016-06-18 00:00:00.000000,1599743,406182090,2019-01-03 00:00:00.000000,[ASMR] Witness Protection Program with Daisy | Prepare to leave your life behind!!,Entertainment,22.0,373962,13715,287,False,True,https://www.youtube.com/watch?v=GiEGL2LhYLA,UCE6acMV3m35znLcf0JGNn7Q
Gibi ASMR,2019-01-14 00:15:44.451770,360,2016-06-18 00:00:00.000000,1599743,406182090,2019-01-01 00:00:00.000000,[ASMR] Happy New Year! Relax & Get Ready With Me 2019 ♡,Entertainment,38.05,734955,20410,389,False,True,https://www.youtube.com/watch?v=CiUMeNZrr2w,UCE6acMV3m35znLcf0JGNn7Q
Gibi ASMR,2019-01-14 00:15:44.451770,360,2016-06-18 00:00:00.000000,1599743,406182090,2018-12-29 00:00:00.000000,[ASMR] Skater Girl | Reggie Rocket Welcomes You to the Neighborhood,Entertainment,25.43,602000,16597,592,False,True,https://www.youtube.com/watch?v=dnLajuWjfXE,UCE6acMV3m35znLcf0JGNn7Q
Gibi ASMR,2019-01-14 00:15:44.451770,360,2016-06-18 00:00:00.000000,1599743,406182090,2018-12-27 00:00:00.000000,"[MEGA ASMR] 1.5 HOURS+ 100 Dollar Store Triggers for Sleep ($100, 100 Triggers)",Entertainment,101.17,1267230,22210,984,False,True,https://www.youtube.com/watch?v=2xzKq1cw1rY,UCE6acMV3m35znLcf0JGNn7Q
Gibi ASMR,2019-01-14 00:15:44.451770,360,2016-06-18 00:00:00.000000,1599743,406182090,2018-12-25 00:00:00.000000,[ASMR] Mistletoe the Elf Invites You to Dinner,Entertainment,20.92,457312,14027,311,False,True,https://www.youtube.com/watch?v=_f45hDq_brg,UCE6acMV3m35znLcf0JGNn7Q
Gibi ASMR,2019-01-14 00:15:44.451770,360,2016-06-18 00:00:00.000000,1599743,406182090,2018-12-22 00:00:00.000000,[ASMR] Hand Movements & Repeating Words for Sleep,Entertainment,23.13,616461,14702,513,False,True,https://www.youtube.com/watch?v=i0Zl9cObHks,UCE6acMV3m35znLcf0JGNn7Q
Gibi ASMR,2019-01-14 00:15:44.451770,360,2016-06-18 00:00:00.000000,1599743,406182090,2018-12-20 00:00:00.000000,Don't Sleep - Chromeo Tries ASMR with Gibi for the first time!,Entertainment,39.08,289978,9102,371,False,True,https://www.youtube.com/watch?v=j4gT6QekyGM,UCE6acMV3m35znLcf0JGNn7Q
Gibi ASMR,2019-01-14 00:15:44.451770,360,2016-06-18 00:00:00.000000,1599743,406182090,2018-12-18 00:00:00.000000,[ASMR] Relaxing Ear Piercing Shop | Soft Spoken,Entertainment,37.87,1021468,17810,599,False,True,https://www.youtube.com/watch?v=mNqxjcqvezU,UCE6acMV3m35znLcf0JGNn7Q
Gibi ASMR,2019-01-14 00:15:44.451770,360,2016-06-18 00:00:00.000000,1599743,406182090,2018-12-15 00:00:00.000000,[ASMRRRR] Aboard a Dark & Stormy Pirate Ship,Entertainment,22.78,535282,16379,471,False,True,https://www.youtube.com/watch?v=NfeNXTG4jJM,UCE6acMV3m35znLcf0JGNn7Q
Gibi ASMR,2019-01-14 00:15:44.451770,360,2016-06-18 00:00:00.000000,1599743,406182090,2018-12-13 00:00:00.000000,[ASMR] Avatar Korra Balances Your Chakra,Entertainment,29.22,613183,13799,536,False,True,https://www.youtube.com/watch?v=BJ9No4VHGpE,UCE6acMV3m35znLcf0JGNn7Q
