ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
Lonely Potato,2019-01-28 04:21:45.340692,15,2018-01-12 00:00:00.000000,6638,342285,2019-01-27 00:00:00.000000,[BTS JIMIN FF] Married To My Sister's Fiance (Episode 7),People & Blogs,12.07,5188,287,0,False,True,https://www.youtube.com/watch?v=IA2TwwXKiP8,UCEW11h5qldKtxcVGz_replaced_hlvwg
Lonely Potato,2019-01-28 04:21:45.340692,15,2018-01-12 00:00:00.000000,6638,342285,2019-01-14 00:00:00.000000,[JUNGKOOK FF] Unknown Friend [Episode 1],People & Blogs,16.2,3556,197,3,False,True,https://www.youtube.com/watch?v=Id-_fGDuvCg,UCEW11h5qldKtxcVGz_replaced_hlvwg
Lonely Potato,2019-01-28 04:21:45.340692,15,2018-01-12 00:00:00.000000,6638,342285,2018-12-22 00:00:00.000000,[BTS JIMIN FF] Married To My Sister's Fiance [Episode 6],People & Blogs,10.42,15488,537,5,False,True,https://www.youtube.com/watch?v=xYfJg4zZLxQ,UCEW11h5qldKtxcVGz_replaced_hlvwg
Lonely Potato,2019-01-28 04:21:45.340692,15,2018-01-12 00:00:00.000000,6638,342285,2018-12-16 00:00:00.000000,[BTS JIMIN FF] Married To My Sister's Fiance [Episode 5],People & Blogs,12.82,16498,532,2,False,True,https://www.youtube.com/watch?v=_yZ05tfRDSM,UCEW11h5qldKtxcVGz_replaced_hlvwg
Lonely Potato,2019-01-28 04:21:45.340692,15,2018-01-12 00:00:00.000000,6638,342285,2018-12-11 00:00:00.000000,[BTS JIMIN FF]Married To My Sister's Fiance [episode 4],People & Blogs,10.53,18040,567,5,False,True,https://www.youtube.com/watch?v=ooBKq8WqHwY,UCEW11h5qldKtxcVGz_replaced_hlvwg
Lonely Potato,2019-01-28 04:21:45.340692,15,2018-01-12 00:00:00.000000,6638,342285,2018-11-29 00:00:00.000000,[BTS JIMIN FF] Married To My Sister's Fiance [Episode 3],People & Blogs,10.9,18893,581,4,False,True,https://www.youtube.com/watch?v=0T4RN8kbbGE,UCEW11h5qldKtxcVGz_replaced_hlvwg
Lonely Potato,2019-01-28 04:21:45.340692,15,2018-01-12 00:00:00.000000,6638,342285,2018-11-27 00:00:00.000000,[BTS JIMIN FF]Married To My Sister's Fiance [Episode 2],People & Blogs,8.03,18344,488,2,False,True,https://www.youtube.com/watch?v=bn-e0Qd5UW8,UCEW11h5qldKtxcVGz_replaced_hlvwg
Lonely Potato,2019-01-28 04:21:45.340692,15,2018-01-12 00:00:00.000000,6638,342285,2018-11-25 00:00:00.000000,[BTS JIMIN FF] Married To My Sister's Fiance [EPISODE 1],People & Blogs,13.82,25727,783,14,False,True,https://www.youtube.com/watch?v=ySc0MeGMQvE,UCEW11h5qldKtxcVGz_replaced_hlvwg
Lonely Potato,2019-01-28 04:21:45.340692,15,2018-01-12 00:00:00.000000,6638,342285,2018-11-23 00:00:00.000000,[TAEHYUNG FF ONESHOT] Bestfriend or Boyfriend (part 2) // The ending... :( //,People & Blogs,17.87,3334,104,3,False,True,https://www.youtube.com/watch?v=DUhy685KcI0,UCEW11h5qldKtxcVGz_replaced_hlvwg
Lonely Potato,2019-01-28 04:21:45.340692,15,2018-01-12 00:00:00.000000,6638,342285,2018-11-01 00:00:00.000000,[BTS JUNGKOOK FF ONESHOT] Change 2/2 (final),People & Blogs,23.4,38929,1030,14,False,True,https://www.youtube.com/watch?v=4Y75cYSrzyg,UCEW11h5qldKtxcVGz_replaced_hlvwg
Lonely Potato,2019-01-28 04:21:45.340692,15,2018-01-12 00:00:00.000000,6638,342285,2018-09-16 00:00:00.000000,[JUNGKOOK ONESHOT] Change 1/2,People & Blogs,26.3,81168,1886,25,False,True,https://www.youtube.com/watch?v=cwyLqE0Cx2c,UCEW11h5qldKtxcVGz_replaced_hlvwg
Lonely Potato,2019-01-28 04:21:45.340692,15,2018-01-12 00:00:00.000000,6638,342285,2018-06-29 00:00:00.000000,[TAEHYUNG ONESHOT] BEST FRIEND OR BOYFRIEND,People & Blogs,25.7,86174,2612,35,False,True,https://www.youtube.com/watch?v=AriKDSHhrIM,UCEW11h5qldKtxcVGz_replaced_hlvwg
Lonely Potato,2019-01-28 04:21:45.340692,15,2018-01-12 00:00:00.000000,6638,342285,2018-02-18 00:00:00.000000,[BTS SUGA ONESHOT] You're My Destiny (part 2/2),People & Blogs,9.53,2279,66,0,False,True,https://www.youtube.com/watch?v=w_o43KVgLNE,UCEW11h5qldKtxcVGz_replaced_hlvwg
Lonely Potato,2019-01-28 04:21:45.340692,15,2018-01-12 00:00:00.000000,6638,342285,2018-02-18 00:00:00.000000,[BTS SUGA ONESHOT] You're My Destiny ( part 1/2 ),People & Blogs,12.13,2667,63,0,False,True,https://www.youtube.com/watch?v=XZ4bz9Vx7vs,UCEW11h5qldKtxcVGz_replaced_hlvwg
Lonely Potato,2019-01-28 04:21:45.340692,15,2018-01-12 00:00:00.000000,6638,342285,2018-01-15 00:00:00.000000,[BTS JIMIN ONESHOT] I LOVE YOU,People & Blogs,13.57,6038,146,3,False,True,https://www.youtube.com/watch?v=YEwo3TgjHwU,UCEW11h5qldKtxcVGz_replaced_hlvwg
