ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
SourPix,2019-01-29 03:50:48.630391,161,2008-02-10 00:00:00.000000,1741,3498155,2013-04-14 00:00:00.000000,Fan-made trailer for the Emmeritus production Assignment KGB,Film & Animation,3.65,573,2,0,False,True,https://www.youtube.com/watch?v=pP9V3c6NJOY,UCFRIfhx4YH91rnKKUoK1SSQ
SourPix,2019-01-29 03:50:48.630391,161,2008-02-10 00:00:00.000000,1741,3498155,2013-03-24 00:00:00.000000,Diddly Squat Gets bombarded with more prank phone calls on public access MNN,Entertainment,3.77,94923,1122,49,False,True,https://www.youtube.com/watch?v=BesW4bhjCjo,UCFRIfhx4YH91rnKKUoK1SSQ
SourPix,2019-01-29 03:50:48.630391,161,2008-02-10 00:00:00.000000,1741,3498155,2013-03-09 00:00:00.000000,The Soul Shakers - Big Train,Music,2.73,1573,6,0,False,True,https://www.youtube.com/watch?v=KMrdFfiEfAw,UCFRIfhx4YH91rnKKUoK1SSQ
SourPix,2019-01-29 03:50:48.630391,161,2008-02-10 00:00:00.000000,1741,3498155,2013-03-09 00:00:00.000000,The Soul Shakers - You're Turnin',Music,2.72,3144,21,0,False,True,https://www.youtube.com/watch?v=uK8NTtUfGeE,UCFRIfhx4YH91rnKKUoK1SSQ
SourPix,2019-01-29 03:50:48.630391,161,2008-02-10 00:00:00.000000,1741,3498155,2013-02-10 00:00:00.000000,Lord Cristo - Mock Democracy,Music,3.38,3702,19,0,False,True,https://www.youtube.com/watch?v=kIZ-uEqQw7I,UCFRIfhx4YH91rnKKUoK1SSQ
SourPix,2019-01-29 03:50:48.630391,161,2008-02-10 00:00:00.000000,1741,3498155,2012-11-27 00:00:00.000000,North Hollywood Shootout: Terror in the Streets of L.A.!,News & Politics,3.53,5440,13,2,False,True,https://www.youtube.com/watch?v=81uyly4GqKQ,UCFRIfhx4YH91rnKKUoK1SSQ
SourPix,2019-01-29 03:50:48.630391,161,2008-02-10 00:00:00.000000,1741,3498155,2012-11-26 00:00:00.000000,It's OK to Say No To Drugs... through song!,Music,3.02,96691,251,34,False,True,https://www.youtube.com/watch?v=wQkvA4o60xE,UCFRIfhx4YH91rnKKUoK1SSQ
SourPix,2019-01-29 03:50:48.630391,161,2008-02-10 00:00:00.000000,1741,3498155,2012-06-06 00:00:00.000000,Fan trailer for the neoblaxploitation film Two Degrees,Entertainment,4.4,1241,8,0,False,True,https://www.youtube.com/watch?v=e9RoAjwdDK4,UCFRIfhx4YH91rnKKUoK1SSQ
SourPix,2019-01-29 03:50:48.630391,161,2008-02-10 00:00:00.000000,1741,3498155,2012-04-17 00:00:00.000000,The fear of clowns,Entertainment,1.37,3009,14,3,False,True,https://www.youtube.com/watch?v=lsuSo9P1uKQ,UCFRIfhx4YH91rnKKUoK1SSQ
SourPix,2019-01-29 03:50:48.630391,161,2008-02-10 00:00:00.000000,1741,3498155,2012-04-03 00:00:00.000000,"Brooklyn street cockatoo says ""Hi Carlos""",Pets & Animals,0.57,381,2,0,False,True,https://www.youtube.com/watch?v=dh5w_y-HJtM,UCFRIfhx4YH91rnKKUoK1SSQ
