ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
riam barbosa riam barbosa,2019-02-14 03:05:53.196103,17,2017-01-30 00:00:00.000000,1046,464070,2019-02-08 00:00:00.000000,vem jogar free Fire,People & Blogs,0.05,21,1,0,False,True,https://www.youtube.com/watch?v=L2MD7S_V50E,UCG6SLmdKswcYLWybMsz1A6g
riam barbosa riam barbosa,2019-02-14 03:05:53.196103,17,2017-01-30 00:00:00.000000,1046,464070,2019-02-08 00:00:00.000000,vem jogar free Fire,People & Blogs,1.68,8,0,0,False,True,https://www.youtube.com/watch?v=p5bZWjS_gj4,UCG6SLmdKswcYLWybMsz1A6g
riam barbosa riam barbosa,2019-02-14 03:05:53.196103,17,2017-01-30 00:00:00.000000,1046,464070,2019-02-05 00:00:00.000000,5 de fevereiro de 2019,People & Blogs,11.12,25,3,0,False,True,https://www.youtube.com/watch?v=tM7NfM8J7J4,UCG6SLmdKswcYLWybMsz1A6g
riam barbosa riam barbosa,2019-02-14 03:05:53.196103,17,2017-01-30 00:00:00.000000,1046,464070,2019-02-04 00:00:00.000000,O nome dela é Jenifer,People & Blogs,1.38,34,3,0,False,True,https://www.youtube.com/watch?v=fmtddSWO9K0,UCG6SLmdKswcYLWybMsz1A6g
riam barbosa riam barbosa,2019-02-14 03:05:53.196103,17,2017-01-30 00:00:00.000000,1046,464070,2019-01-31 00:00:00.000000,Esquema,People & Blogs,15.38,24,1,0,False,True,https://www.youtube.com/watch?v=V8qlmqeI4bc,UCG6SLmdKswcYLWybMsz1A6g
riam barbosa riam barbosa,2019-02-14 03:05:53.196103,17,2017-01-30 00:00:00.000000,1046,464070,2019-01-30 00:00:00.000000,Vídeo muito legal,People & Blogs,6.07,26,3,1,False,True,https://www.youtube.com/watch?v=-58_C37e64E,UCG6SLmdKswcYLWybMsz1A6g
riam barbosa riam barbosa,2019-02-14 03:05:53.196103,17,2017-01-30 00:00:00.000000,1046,464070,2019-01-29 00:00:00.000000,Cachorro do Bolsonaro,People & Blogs,0.7,19,0,0,False,True,https://www.youtube.com/watch?v=tjdlFocDZHs,UCG6SLmdKswcYLWybMsz1A6g
riam barbosa riam barbosa,2019-02-14 03:05:53.196103,17,2017-01-30 00:00:00.000000,1046,464070,2019-01-28 00:00:00.000000,Ela tem medo de vizinho,People & Blogs,0.3,24,1,0,False,True,https://www.youtube.com/watch?v=-DSOrQwd_JA,UCG6SLmdKswcYLWybMsz1A6g
riam barbosa riam barbosa,2019-02-14 03:05:53.196103,17,2017-01-30 00:00:00.000000,1046,464070,2019-01-16 00:00:00.000000,Mini World,People & Blogs,13.17,44,2,1,False,True,https://www.youtube.com/watch?v=ug8axXlfcgw,UCG6SLmdKswcYLWybMsz1A6g
riam barbosa riam barbosa,2019-02-14 03:05:53.196103,17,2017-01-30 00:00:00.000000,1046,464070,2018-12-30 00:00:00.000000,Bedwars,People & Blogs,14.98,70,2,0,False,True,https://www.youtube.com/watch?v=ETMfhZLEN4g,UCG6SLmdKswcYLWybMsz1A6g
riam barbosa riam barbosa,2019-02-14 03:05:53.196103,17,2017-01-30 00:00:00.000000,1046,464070,2018-12-28 00:00:00.000000,Trolagems,People & Blogs,9.85,53,2,0,False,True,https://www.youtube.com/watch?v=ok36rB6q5GU,UCG6SLmdKswcYLWybMsz1A6g
riam barbosa riam barbosa,2019-02-14 03:05:53.196103,17,2017-01-30 00:00:00.000000,1046,464070,2018-12-28 00:00:00.000000,Free free Fire,People & Blogs,12.17,33,4,0,False,True,https://www.youtube.com/watch?v=WRxDzY3aQM4,UCG6SLmdKswcYLWybMsz1A6g
riam barbosa riam barbosa,2019-02-14 03:05:53.196103,17,2017-01-30 00:00:00.000000,1046,464070,2018-12-12 00:00:00.000000,qual do gravador de vidio,People & Blogs,0.33,76,2,0,False,True,https://www.youtube.com/watch?v=4f_1HtDbfNE,UCG6SLmdKswcYLWybMsz1A6g
riam barbosa riam barbosa,2019-02-14 03:05:53.196103,17,2017-01-30 00:00:00.000000,1046,464070,2018-11-28 00:00:00.000000,minicraft,People & Blogs,0.43,140,1,1,False,True,https://www.youtube.com/watch?v=DGDAMOWRMPM,UCG6SLmdKswcYLWybMsz1A6g
riam barbosa riam barbosa,2019-02-14 03:05:53.196103,17,2017-01-30 00:00:00.000000,1046,464070,2018-11-21 00:00:00.000000,rep dragombouz,People & Blogs,3.48,42,1,0,False,True,https://www.youtube.com/watch?v=heTRn2jifPg,UCG6SLmdKswcYLWybMsz1A6g
riam barbosa riam barbosa,2019-02-14 03:05:53.196103,17,2017-01-30 00:00:00.000000,1046,464070,2018-11-21 00:00:00.000000,rep dragom bou,People & Blogs,3.88,176,1,0,False,True,https://www.youtube.com/watch?v=CI0xBlyxNYY,UCG6SLmdKswcYLWybMsz1A6g
riam barbosa riam barbosa,2019-02-14 03:05:53.196103,17,2017-01-30 00:00:00.000000,1046,464070,2018-02-28 00:00:00.000000,gggg,People & Blogs,0.52,463288,1032,523,False,True,https://www.youtube.com/watch?v=rs4teug3YrA,UCG6SLmdKswcYLWybMsz1A6g
