ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
SHAKEEL SADDIQUE COMEDY,2019-01-26 20:30:55.958138,10,2018-05-19 00:00:00.000000,0,886881,2018-12-20 00:00:00.000000,Shakeel Siddiqui Comedy  Flirt with Hot and Beautiful naughty Sunny Leone,Entertainment,5.3,1356,37,0,False,True,https://www.youtube.com/watch?v=NVB2mFkylMQ,UCGv1TQS8JpbhAw11sPmB1Iw
SHAKEEL SADDIQUE COMEDY,2019-01-26 20:30:55.958138,10,2018-05-19 00:00:00.000000,0,886881,2018-12-17 00:00:00.000000,Shakeel saddiqi super duper comdy Mukti Mohan | Non Stop Comedy,Entertainment,7.02,580,14,1,False,True,https://www.youtube.com/watch?v=FDePtONQHtI,UCGv1TQS8JpbhAw11sPmB1Iw
SHAKEEL SADDIQUE COMEDY,2019-01-26 20:30:55.958138,10,2018-05-19 00:00:00.000000,0,886881,2018-12-07 00:00:00.000000,Shakeel Siddiqui Ever Best  Comedy With Indian TV Drama Actors 😂😆,Entertainment,5.88,2590,68,2,False,True,https://www.youtube.com/watch?v=GIkS9ErPrb8,UCGv1TQS8JpbhAw11sPmB1Iw
SHAKEEL SADDIQUE COMEDY,2019-01-26 20:30:55.958138,10,2018-05-19 00:00:00.000000,0,886881,2018-11-12 00:00:00.000000,Shakeel Siddiqui Best Comedy | Arjun Kapoor | Arjun Kapoor Non Stop Laughing,Entertainment,4.27,3150,115,1,False,True,https://www.youtube.com/watch?v=GwbQfaSJXNA,UCGv1TQS8JpbhAw11sPmB1Iw
SHAKEEL SADDIQUE COMEDY,2019-01-26 20:30:55.958138,10,2018-05-19 00:00:00.000000,0,886881,2018-10-25 00:00:00.000000,Shakeel Siddiqui best ever comedy,Entertainment,6.88,163074,1189,65,False,True,https://www.youtube.com/watch?v=aB0TRD1j9U4,UCGv1TQS8JpbhAw11sPmB1Iw
SHAKEEL SADDIQUE COMEDY,2019-01-26 20:30:55.958138,10,2018-05-19 00:00:00.000000,0,886881,2018-10-19 00:00:00.000000,"Shakeel Siddiqui,Shruti Seth and Pooja Bose with Rani Chatterjee, Khesarila SUBSCRIBE  PLZZZ",Entertainment,10.17,490348,2130,166,False,True,https://www.youtube.com/watch?v=2R0RA_6JONY,UCGv1TQS8JpbhAw11sPmB1Iw
SHAKEEL SADDIQUE COMEDY,2019-01-26 20:30:55.958138,10,2018-05-19 00:00:00.000000,0,886881,2018-10-19 00:00:00.000000,Shakeel saddiqi with malika sharawath comedy circus hahaha,Entertainment,9.47,32623,187,15,False,True,https://www.youtube.com/watch?v=BbXLhrMiSBs,UCGv1TQS8JpbhAw11sPmB1Iw
SHAKEEL SADDIQUE COMEDY,2019-01-26 20:30:55.958138,10,2018-05-19 00:00:00.000000,0,886881,2018-05-21 00:00:00.000000,Shakeel Siddiqui Great Comedy,Entertainment,6.12,108427,575,73,False,True,https://www.youtube.com/watch?v=SBtlyNaTxQY,UCGv1TQS8JpbhAw11sPmB1Iw
SHAKEEL SADDIQUE COMEDY,2019-01-26 20:30:55.958138,10,2018-05-19 00:00:00.000000,0,886881,2018-05-20 00:00:00.000000,Shakeel Siddiqui Great Comedy Once Again With Shruti Seth TAKING ON RAHU RAM A,Entertainment,6.8,82704,524,23,False,True,https://www.youtube.com/watch?v=Jg97CxEiuBc,UCGv1TQS8JpbhAw11sPmB1Iw
SHAKEEL SADDIQUE COMEDY,2019-01-26 20:30:55.958138,10,2018-05-19 00:00:00.000000,0,886881,2018-05-20 00:00:00.000000,Comedy king shakeel siddiqui outstanding comedy in india,Entertainment,3.47,2171,57,1,False,True,https://www.youtube.com/watch?v=Pa0QZMRMA3Q,UCGv1TQS8JpbhAw11sPmB1Iw
