ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
760 Glass,2019-01-21 23:53:37.006936,22,2014-10-03 00:00:00.000000,19305,4093913,2019-01-07 00:00:00.000000,Pressing Rosin with the Low Temp Cage Press,Education,15.72,1035,39,2,False,True,https://www.youtube.com/watch?v=n2qs_UGeCes,UCHjOmAaZHEXlw2DNULy86mA
760 Glass,2019-01-21 23:53:37.006936,22,2014-10-03 00:00:00.000000,19305,4093913,2018-09-26 00:00:00.000000,Making THC Vape Carts with Terp Liquefy,Education,11.28,73324,1125,32,False,True,https://www.youtube.com/watch?v=n3JDJcmm1yg,UCHjOmAaZHEXlw2DNULy86mA
760 Glass,2019-01-21 23:53:37.006936,22,2014-10-03 00:00:00.000000,19305,4093913,2018-09-10 00:00:00.000000,Cannabis Cold Remedy? Infused Cocktails: Medicated Hot Toddy,Education,2.7,1826,43,0,False,True,https://www.youtube.com/watch?v=Z_4gcgqPO5k,UCHjOmAaZHEXlw2DNULy86mA
760 Glass,2019-01-21 23:53:37.006936,22,2014-10-03 00:00:00.000000,19305,4093913,2018-08-24 00:00:00.000000,Easy Edibles- Double Infused Peanut Butter Crunch Rice Krispy Treats,Education,5.92,4353,141,2,False,True,https://www.youtube.com/watch?v=1QcrKiyX8rk,UCHjOmAaZHEXlw2DNULy86mA
760 Glass,2019-01-21 23:53:37.006936,22,2014-10-03 00:00:00.000000,19305,4093913,2018-08-16 00:00:00.000000,5 Tips and Tricks for B3 Vape Carts,Entertainment,8.2,15463,242,6,False,True,https://www.youtube.com/watch?v=jh_mYK2Fvm8,UCHjOmAaZHEXlw2DNULy86mA
760 Glass,2019-01-21 23:53:37.006936,22,2014-10-03 00:00:00.000000,19305,4093913,2018-08-06 00:00:00.000000,Wax Wallet - Best way to store concentrates,Entertainment,3.68,3962,51,2,False,True,https://www.youtube.com/watch?v=qeTqtptrDdo,UCHjOmAaZHEXlw2DNULy86mA
760 Glass,2019-01-21 23:53:37.006936,22,2014-10-03 00:00:00.000000,19305,4093913,2018-06-13 00:00:00.000000,Bubble Hash Tutorial,Entertainment,12.87,2324,73,6,False,False,https://www.youtube.com/watch?v=kCi-YkTziKY,UCHjOmAaZHEXlw2DNULy86mA
760 Glass,2019-01-21 23:53:37.006936,22,2014-10-03 00:00:00.000000,19305,4093913,2018-05-11 00:00:00.000000,Easy Edibles - Cannabis Infused Oil with NO SMELL,Entertainment,7.58,41647,1593,10,False,False,https://www.youtube.com/watch?v=5qaxUyxzJsA,UCHjOmAaZHEXlw2DNULy86mA
760 Glass,2019-01-21 23:53:37.006936,22,2014-10-03 00:00:00.000000,19305,4093913,2018-04-25 00:00:00.000000,Pressing Rosin Pucks With The Low Temp Pre-Press,Entertainment,9.95,12399,151,12,False,True,https://www.youtube.com/watch?v=FpfQevMrcxI,UCHjOmAaZHEXlw2DNULy86mA
760 Glass,2019-01-21 23:53:37.006936,22,2014-10-03 00:00:00.000000,19305,4093913,2018-03-22 00:00:00.000000,Make Edibles From Reclaim wax: CREME BRULEE,Entertainment,9.82,4907,109,5,False,False,https://www.youtube.com/watch?v=kno-XJ7PxvM,UCHjOmAaZHEXlw2DNULy86mA
