ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
Transformers Music,2018-12-30 22:36:52.220750,69,2014-06-30 00:00:00.000000,7621,4414765,2017-06-23 00:00:00.000000,Transformers: The Last Knight FULL Soundtrack - Steve Jablonsky,Music,129.55,293181,1189,255,False,True,https://www.youtube.com/watch?v=vFAm_mbs6Ts,UCJKhI1BIXAgylPhSHI6wJDw
Transformers Music,2018-12-30 22:36:52.220750,69,2014-06-30 00:00:00.000000,7621,4414765,2017-06-23 00:00:00.000000,History of Transformers (Transformers: The Last Knight Soundtrack) Steve Jablonsky,Music,4.4,18748,169,1,False,True,https://www.youtube.com/watch?v=amZojljL6do,UCJKhI1BIXAgylPhSHI6wJDw
Transformers Music,2018-12-30 22:36:52.220750,69,2014-06-30 00:00:00.000000,7621,4414765,2017-06-23 00:00:00.000000,No-Go Zone (Transformers: The Last Knight Soundtrack) Steve Jablonsky,Music,3.48,4407,32,0,False,True,https://www.youtube.com/watch?v=GG-FtemUmOI,UCJKhI1BIXAgylPhSHI6wJDw
Transformers Music,2018-12-30 22:36:52.220750,69,2014-06-30 00:00:00.000000,7621,4414765,2017-06-23 00:00:00.000000,Stay and Fight (Transformers: The Last Knight Soundtrack) Steve Jablonsky,Music,6.45,8261,63,0,False,True,https://www.youtube.com/watch?v=1DBvkCA3BnM,UCJKhI1BIXAgylPhSHI6wJDw
Transformers Music,2018-12-30 22:36:52.220750,69,2014-06-30 00:00:00.000000,7621,4414765,2017-06-23 00:00:00.000000,Code Red (Transformers: The Last Knight Soundtrack) Steve Jablonsky,Music,2.22,3521,42,0,False,True,https://www.youtube.com/watch?v=NYcLMVlPyfE,UCJKhI1BIXAgylPhSHI6wJDw
Transformers Music,2018-12-30 22:36:52.220750,69,2014-06-30 00:00:00.000000,7621,4414765,2017-06-23 00:00:00.000000,Izzy (Transformers: The Last Knight Soundtrack) Steve Jablonsky,Music,4.02,16283,150,2,False,True,https://www.youtube.com/watch?v=C16xK_ZQiiQ,UCJKhI1BIXAgylPhSHI6wJDw
Transformers Music,2018-12-30 22:36:52.220750,69,2014-06-30 00:00:00.000000,7621,4414765,2017-06-23 00:00:00.000000,Purity of Heart (Transformers: The Last Knight Soundtrack) Steve Jablonsky,Music,3.58,35756,320,2,False,True,https://www.youtube.com/watch?v=f-fS0KhqcZc,UCJKhI1BIXAgylPhSHI6wJDw
Transformers Music,2018-12-30 22:36:52.220750,69,2014-06-30 00:00:00.000000,7621,4414765,2017-06-23 00:00:00.000000,Megatron Negotiation (Transformers: The Last Knight Soundtrack) Steve Jablonsky,Music,3.63,9376,103,0,False,True,https://www.youtube.com/watch?v=ba0wikSWCY0,UCJKhI1BIXAgylPhSHI6wJDw
Transformers Music,2018-12-30 22:36:52.220750,69,2014-06-30 00:00:00.000000,7621,4414765,2017-06-23 00:00:00.000000,Today We Hunt (Transformers: The Last Knight Soundtrack) Steve Jablonsky,Music,1.8,3525,34,0,False,True,https://www.youtube.com/watch?v=Y97K1l3ucB8,UCJKhI1BIXAgylPhSHI6wJDw
Transformers Music,2018-12-30 22:36:52.220750,69,2014-06-30 00:00:00.000000,7621,4414765,2017-06-23 00:00:00.000000,Running out of Tomorrows (Transformers: The Last Knight Soundtrack) Steve Jablonsky,Music,1.35,3157,22,0,False,True,https://www.youtube.com/watch?v=63sdjdy8z1Y,UCJKhI1BIXAgylPhSHI6wJDw
