ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
True Trading Group,2019-01-07 06:37:07.757740,144,2017-07-03 00:00:00.000000,5777,324758,2019-01-03 00:00:00.000000,How to Tell a Stock is Weakening,Education,11.77,1553,88,0,False,True,https://www.youtube.com/watch?v=jqSwWnsOXnQ,UCL_replaced_u6G4xFWxc_replaced_jJT37rRjbw
True Trading Group,2019-01-07 06:37:07.757740,144,2017-07-03 00:00:00.000000,5777,324758,2019-01-02 00:00:00.000000,Best Lessons and Recap of 2018,Education,34.38,1175,121,0,False,True,https://www.youtube.com/watch?v=1Q-7HVMcc5k,UCL_replaced_u6G4xFWxc_replaced_jJT37rRjbw
True Trading Group,2019-01-07 06:37:07.757740,144,2017-07-03 00:00:00.000000,5777,324758,2018-12-19 00:00:00.000000,Another MONSTER $TVIX Trade! $SPY,Education,12.0,1475,59,1,False,True,https://www.youtube.com/watch?v=ii7b89A-NQw,UCL_replaced_u6G4xFWxc_replaced_jJT37rRjbw
True Trading Group,2019-01-07 06:37:07.757740,144,2017-07-03 00:00:00.000000,5777,324758,2018-12-18 00:00:00.000000,What's the Fed Going To Do? $TVIX $SPY,Education,11.7,1212,50,0,False,True,https://www.youtube.com/watch?v=Nauto8iZtiE,UCL_replaced_u6G4xFWxc_replaced_jJT37rRjbw
True Trading Group,2019-01-07 06:37:07.757740,144,2017-07-03 00:00:00.000000,5777,324758,2018-12-12 00:00:00.000000,How Yesterday's Lesson Helped Me Nail Another Trade in $SFIX,Education,6.85,1033,45,0,False,True,https://www.youtube.com/watch?v=qyGG8cpfPd4,UCL_replaced_u6G4xFWxc_replaced_jJT37rRjbw
True Trading Group,2019-01-07 06:37:07.757740,144,2017-07-03 00:00:00.000000,5777,324758,2018-12-11 00:00:00.000000,The Importance of the Daily Chart $SFIX,Education,13.07,1296,57,1,False,True,https://www.youtube.com/watch?v=0k3vjrZthoA,UCL_replaced_u6G4xFWxc_replaced_jJT37rRjbw
True Trading Group,2019-01-07 06:37:07.757740,144,2017-07-03 00:00:00.000000,5777,324758,2018-12-10 00:00:00.000000,Sticking to What's Working $TVIX $SPY,Education,10.85,966,40,1,False,True,https://www.youtube.com/watch?v=ZoVtwB9TcrQ,UCL_replaced_u6G4xFWxc_replaced_jJT37rRjbw
True Trading Group,2019-01-07 06:37:07.757740,144,2017-07-03 00:00:00.000000,5777,324758,2018-12-07 00:00:00.000000,"It's Your Time to LEARN, TRADE & PROFIT!",Education,4.47,36177,132,45,False,True,https://www.youtube.com/watch?v=_-8lOO7w-F4,UCL_replaced_u6G4xFWxc_replaced_jJT37rRjbw
True Trading Group,2019-01-07 06:37:07.757740,144,2017-07-03 00:00:00.000000,5777,324758,2018-12-06 00:00:00.000000,2 Lessons on Volatility $TVIX $SPY,Education,17.17,1616,63,2,False,True,https://www.youtube.com/watch?v=52Z_9aN6rA4,UCL_replaced_u6G4xFWxc_replaced_jJT37rRjbw
True Trading Group,2019-01-07 06:37:07.757740,144,2017-07-03 00:00:00.000000,5777,324758,2018-12-04 00:00:00.000000,Another -800 Point Day! What Happened Now? $SPY $DIA,Education,12.63,1732,67,0,False,True,https://www.youtube.com/watch?v=N0sve6zIeX0,UCL_replaced_u6G4xFWxc_replaced_jJT37rRjbw
True Trading Group,2019-01-07 06:37:07.757740,144,2017-07-03 00:00:00.000000,5777,324758,2018-12-03 00:00:00.000000,3 Lessons in 1 Trade $AETI,Education,16.82,1969,106,0,False,True,https://www.youtube.com/watch?v=YiyOjffNs-U,UCL_replaced_u6G4xFWxc_replaced_jJT37rRjbw
True Trading Group,2019-01-07 06:37:07.757740,144,2017-07-03 00:00:00.000000,5777,324758,2018-11-29 00:00:00.000000,I Made a Mistake. Learn From It. $TNXP,Education,7.57,1833,93,1,False,True,https://www.youtube.com/watch?v=oHKnjLkm7hA,UCL_replaced_u6G4xFWxc_replaced_jJT37rRjbw
True Trading Group,2019-01-07 06:37:07.757740,144,2017-07-03 00:00:00.000000,5777,324758,2018-11-28 00:00:00.000000,Stuck to My Game Plan & It Paid Big Time! $ALQA $TNXP $SPY,Education,13.45,1771,60,0,False,True,https://www.youtube.com/watch?v=SWauyhthhDo,UCL_replaced_u6G4xFWxc_replaced_jJT37rRjbw
True Trading Group,2019-01-07 06:37:07.757740,144,2017-07-03 00:00:00.000000,5777,324758,2018-11-27 00:00:00.000000,A Monster +250% Move! $ASNS,Education,14.47,1504,55,0,False,True,https://www.youtube.com/watch?v=KJjzE67lfqA,UCL_replaced_u6G4xFWxc_replaced_jJT37rRjbw
True Trading Group,2019-01-07 06:37:07.757740,144,2017-07-03 00:00:00.000000,5777,324758,2018-11-20 00:00:00.000000,Special Offer: Free 1-on-1 Mentor Session with Me!,Education,13.0,689,48,1,False,True,https://www.youtube.com/watch?v=r9Kzl1aikDc,UCL_replaced_u6G4xFWxc_replaced_jJT37rRjbw
True Trading Group,2019-01-07 06:37:07.757740,144,2017-07-03 00:00:00.000000,5777,324758,2018-11-19 00:00:00.000000,Adjusting Your Game Plan Mid Trade $YECO,Education,14.85,1225,65,1,False,True,https://www.youtube.com/watch?v=6DtyrU6SdQg,UCL_replaced_u6G4xFWxc_replaced_jJT37rRjbw
True Trading Group,2019-01-07 06:37:07.757740,144,2017-07-03 00:00:00.000000,5777,324758,2018-11-14 00:00:00.000000,You Can't Trade Without a Game Plan. Period. $PCG,Education,12.58,2001,67,1,False,True,https://www.youtube.com/watch?v=uPp9sOkGv5o,UCL_replaced_u6G4xFWxc_replaced_jJT37rRjbw
True Trading Group,2019-01-07 06:37:07.757740,144,2017-07-03 00:00:00.000000,5777,324758,2018-11-12 00:00:00.000000,Gotta Take What the Market Gives You: SHORT $AMRN,Education,11.18,1375,59,4,False,True,https://www.youtube.com/watch?v=dIVS4JbAwOo,UCL_replaced_u6G4xFWxc_replaced_jJT37rRjbw
True Trading Group,2019-01-07 06:37:07.757740,144,2017-07-03 00:00:00.000000,5777,324758,2018-11-06 00:00:00.000000,How to Trade Double Bottom Gap Up Patterns $VCEL $MYL,Education,12.75,1636,84,0,False,True,https://www.youtube.com/watch?v=qkKZW36xdeU,UCL_replaced_u6G4xFWxc_replaced_jJT37rRjbw
