ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
Scottish Murmurs ASMR,2019-01-09 04:46:11.811628,152,2016-07-18 00:00:00.000000,121403,19795329,2019-01-06 00:00:00.000000,"ASMR Turkish Barber Style Haircut, Shave and Massage",People & Blogs,30.08,50322,1150,39,False,True,https://www.youtube.com/watch?v=Cwk8arncdX0,UCLcyg3kjSwlUxjnQhSMqfmg
Scottish Murmurs ASMR,2019-01-09 04:46:11.811628,152,2016-07-18 00:00:00.000000,121403,19795329,2019-01-03 00:00:00.000000,ASMR Measuring You (Very Scottish Edition),People & Blogs,30.9,77741,1996,42,False,True,https://www.youtube.com/watch?v=LnB-jLwEOiA,UCLcyg3kjSwlUxjnQhSMqfmg
Scottish Murmurs ASMR,2019-01-09 04:46:11.811628,152,2016-07-18 00:00:00.000000,121403,19795329,2018-12-30 00:00:00.000000,ASMR IMPERSONATIONS OF THE TOP ASMRTISTS,People & Blogs,16.47,124015,4995,142,False,True,https://www.youtube.com/watch?v=b228fMwh4bE,UCLcyg3kjSwlUxjnQhSMqfmg
Scottish Murmurs ASMR,2019-01-09 04:46:11.811628,152,2016-07-18 00:00:00.000000,121403,19795329,2018-12-27 00:00:00.000000,ASMR Medical Exam in German and English,People & Blogs,30.35,42002,1195,41,False,True,https://www.youtube.com/watch?v=cBjNDI9cATs,UCLcyg3kjSwlUxjnQhSMqfmg
Scottish Murmurs ASMR,2019-01-09 04:46:11.811628,152,2016-07-18 00:00:00.000000,121403,19795329,2018-12-20 00:00:00.000000,ASMR Vet Physical Examination,People & Blogs,28.95,29359,1349,18,False,True,https://www.youtube.com/watch?v=ECM5nsctkdA,UCLcyg3kjSwlUxjnQhSMqfmg
Scottish Murmurs ASMR,2019-01-09 04:46:11.811628,152,2016-07-18 00:00:00.000000,121403,19795329,2018-12-17 00:00:00.000000,ASMR Chilling Outside the Office Christmas Party,People & Blogs,31.97,34275,874,16,False,True,https://www.youtube.com/watch?v=m_OIxrSTMjk,UCLcyg3kjSwlUxjnQhSMqfmg
Scottish Murmurs ASMR,2019-01-09 04:46:11.811628,152,2016-07-18 00:00:00.000000,121403,19795329,2018-12-09 00:00:00.000000,Jaguar Car ASMR ~ Luxurious Car Role Play for Sleep 🚗💤,Entertainment,22.57,39653,1059,57,False,True,https://www.youtube.com/watch?v=HP5AFOcd_6M,UCLcyg3kjSwlUxjnQhSMqfmg
Scottish Murmurs ASMR,2019-01-09 04:46:11.811628,152,2016-07-18 00:00:00.000000,121403,19795329,2018-12-05 00:00:00.000000,Your Personal Sleep Therapist (ASMR) ♥,People & Blogs,36.52,39077,872,25,False,True,https://www.youtube.com/watch?v=Plxt6BxpYiQ,UCLcyg3kjSwlUxjnQhSMqfmg
Scottish Murmurs ASMR,2019-01-09 04:46:11.811628,152,2016-07-18 00:00:00.000000,121403,19795329,2018-12-02 00:00:00.000000,ASMR Beard Shaving Role Play 🎄,People & Blogs,21.77,58689,1704,103,False,True,https://www.youtube.com/watch?v=H7w2YeyUhP4,UCLcyg3kjSwlUxjnQhSMqfmg
Scottish Murmurs ASMR,2019-01-09 04:46:11.811628,152,2016-07-18 00:00:00.000000,121403,19795329,2018-11-25 00:00:00.000000,ASMR Medical Sleep Clinic - 1 HOUR,People & Blogs,60.6,89371,1542,51,False,True,https://www.youtube.com/watch?v=C_HyD5aQ67s,UCLcyg3kjSwlUxjnQhSMqfmg
Scottish Murmurs ASMR,2019-01-09 04:46:11.811628,152,2016-07-18 00:00:00.000000,121403,19795329,2018-11-18 00:00:00.000000,If Kylie Jenner did ASMR,People & Blogs,30.48,42702,950,83,False,True,https://www.youtube.com/watch?v=6tqZVaP8Feo,UCLcyg3kjSwlUxjnQhSMqfmg
Scottish Murmurs ASMR,2019-01-09 04:46:11.811628,152,2016-07-18 00:00:00.000000,121403,19795329,2018-11-14 00:00:00.000000,ASMR Neurologist | Mapping Your Brain for ASMR Activity,People & Blogs,29.88,68170,1258,33,False,True,https://www.youtube.com/watch?v=_Xd1PvF3WY4,UCLcyg3kjSwlUxjnQhSMqfmg
Scottish Murmurs ASMR,2019-01-09 04:46:11.811628,152,2016-07-18 00:00:00.000000,121403,19795329,2018-11-11 00:00:00.000000,ASMR NEW MIC TRIGGER TEST ~ ZOOM H3-VR ~ CAN IT GIVE YOU TINGLES?,People & Blogs,37.12,32013,778,28,False,True,https://www.youtube.com/watch?v=6EPsuf7EmKk,UCLcyg3kjSwlUxjnQhSMqfmg
Scottish Murmurs ASMR,2019-01-09 04:46:11.811628,152,2016-07-18 00:00:00.000000,121403,19795329,2018-11-08 00:00:00.000000,ASMR Pointless Medical Examination (ft. Hugo the Malamute),People & Blogs,30.23,30998,1018,16,False,True,https://www.youtube.com/watch?v=DLno_PZHJlU,UCLcyg3kjSwlUxjnQhSMqfmg
Scottish Murmurs ASMR,2019-01-09 04:46:11.811628,152,2016-07-18 00:00:00.000000,121403,19795329,2018-11-04 00:00:00.000000,ASMR Helping You Sleep,People & Blogs,30.9,60175,1252,46,False,True,https://www.youtube.com/watch?v=_vr_xRuDpgI,UCLcyg3kjSwlUxjnQhSMqfmg
Scottish Murmurs ASMR,2019-01-09 04:46:11.811628,152,2016-07-18 00:00:00.000000,121403,19795329,2018-10-28 00:00:00.000000,ASMR Twin Massage and Spa ~ Sassy and Sweet ~ Layered Sounds,People & Blogs,30.9,67812,1371,59,False,True,https://www.youtube.com/watch?v=WSESL5FgdJw,UCLcyg3kjSwlUxjnQhSMqfmg
Scottish Murmurs ASMR,2019-01-09 04:46:11.811628,152,2016-07-18 00:00:00.000000,121403,19795329,2018-10-25 00:00:00.000000,ASMR Night Nurse Cares for You in Bed  (Medical Triggers),People & Blogs,35.02,59215,1259,32,False,True,https://www.youtube.com/watch?v=COAy5PSpyf0,UCLcyg3kjSwlUxjnQhSMqfmg
Scottish Murmurs ASMR,2019-01-09 04:46:11.811628,152,2016-07-18 00:00:00.000000,121403,19795329,2018-10-16 00:00:00.000000,ASMR Eating Raw Honeycomb ~ EXTREMELY Sticky Mouth Sounds! 🍯,People & Blogs,20.68,81103,1242,161,False,True,https://www.youtube.com/watch?v=VI6LAYAG-4o,UCLcyg3kjSwlUxjnQhSMqfmg
Scottish Murmurs ASMR,2019-01-09 04:46:11.811628,152,2016-07-18 00:00:00.000000,121403,19795329,2018-10-13 00:00:00.000000,ASMR Vampire Barber Shop,People & Blogs,25.37,69450,1713,61,False,True,https://www.youtube.com/watch?v=ktPC1ViSlKU,UCLcyg3kjSwlUxjnQhSMqfmg
Scottish Murmurs ASMR,2019-01-09 04:46:11.811628,152,2016-07-18 00:00:00.000000,121403,19795329,2018-10-09 00:00:00.000000,"ASMR The Most Relaxing Car Wash 🚘💧(soapy sounds, ear to ear, roleplay)",People & Blogs,23.93,40106,832,30,False,True,https://www.youtube.com/watch?v=oHiuv4sbBM4,UCLcyg3kjSwlUxjnQhSMqfmg
Scottish Murmurs ASMR,2019-01-09 04:46:11.811628,152,2016-07-18 00:00:00.000000,121403,19795329,2018-10-02 00:00:00.000000,ASMR Doctor Roleplay ~ General Checkup with a Twist (Layered Sounds),People & Blogs,21.3,94521,1501,72,False,True,https://www.youtube.com/watch?v=t2yJxFW9MnM,UCLcyg3kjSwlUxjnQhSMqfmg
Scottish Murmurs ASMR,2019-01-09 04:46:11.811628,152,2016-07-18 00:00:00.000000,121403,19795329,2018-09-24 00:00:00.000000,[ASMR] A Visit to the Sleep Enchantress 🧝‍♀️,People & Blogs,25.62,65538,1593,23,False,True,https://www.youtube.com/watch?v=msE6Rt6nF6c,UCLcyg3kjSwlUxjnQhSMqfmg
Scottish Murmurs ASMR,2019-01-09 04:46:11.811628,152,2016-07-18 00:00:00.000000,121403,19795329,2018-09-16 00:00:00.000000,ASMR Psychologist Inkblot Role Play,People & Blogs,23.2,35951,790,20,False,True,https://www.youtube.com/watch?v=ojhRjA6m5jI,UCLcyg3kjSwlUxjnQhSMqfmg
Scottish Murmurs ASMR,2019-01-09 04:46:11.811628,152,2016-07-18 00:00:00.000000,121403,19795329,2018-09-13 00:00:00.000000,ASMR For People Who Don't Get Tingles (Very Scottish Style),People & Blogs,22.45,81487,1589,47,False,True,https://www.youtube.com/watch?v=Awv0DAgBK1A,UCLcyg3kjSwlUxjnQhSMqfmg
Scottish Murmurs ASMR,2019-01-09 04:46:11.811628,152,2016-07-18 00:00:00.000000,121403,19795329,2018-09-10 00:00:00.000000,ASMR Fixing You,People & Blogs,22.7,53500,1094,23,False,True,https://www.youtube.com/watch?v=l3fWV7D6rlw,UCLcyg3kjSwlUxjnQhSMqfmg
Scottish Murmurs ASMR,2019-01-09 04:46:11.811628,152,2016-07-18 00:00:00.000000,121403,19795329,2018-09-06 00:00:00.000000,ASMR Doing Your Makeup Roleplay,People & Blogs,28.65,45011,893,31,False,True,https://www.youtube.com/watch?v=HkbeJeN4c3Y,UCLcyg3kjSwlUxjnQhSMqfmg
Scottish Murmurs ASMR,2019-01-09 04:46:11.811628,152,2016-07-18 00:00:00.000000,121403,19795329,2018-09-02 00:00:00.000000,ASMR Doctor Cranial Nerve Examination,People & Blogs,23.17,125994,1664,56,False,True,https://www.youtube.com/watch?v=kvv4ZQ_-Qog,UCLcyg3kjSwlUxjnQhSMqfmg
Scottish Murmurs ASMR,2019-01-09 04:46:11.811628,152,2016-07-18 00:00:00.000000,121403,19795329,2018-08-26 00:00:00.000000,ASMR | Eight Medical Role Plays for Sleep and Relaxation,People & Blogs,29.5,34094,869,14,False,True,https://www.youtube.com/watch?v=uwCQVCMlbDI,UCLcyg3kjSwlUxjnQhSMqfmg
Scottish Murmurs ASMR,2019-01-09 04:46:11.811628,152,2016-07-18 00:00:00.000000,121403,19795329,2018-08-19 00:00:00.000000,ASMR Hypnosis for Sleep and Relaxation,People & Blogs,30.25,96135,1286,49,False,True,https://www.youtube.com/watch?v=CBPFK9a_TBc,UCLcyg3kjSwlUxjnQhSMqfmg
Scottish Murmurs ASMR,2019-01-09 04:46:11.811628,152,2016-07-18 00:00:00.000000,121403,19795329,2018-08-15 00:00:00.000000,ASMR | Can this Dog Help you Sleep?,People & Blogs,23.55,61069,2025,38,False,True,https://www.youtube.com/watch?v=nyuiyucY8dA,UCLcyg3kjSwlUxjnQhSMqfmg
Scottish Murmurs ASMR,2019-01-09 04:46:11.811628,152,2016-07-18 00:00:00.000000,121403,19795329,2018-08-12 00:00:00.000000,ASMR The Accent Trigger | Which Accent Makes You Tingle?,People & Blogs,23.78,357018,7463,311,False,True,https://www.youtube.com/watch?v=qzMfe0b5DNg,UCLcyg3kjSwlUxjnQhSMqfmg
Scottish Murmurs ASMR,2019-01-09 04:46:11.811628,152,2016-07-18 00:00:00.000000,121403,19795329,2018-08-05 00:00:00.000000,ASMR Men's Haircut and Shave,People & Blogs,29.15,130630,1588,61,False,True,https://www.youtube.com/watch?v=oN7CBoDUokI,UCLcyg3kjSwlUxjnQhSMqfmg
Scottish Murmurs ASMR,2019-01-09 04:46:11.811628,152,2016-07-18 00:00:00.000000,121403,19795329,2018-06-24 00:00:00.000000,ASMR A Very Scottish Therapist,People & Blogs,27.42,92447,1558,58,False,True,https://www.youtube.com/watch?v=VptSwTqCaB4,UCLcyg3kjSwlUxjnQhSMqfmg
Scottish Murmurs ASMR,2019-01-09 04:46:11.811628,152,2016-07-18 00:00:00.000000,121403,19795329,2018-06-17 00:00:00.000000,ASMR Measuring You,People & Blogs,25.13,320841,2875,133,False,True,https://www.youtube.com/watch?v=uV7BHr5r8lE,UCLcyg3kjSwlUxjnQhSMqfmg
Scottish Murmurs ASMR,2019-01-09 04:46:11.811628,152,2016-07-18 00:00:00.000000,121403,19795329,2018-06-10 00:00:00.000000,ASMR Helping You Sleep,People & Blogs,25.42,333789,3398,187,False,True,https://www.youtube.com/watch?v=OIBd-bbx8k8,UCLcyg3kjSwlUxjnQhSMqfmg
Scottish Murmurs ASMR,2019-01-09 04:46:11.811628,152,2016-07-18 00:00:00.000000,121403,19795329,2018-05-01 00:00:00.000000,"ASMR Physiotherapist Role Play (Sports Massage, Ear to Ear, Personal Attention)",People & Blogs,23.62,108305,1279,51,False,True,https://www.youtube.com/watch?v=YZdbRBZVAX8,UCLcyg3kjSwlUxjnQhSMqfmg
Scottish Murmurs ASMR,2019-01-09 04:46:11.811628,152,2016-07-18 00:00:00.000000,121403,19795329,2018-04-24 00:00:00.000000,ASMR Allergy Skin Testing (Nurse Examination),People & Blogs,27.83,65100,1053,38,False,True,https://www.youtube.com/watch?v=BnAP-y4uI1o,UCLcyg3kjSwlUxjnQhSMqfmg
Scottish Murmurs ASMR,2019-01-09 04:46:11.811628,152,2016-07-18 00:00:00.000000,121403,19795329,2018-04-20 00:00:00.000000,"ASMR Sleep Spa (Ear to Ear, Personal Attention, Hand Movements)",People & Blogs,20.68,55937,882,30,False,True,https://www.youtube.com/watch?v=XYwu55WsSXQ,UCLcyg3kjSwlUxjnQhSMqfmg
Scottish Murmurs ASMR,2019-01-09 04:46:11.811628,152,2016-07-18 00:00:00.000000,121403,19795329,2018-04-16 00:00:00.000000,ASMR Grace Shelby Cares For You (Peaky Blinders Role Play),People & Blogs,21.03,42413,866,35,False,True,https://www.youtube.com/watch?v=Qc3WCkiIyVA,UCLcyg3kjSwlUxjnQhSMqfmg
Scottish Murmurs ASMR,2019-01-09 04:46:11.811628,152,2016-07-18 00:00:00.000000,121403,19795329,2018-04-13 00:00:00.000000,ASMR Waitress Role Play (Relaxing Restaurant Ambience),People & Blogs,21.7,72568,1052,43,False,True,https://www.youtube.com/watch?v=FJTRCLVgF7Q,UCLcyg3kjSwlUxjnQhSMqfmg
Scottish Murmurs ASMR,2019-01-09 04:46:11.811628,152,2016-07-18 00:00:00.000000,121403,19795329,2018-04-08 00:00:00.000000,ASMR IMPERSONATIONS OF TWENTY ASMRTISTS,People & Blogs,15.77,223770,4966,322,False,True,https://www.youtube.com/watch?v=38AozB4OZYs,UCLcyg3kjSwlUxjnQhSMqfmg
