ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
Андрей Скляр,2019-02-03 14:32:56.460116,64,2011-12-01 00:00:00.000000,1737,1644124,2016-06-09 00:00:00.000000,Ali and Nino,Film & Animation,3.93,431,1,0,False,True,https://www.youtube.com/watch?v=xVWgpJgudCU,UCPcXnWljDirKvwnzzaUgmEA
Андрей Скляр,2019-02-03 14:32:56.460116,64,2011-12-01 00:00:00.000000,1737,1644124,2016-06-09 00:00:00.000000,Автобусная остановка в Дубай / Bus stop in Dubai,Film & Animation,0.6,248,1,0,False,True,https://www.youtube.com/watch?v=m-bNNFDjXDY,UCPcXnWljDirKvwnzzaUgmEA
Андрей Скляр,2019-02-03 14:32:56.460116,64,2011-12-01 00:00:00.000000,1737,1644124,2015-11-04 00:00:00.000000,Rise of the Tomb Raider,Film & Animation,1.02,66,1,0,False,True,https://www.youtube.com/watch?v=Cezotcloy4c,UCPcXnWljDirKvwnzzaUgmEA
Андрей Скляр,2019-02-03 14:32:56.460116,64,2011-12-01 00:00:00.000000,1737,1644124,2015-07-06 00:00:00.000000,Клаудиа Шиффер - Суперфитнес,Film & Animation,120.57,1775,5,0,False,False,https://www.youtube.com/watch?v=rnn6z-Z_iSI,UCPcXnWljDirKvwnzzaUgmEA
Андрей Скляр,2019-02-03 14:32:56.460116,64,2011-12-01 00:00:00.000000,1737,1644124,2015-07-04 00:00:00.000000,Stripilates,Film & Animation,49.42,1293,8,1,False,True,https://www.youtube.com/watch?v=JtK9u8n22Jg,UCPcXnWljDirKvwnzzaUgmEA
Андрей Скляр,2019-02-03 14:32:56.460116,64,2011-12-01 00:00:00.000000,1737,1644124,2015-05-29 00:00:00.000000,"Генри Клауд Мудрый, глупый и злой",Travel & Events,30.15,237,1,0,False,True,https://www.youtube.com/watch?v=aCjKM_4YDjA,UCPcXnWljDirKvwnzzaUgmEA
Андрей Скляр,2019-02-03 14:32:56.460116,64,2011-12-01 00:00:00.000000,1737,1644124,2015-05-29 00:00:00.000000,Генри Клауд проповедь Как остановить движение вниз по спирали,Travel & Events,35.55,277,4,0,False,True,https://www.youtube.com/watch?v=szfA_SjKovI,UCPcXnWljDirKvwnzzaUgmEA
Андрей Скляр,2019-02-03 14:32:56.460116,64,2011-12-01 00:00:00.000000,1737,1644124,2015-05-27 00:00:00.000000,"Новорічне свято м.Олександрія Д/З №25 (2 яслельна група) ""Колобок""",Film & Animation,33.58,69,0,0,False,True,https://www.youtube.com/watch?v=pjq3k1vtwXk,UCPcXnWljDirKvwnzzaUgmEA
Андрей Скляр,2019-02-03 14:32:56.460116,64,2011-12-01 00:00:00.000000,1737,1644124,2015-02-18 00:00:00.000000,"""Красиво танцуем""",Film & Animation,0.68,124,1,0,False,True,https://www.youtube.com/watch?v=OF4rNqHmmXE,UCPcXnWljDirKvwnzzaUgmEA
Андрей Скляр,2019-02-03 14:32:56.460116,64,2011-12-01 00:00:00.000000,1737,1644124,2015-02-18 00:00:00.000000,"""Колобок""",Film & Animation,4.68,1177,1,1,False,True,https://www.youtube.com/watch?v=x7f33Q6r0WQ,UCPcXnWljDirKvwnzzaUgmEA
Андрей Скляр,2019-02-03 14:32:56.460116,64,2011-12-01 00:00:00.000000,1737,1644124,2015-02-18 00:00:00.000000,3ds max 2015 / Particle Flow / V Ray 3 0 / Test [HD],Film & Animation,0.82,910,12,0,False,True,https://www.youtube.com/watch?v=ejdaZJQw1XM,UCPcXnWljDirKvwnzzaUgmEA
Андрей Скляр,2019-02-03 14:32:56.460116,64,2011-12-01 00:00:00.000000,1737,1644124,2015-01-23 00:00:00.000000,Mini Ninjas E3 Trailer [HD],Film & Animation,1.88,145,2,0,False,True,https://www.youtube.com/watch?v=oepydhXmqhw,UCPcXnWljDirKvwnzzaUgmEA
Андрей Скляр,2019-02-03 14:32:56.460116,64,2011-12-01 00:00:00.000000,1737,1644124,2015-01-21 00:00:00.000000,Mini Ninjas Trailer [HD],Film & Animation,2.13,303,3,0,False,True,https://www.youtube.com/watch?v=xJYZiQ53lX4,UCPcXnWljDirKvwnzzaUgmEA
Андрей Скляр,2019-02-03 14:32:56.460116,64,2011-12-01 00:00:00.000000,1737,1644124,2015-01-08 00:00:00.000000,За двумя зайцами / Outside the two hares (1961),Film & Animation,71.67,555,1,0,False,True,https://www.youtube.com/watch?v=VT4tAdgEvQ0,UCPcXnWljDirKvwnzzaUgmEA
Андрей Скляр,2019-02-03 14:32:56.460116,64,2011-12-01 00:00:00.000000,1737,1644124,2014-12-13 00:00:00.000000,Любимые Фильмы Онлайн / Favorite Movies Online [HD],Film & Animation,3.42,8239,4,2,False,True,https://www.youtube.com/watch?v=coWcR6Vc3gE,UCPcXnWljDirKvwnzzaUgmEA
Андрей Скляр,2019-02-03 14:32:56.460116,64,2011-12-01 00:00:00.000000,1737,1644124,2014-12-06 00:00:00.000000,Бременские музыканты / Bremen musicians [HD],Film & Animation,20.55,12957,13,5,False,True,https://www.youtube.com/watch?v=tIJr4jJV2vI,UCPcXnWljDirKvwnzzaUgmEA
Андрей Скляр,2019-02-03 14:32:56.460116,64,2011-12-01 00:00:00.000000,1737,1644124,2014-12-06 00:00:00.000000,По следам Бременских музыкантов / In the wake of Bremen musicians [HD],Film & Animation,18.65,4748,6,2,False,True,https://www.youtube.com/watch?v=_2e-kOlCTGw,UCPcXnWljDirKvwnzzaUgmEA
Андрей Скляр,2019-02-03 14:32:56.460116,64,2011-12-01 00:00:00.000000,1737,1644124,2014-11-28 00:00:00.000000,Boot UI Tuner [HD],Travel & Events,5.1,338,1,0,False,True,https://www.youtube.com/watch?v=1GsdPzsdB4k,UCPcXnWljDirKvwnzzaUgmEA
Андрей Скляр,2019-02-03 14:32:56.460116,64,2011-12-01 00:00:00.000000,1737,1644124,2014-11-25 00:00:00.000000,Карпаты / Carpathian Mountains [HD],Travel & Events,2.12,4512,58,0,False,True,https://www.youtube.com/watch?v=YSU6vmTUBac,UCPcXnWljDirKvwnzzaUgmEA
Андрей Скляр,2019-02-03 14:32:56.460116,64,2011-12-01 00:00:00.000000,1737,1644124,2014-11-09 00:00:00.000000,Downtown Houston / Центр города Хюстон [HD],Travel & Events,0.27,283,5,0,False,True,https://www.youtube.com/watch?v=TZPtWH-ma6g,UCPcXnWljDirKvwnzzaUgmEA
Андрей Скляр,2019-02-03 14:32:56.460116,64,2011-12-01 00:00:00.000000,1737,1644124,2014-11-09 00:00:00.000000,Time lapse Seoul [HD],Travel & Events,2.48,122,0,0,False,True,https://www.youtube.com/watch?v=W0bSkL2cBt8,UCPcXnWljDirKvwnzzaUgmEA
Андрей Скляр,2019-02-03 14:32:56.460116,64,2011-12-01 00:00:00.000000,1737,1644124,2014-11-08 00:00:00.000000,Дiсталось на горiхi / Got to nuts,Gaming,0.75,49,0,0,False,True,https://www.youtube.com/watch?v=BQsxntgw1no,UCPcXnWljDirKvwnzzaUgmEA
Андрей Скляр,2019-02-03 14:32:56.460116,64,2011-12-01 00:00:00.000000,1737,1644124,2014-11-08 00:00:00.000000,Good evening / Хорошего вечера,Gaming,0.65,828,2,2,False,True,https://www.youtube.com/watch?v=J_5Bh-k84mw,UCPcXnWljDirKvwnzzaUgmEA
Андрей Скляр,2019-02-03 14:32:56.460116,64,2011-12-01 00:00:00.000000,1737,1644124,2014-11-07 00:00:00.000000,Atari Breakout Google Easter Egg,Gaming,1.58,229,1,2,False,True,https://www.youtube.com/watch?v=suwX8CxAuq4,UCPcXnWljDirKvwnzzaUgmEA
Андрей Скляр,2019-02-03 14:32:56.460116,64,2011-12-01 00:00:00.000000,1737,1644124,2014-11-01 00:00:00.000000,Need for Speed Carbon Trailer [HD],Gaming,1.47,574,0,0,False,True,https://www.youtube.com/watch?v=IzbxKOLk2x4,UCPcXnWljDirKvwnzzaUgmEA
Андрей Скляр,2019-02-03 14:32:56.460116,64,2011-12-01 00:00:00.000000,1737,1644124,2014-10-31 00:00:00.000000,SKLYARAN74,Nonprofits & Activism,0.58,78960,0,0,False,True,https://www.youtube.com/watch?v=iQqvo15ifaU,UCPcXnWljDirKvwnzzaUgmEA
Андрей Скляр,2019-02-03 14:32:56.460116,64,2011-12-01 00:00:00.000000,1737,1644124,2014-10-29 00:00:00.000000,Мультконцерт (часть 2),Gaming,57.0,92765,60,17,False,False,https://www.youtube.com/watch?v=TCYhLrg9Bso,UCPcXnWljDirKvwnzzaUgmEA
Андрей Скляр,2019-02-03 14:32:56.460116,64,2011-12-01 00:00:00.000000,1737,1644124,2014-10-24 00:00:00.000000,TumbleBugs / TumbleBugs 2 (2005 - 2008) | РC,Gaming,0.97,2312,4,2,False,True,https://www.youtube.com/watch?v=70jONkZt1no,UCPcXnWljDirKvwnzzaUgmEA
Андрей Скляр,2019-02-03 14:32:56.460116,64,2011-12-01 00:00:00.000000,1737,1644124,2014-10-24 00:00:00.000000,Little Ghost / Маленькое привидение (2010) | РC,Gaming,0.77,184,0,0,False,True,https://www.youtube.com/watch?v=kAmdLfyg1To,UCPcXnWljDirKvwnzzaUgmEA
Андрей Скляр,2019-02-03 14:32:56.460116,64,2011-12-01 00:00:00.000000,1737,1644124,2014-10-20 00:00:00.000000,Superfrog [HD] trailer,Gaming,1.75,679,0,0,False,True,https://www.youtube.com/watch?v=xA3w1CXtIhU,UCPcXnWljDirKvwnzzaUgmEA
Андрей Скляр,2019-02-03 14:32:56.460116,64,2011-12-01 00:00:00.000000,1737,1644124,2014-10-17 00:00:00.000000,Teslagrad / Теслаград (2013) | РC,Science & Technology,1.8,256,0,0,False,True,https://www.youtube.com/watch?v=BK8-5enR44Q,UCPcXnWljDirKvwnzzaUgmEA
Андрей Скляр,2019-02-03 14:32:56.460116,64,2011-12-01 00:00:00.000000,1737,1644124,2014-10-04 00:00:00.000000,Виктор Цой   Последний Герой [HD],Science & Technology,5.28,5158,57,5,False,True,https://www.youtube.com/watch?v=f9cHbxIEBaQ,UCPcXnWljDirKvwnzzaUgmEA
Андрей Скляр,2019-02-03 14:32:56.460116,64,2011-12-01 00:00:00.000000,1737,1644124,2014-09-23 00:00:00.000000,Орбиты / Orbitas [HD],Science & Technology,8.55,122,0,0,False,True,https://www.youtube.com/watch?v=CoW-6T61rkw,UCPcXnWljDirKvwnzzaUgmEA
Андрей Скляр,2019-02-03 14:32:56.460116,64,2011-12-01 00:00:00.000000,1737,1644124,2014-09-22 00:00:00.000000,НАСА: стыковка корабля Dragon с МКС / NASA: Dragon Docked To ISS,Science & Technology,1.23,429,3,2,False,True,https://www.youtube.com/watch?v=oq-aOJXdWTc,UCPcXnWljDirKvwnzzaUgmEA
