ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
Playtime With Parker,2019-01-24 23:26:53.785791,102,2018-09-30 00:00:00.000000,6472,865304,2019-01-24 00:00:00.000000,Thomas the Train Power Wheels Thomas With Track Review & Unbox!!!,Entertainment,5.2,7,1,0,False,True,https://www.youtube.com/watch?v=HPHefl7eGAM,UCPcZZfTLj0Hg_replaced_loQilrf81w
Playtime With Parker,2019-01-24 23:26:53.785791,102,2018-09-30 00:00:00.000000,6472,865304,2019-01-24 00:00:00.000000,Learn the Letter I | Learn the Alphabet,Entertainment,3.9,49,8,1,False,True,https://www.youtube.com/watch?v=RPxpRiyrdss,UCPcZZfTLj0Hg_replaced_loQilrf81w
Playtime With Parker,2019-01-24 23:26:53.785791,102,2018-09-30 00:00:00.000000,6472,865304,2019-01-23 00:00:00.000000,"Lightning McQueen Stunt & Skills Car Unbox, Fun & Wheelies!!!",Entertainment,9.6,66,11,1,False,True,https://www.youtube.com/watch?v=Ez4SDaaqpPU,UCPcZZfTLj0Hg_replaced_loQilrf81w
Playtime With Parker,2019-01-24 23:26:53.785791,102,2018-09-30 00:00:00.000000,6472,865304,2019-01-23 00:00:00.000000,Learn the Letter H | Learn the Alphabet | Playtime With Parker | Children's Fun & Learning,Entertainment,4.12,58,8,1,False,True,https://www.youtube.com/watch?v=7r7ZlVK9vC8,UCPcZZfTLj0Hg_replaced_loQilrf81w
Playtime With Parker,2019-01-24 23:26:53.785791,102,2018-09-30 00:00:00.000000,6472,865304,2019-01-22 00:00:00.000000,Hot Wheels Road Rally Raceway Unboxing!!! | Playtime With Parker | Children's Fun & Learning,Entertainment,8.17,128,8,0,False,True,https://www.youtube.com/watch?v=HQRPlMvi5PE,UCPcZZfTLj0Hg_replaced_loQilrf81w
Playtime With Parker,2019-01-24 23:26:53.785791,102,2018-09-30 00:00:00.000000,6472,865304,2019-01-22 00:00:00.000000,Learn the Letter G | Learn the Alphabet | Playtime With Parker | Children's Fun & Learning,Entertainment,3.93,113,8,1,False,True,https://www.youtube.com/watch?v=gAF4flWa0tE,UCPcZZfTLj0Hg_replaced_loQilrf81w
Playtime With Parker,2019-01-24 23:26:53.785791,102,2018-09-30 00:00:00.000000,6472,865304,2019-01-21 00:00:00.000000,Melissa & Doug Wooden Fold & Go Barn | Playtime With Parker | Children's Fun & Learning,Entertainment,6.05,81,9,0,False,True,https://www.youtube.com/watch?v=WmgLZnjMpwA,UCPcZZfTLj0Hg_replaced_loQilrf81w
Playtime With Parker,2019-01-24 23:26:53.785791,102,2018-09-30 00:00:00.000000,6472,865304,2019-01-21 00:00:00.000000,Learn the Letter F | Learn the Alphabet | Playtime With Parker | Children's Fun & Learning,Entertainment,3.83,194,12,0,False,True,https://www.youtube.com/watch?v=xrZXuhJyXlQ,UCPcZZfTLj0Hg_replaced_loQilrf81w
Playtime With Parker,2019-01-24 23:26:53.785791,102,2018-09-30 00:00:00.000000,6472,865304,2019-01-20 00:00:00.000000,BumbleBee Transformer Jet & RC Car Unbox & Fun!!! | Playtime With Parker | Children's Fun & Learning,Entertainment,8.72,145,14,1,False,True,https://www.youtube.com/watch?v=GKbnvpxYFTs,UCPcZZfTLj0Hg_replaced_loQilrf81w
Playtime With Parker,2019-01-24 23:26:53.785791,102,2018-09-30 00:00:00.000000,6472,865304,2019-01-20 00:00:00.000000,Learn the Letter E | Learn the Alphabet | Playtime With Parker | Children's Fun & Learning,Entertainment,3.48,243,7,1,False,True,https://www.youtube.com/watch?v=EpiWX3y_zg8,UCPcZZfTLj0Hg_replaced_loQilrf81w
