ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
Julia Cl,2019-02-12 03:43:29.280236,23,2011-07-09 00:00:00.000000,7,1694,2016-01-10 00:00:00.000000,STUFFIE,Entertainment,1.05,12,1,0,False,True,https://www.youtube.com/watch?v=oB8ZiPUWbFg,UCSDOdT83fR5LHkeUxleHUyQ
Julia Cl,2019-02-12 03:43:29.280236,23,2011-07-09 00:00:00.000000,7,1694,2012-05-31 00:00:00.000000,Disappear,Entertainment,0.18,19,0,0,False,True,https://www.youtube.com/watch?v=wbD0yTyrXNw,UCSDOdT83fR5LHkeUxleHUyQ
Julia Cl,2019-02-12 03:43:29.280236,23,2011-07-09 00:00:00.000000,7,1694,2012-05-31 00:00:00.000000,My New Camera,Entertainment,0.95,45,1,0,False,True,https://www.youtube.com/watch?v=RoQ8cvLjVsg,UCSDOdT83fR5LHkeUxleHUyQ
Julia Cl,2019-02-12 03:43:29.280236,23,2011-07-09 00:00:00.000000,7,1694,2012-04-30 00:00:00.000000,P-E-T-S 2!!!!,Film & Animation,1.2,20,0,1,False,True,https://www.youtube.com/watch?v=dTH7njaitHA,UCSDOdT83fR5LHkeUxleHUyQ
Julia Cl,2019-02-12 03:43:29.280236,23,2011-07-09 00:00:00.000000,7,1694,2012-04-29 00:00:00.000000,P-E-T-S!!!,Entertainment,1.2,17,1,0,False,True,https://www.youtube.com/watch?v=XwcD4j5STN4,UCSDOdT83fR5LHkeUxleHUyQ
Julia Cl,2019-02-12 03:43:29.280236,23,2011-07-09 00:00:00.000000,7,1694,2012-04-29 00:00:00.000000,D-O-G-S,Entertainment,0.88,27,1,1,False,True,https://www.youtube.com/watch?v=lCM5gqOENEA,UCSDOdT83fR5LHkeUxleHUyQ
Julia Cl,2019-02-12 03:43:29.280236,23,2011-07-09 00:00:00.000000,7,1694,2012-03-06 00:00:00.000000,Elizabeth outside!!!,Comedy,2.95,14,0,0,False,True,https://www.youtube.com/watch?v=atDSQmLATCs,UCSDOdT83fR5LHkeUxleHUyQ
Julia Cl,2019-02-12 03:43:29.280236,23,2011-07-09 00:00:00.000000,7,1694,2012-03-06 00:00:00.000000,Water a tree episode 2,Comedy,1.83,8,0,0,False,True,https://www.youtube.com/watch?v=zf5pptHsGjs,UCSDOdT83fR5LHkeUxleHUyQ
Julia Cl,2019-02-12 03:43:29.280236,23,2011-07-09 00:00:00.000000,7,1694,2012-03-05 00:00:00.000000,Alex ducktape hole puncher,Comedy,0.97,21,0,0,False,True,https://www.youtube.com/watch?v=0YNiYkpoHRo,UCSDOdT83fR5LHkeUxleHUyQ
Julia Cl,2019-02-12 03:43:29.280236,23,2011-07-09 00:00:00.000000,7,1694,2012-03-03 00:00:00.000000,Lol!!!!,Comedy,0.25,196,0,0,False,True,https://www.youtube.com/watch?v=nrnZ-mRoaCQ,UCSDOdT83fR5LHkeUxleHUyQ
