ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
Atomic TV,2019-01-31 03:22:09.691748,55,2012-02-08 00:00:00.000000,177,661696,2018-01-06 00:00:00.000000,Talk Dirty to Me,Comedy,1.35,61,2,4,False,True,https://www.youtube.com/watch?v=0Jgxb-xhqTw,UCSdyljuq8VA3KJGXqCweU1g
Atomic TV,2019-01-31 03:22:09.691748,55,2012-02-08 00:00:00.000000,177,661696,2017-10-22 00:00:00.000000,4chan /WSG/ YLYL Compilation #1 (October 2017),Comedy,10.07,1302,13,3,False,True,https://www.youtube.com/watch?v=ywXxFvJ_A0o,UCSdyljuq8VA3KJGXqCweU1g
Atomic TV,2019-01-31 03:22:09.691748,55,2012-02-08 00:00:00.000000,177,661696,2017-08-26 00:00:00.000000,Frontflip,Gaming,0.12,1196,12,0,False,True,https://www.youtube.com/watch?v=URcbXAKEMHA,UCSdyljuq8VA3KJGXqCweU1g
Atomic TV,2019-01-31 03:22:09.691748,55,2012-02-08 00:00:00.000000,177,661696,2017-08-19 00:00:00.000000,Inch Worms,Gaming,0.08,8033,81,5,False,True,https://www.youtube.com/watch?v=P0dKZ84PWNk,UCSdyljuq8VA3KJGXqCweU1g
Atomic TV,2019-01-31 03:22:09.691748,55,2012-02-08 00:00:00.000000,177,661696,2017-08-12 00:00:00.000000,Ayy Lmao,Gaming,1.4,34,3,0,False,True,https://www.youtube.com/watch?v=esxXQosT9pU,UCSdyljuq8VA3KJGXqCweU1g
Atomic TV,2019-01-31 03:22:09.691748,55,2012-02-08 00:00:00.000000,177,661696,2017-08-05 00:00:00.000000,Only in russia,Gaming,0.82,1286,25,0,False,True,https://www.youtube.com/watch?v=mm8MdLvE4TE,UCSdyljuq8VA3KJGXqCweU1g
Atomic TV,2019-01-31 03:22:09.691748,55,2012-02-08 00:00:00.000000,177,661696,2017-08-05 00:00:00.000000,Make them go,Gaming,0.12,24,2,0,False,True,https://www.youtube.com/watch?v=ycH7cZPrHRs,UCSdyljuq8VA3KJGXqCweU1g
Atomic TV,2019-01-31 03:22:09.691748,55,2012-02-08 00:00:00.000000,177,661696,2017-07-29 00:00:00.000000,Stunts,Gaming,0.2,1122,9,1,False,True,https://www.youtube.com/watch?v=td-kWOoefz4,UCSdyljuq8VA3KJGXqCweU1g
Atomic TV,2019-01-31 03:22:09.691748,55,2012-02-08 00:00:00.000000,177,661696,2017-05-08 00:00:00.000000,Bondi 2k17,Travel & Events,1.65,49,1,0,False,True,https://www.youtube.com/watch?v=2DC0ZEoNxFs,UCSdyljuq8VA3KJGXqCweU1g
Atomic TV,2019-01-31 03:22:09.691748,55,2012-02-08 00:00:00.000000,177,661696,2017-02-24 00:00:00.000000,"You are now, now rockin' with...",Comedy,0.13,1981,13,0,False,True,https://www.youtube.com/watch?v=GxQ0nLaAOFc,UCSdyljuq8VA3KJGXqCweU1g
Atomic TV,2019-01-31 03:22:09.691748,55,2012-02-08 00:00:00.000000,177,661696,2017-02-24 00:00:00.000000,Ruh-Roh Raggy,Comedy,0.15,16178,243,9,False,True,https://www.youtube.com/watch?v=ejrJalOrE0Q,UCSdyljuq8VA3KJGXqCweU1g
Atomic TV,2019-01-31 03:22:09.691748,55,2012-02-08 00:00:00.000000,177,661696,2016-11-07 00:00:00.000000,im gay but with brendaniel reading bee movie script 2x slower,Gaming,104.32,206,3,0,False,False,https://www.youtube.com/watch?v=svS-rKAMzMU,UCSdyljuq8VA3KJGXqCweU1g
Atomic TV,2019-01-31 03:22:09.691748,55,2012-02-08 00:00:00.000000,177,661696,2016-10-25 00:00:00.000000,Eedoobz,Gaming,0.2,1091,28,0,False,True,https://www.youtube.com/watch?v=1Hz8xINvflk,UCSdyljuq8VA3KJGXqCweU1g
