ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
Kirsty Partridge Art,2018-12-30 21:54:42.625268,254,2015-01-08 00:00:00.000000,478305,22464505,2018-12-07 00:00:00.000000,WATERCOLOR CHRISTMAS CARD IDEAS YOU NEED TO TRY!,Entertainment,24.12,50571,3056,23,False,True,https://www.youtube.com/watch?v=yiNTSU-h60Q,UCSl51TSNCxLQJqLTQp0B6Cg
Kirsty Partridge Art,2018-12-30 21:54:42.625268,254,2015-01-08 00:00:00.000000,478305,22464505,2018-11-23 00:00:00.000000,EASY WATERCOLOR PAINTING IDEAS FOR BEGINNERS! Watercolor Silhouette Paintings,Entertainment,16.07,94392,4567,42,False,True,https://www.youtube.com/watch?v=gxLoMnL8yzo,UCSl51TSNCxLQJqLTQp0B6Cg
Kirsty Partridge Art,2018-12-30 21:54:42.625268,254,2015-01-08 00:00:00.000000,478305,22464505,2018-11-13 00:00:00.000000,12 WATERCOLOR HACKS YOU NEED TO KNOW,Entertainment,15.75,343294,15338,277,False,True,https://www.youtube.com/watch?v=m6WPGMOA_mU,UCSl51TSNCxLQJqLTQp0B6Cg
Kirsty Partridge Art,2018-12-30 21:54:42.625268,254,2015-01-08 00:00:00.000000,478305,22464505,2018-11-07 00:00:00.000000,Trying WATERCOLOR PENCILS for the FIRST TIME!,Entertainment,17.08,157966,7779,85,False,True,https://www.youtube.com/watch?v=JRf2jCREKEU,UCSl51TSNCxLQJqLTQp0B6Cg
Kirsty Partridge Art,2018-12-30 21:54:42.625268,254,2015-01-08 00:00:00.000000,478305,22464505,2018-10-27 00:00:00.000000,BIGGEST MISTAKES FOR BLENDING COLORED PENCILS,Entertainment,15.93,46437,2280,24,False,True,https://www.youtube.com/watch?v=gIFOCOJrIeE,UCSl51TSNCxLQJqLTQp0B6Cg
Kirsty Partridge Art,2018-12-30 21:54:42.625268,254,2015-01-08 00:00:00.000000,478305,22464505,2018-10-20 00:00:00.000000,BIGGEST TIPS FOR DRAWING OLD PEOPLE IN COLORED PENCIL,Entertainment,14.57,27192,1320,13,False,True,https://www.youtube.com/watch?v=i32kNObtBNI,UCSl51TSNCxLQJqLTQp0B6Cg
Kirsty Partridge Art,2018-12-30 21:54:42.625268,254,2015-01-08 00:00:00.000000,478305,22464505,2018-10-18 00:00:00.000000,WATERCOLOR TUTORIAL: Wet in Wet Technique for Beginners,Entertainment,19.35,80183,3863,45,False,True,https://www.youtube.com/watch?v=mxGxSISbpjk,UCSl51TSNCxLQJqLTQp0B6Cg
Kirsty Partridge Art,2018-12-30 21:54:42.625268,254,2015-01-08 00:00:00.000000,478305,22464505,2018-10-13 00:00:00.000000,HOW TO USE WATERCOLOR: Loose Painting Techniques for Beginners,Entertainment,13.1,66212,4306,45,False,True,https://www.youtube.com/watch?v=2Sevd1z4VPE,UCSl51TSNCxLQJqLTQp0B6Cg
Kirsty Partridge Art,2018-12-30 21:54:42.625268,254,2015-01-08 00:00:00.000000,478305,22464505,2018-09-29 00:00:00.000000,TESTING CRAZY WAYS TO BLEND COLORED PENCILS,Entertainment,19.22,110296,4411,88,False,True,https://www.youtube.com/watch?v=z9wyjILzya0,UCSl51TSNCxLQJqLTQp0B6Cg
Kirsty Partridge Art,2018-12-30 21:54:42.625268,254,2015-01-08 00:00:00.000000,478305,22464505,2018-09-22 00:00:00.000000,11 EASY DRAWING HACKS YOU HAVE TO TRY,Entertainment,13.43,248840,7455,208,False,True,https://www.youtube.com/watch?v=koPu8RikUQg,UCSl51TSNCxLQJqLTQp0B6Cg
Kirsty Partridge Art,2018-12-30 21:54:42.625268,254,2015-01-08 00:00:00.000000,478305,22464505,2018-09-15 00:00:00.000000,BEST PENCILS FOR GRAPHITE ARTISTS TO TRY,Entertainment,12.92,43773,2167,25,False,True,https://www.youtube.com/watch?v=JKouyWuNwc4,UCSl51TSNCxLQJqLTQp0B6Cg
Kirsty Partridge Art,2018-12-30 21:54:42.625268,254,2015-01-08 00:00:00.000000,478305,22464505,2018-09-08 00:00:00.000000,BIGGEST TIPS for Making Drawings POP!,Entertainment,19.42,93707,4753,30,False,True,https://www.youtube.com/watch?v=gJSxouGRIKE,UCSl51TSNCxLQJqLTQp0B6Cg
Kirsty Partridge Art,2018-12-30 21:54:42.625268,254,2015-01-08 00:00:00.000000,478305,22464505,2018-08-23 00:00:00.000000,DO'S & DON'TS: How to Paint Hair with Watercolor,Entertainment,11.95,45284,2315,23,False,True,https://www.youtube.com/watch?v=WCrLTBE0LUg,UCSl51TSNCxLQJqLTQp0B6Cg
Kirsty Partridge Art,2018-12-30 21:54:42.625268,254,2015-01-08 00:00:00.000000,478305,22464505,2018-08-10 00:00:00.000000,HOW TO USE WATERCOLOR - Guide for Beginners,Entertainment,18.37,473910,21902,164,False,True,https://www.youtube.com/watch?v=eEXfQKabQGI,UCSl51TSNCxLQJqLTQp0B6Cg
Kirsty Partridge Art,2018-12-30 21:54:42.625268,254,2015-01-08 00:00:00.000000,478305,22464505,2018-07-28 00:00:00.000000,DO'S & DON'TS for Realistic Drawing,Entertainment,8.22,89452,4572,45,False,True,https://www.youtube.com/watch?v=NC3HukT9ZMA,UCSl51TSNCxLQJqLTQp0B6Cg
Kirsty Partridge Art,2018-12-30 21:54:42.625268,254,2015-01-08 00:00:00.000000,478305,22464505,2018-07-21 00:00:00.000000,12 GENIUS DRAWING HACKS FOR COLORED PENCILS,Entertainment,10.05,968994,29167,731,False,True,https://www.youtube.com/watch?v=L2HsxaJV7UM,UCSl51TSNCxLQJqLTQp0B6Cg
Kirsty Partridge Art,2018-12-30 21:54:42.625268,254,2015-01-08 00:00:00.000000,478305,22464505,2018-07-19 00:00:00.000000,MUST TRY ART SUPPLY FOR REALISTIC DRAWINGS,Entertainment,7.1,73072,4341,47,False,True,https://www.youtube.com/watch?v=RXduK4Qs9RQ,UCSl51TSNCxLQJqLTQp0B6Cg
Kirsty Partridge Art,2018-12-30 21:54:42.625268,254,2015-01-08 00:00:00.000000,478305,22464505,2018-07-14 00:00:00.000000,3 EASY WATERCOLOR PAINTINGS FOR BEGINNERS,Entertainment,8.57,207654,9568,126,False,True,https://www.youtube.com/watch?v=ox7hbqywW9o,UCSl51TSNCxLQJqLTQp0B6Cg
Kirsty Partridge Art,2018-12-30 21:54:42.625268,254,2015-01-08 00:00:00.000000,478305,22464505,2018-07-07 00:00:00.000000,MOST USEFUL TOOL FOR COLORED PENCIL DRAWINGS,Entertainment,7.13,45037,2395,26,False,True,https://www.youtube.com/watch?v=eUbce9HnX-Q,UCSl51TSNCxLQJqLTQp0B6Cg
Kirsty Partridge Art,2018-12-30 21:54:42.625268,254,2015-01-08 00:00:00.000000,478305,22464505,2018-07-06 00:00:00.000000,MOST IMPORTANT TIP FOR BLENDING COLORED PENCIL,Entertainment,8.2,522743,20759,194,False,True,https://www.youtube.com/watch?v=5ucIphuuioA,UCSl51TSNCxLQJqLTQp0B6Cg
Kirsty Partridge Art,2018-12-30 21:54:42.625268,254,2015-01-08 00:00:00.000000,478305,22464505,2018-06-28 00:00:00.000000,BEST MOTIVATION TIPS FOR ARTISTS,Entertainment,12.45,20736,1428,16,False,True,https://www.youtube.com/watch?v=ewZa87SYS5M,UCSl51TSNCxLQJqLTQp0B6Cg
Kirsty Partridge Art,2018-12-30 21:54:42.625268,254,2015-01-08 00:00:00.000000,478305,22464505,2018-06-24 00:00:00.000000,EASY TRICK FOR PERFECT SHADING,Entertainment,6.68,165719,7851,65,False,True,https://www.youtube.com/watch?v=OPvd96T89po,UCSl51TSNCxLQJqLTQp0B6Cg
Kirsty Partridge Art,2018-12-30 21:54:42.625268,254,2015-01-08 00:00:00.000000,478305,22464505,2018-06-21 00:00:00.000000,DOS & DON'TS for Mixed Media Art - BIG MISTAKES TO AVOID!,Entertainment,10.72,38718,1906,19,False,True,https://www.youtube.com/watch?v=4mnknNwbJwM,UCSl51TSNCxLQJqLTQp0B6Cg
Kirsty Partridge Art,2018-12-30 21:54:42.625268,254,2015-01-08 00:00:00.000000,478305,22464505,2018-06-02 00:00:00.000000,Get an ACCURATE Sketch EVERY TIME with this TECHNIQUE,Entertainment,8.78,113802,5208,104,False,True,https://www.youtube.com/watch?v=4mkxbzQyaBY,UCSl51TSNCxLQJqLTQp0B6Cg
Kirsty Partridge Art,2018-12-30 21:54:42.625268,254,2015-01-08 00:00:00.000000,478305,22464505,2018-05-25 00:00:00.000000,Most UNDERRATED Technique for REALISTIC Drawings,Entertainment,5.82,367720,16805,233,False,True,https://www.youtube.com/watch?v=iZC30xwJLZg,UCSl51TSNCxLQJqLTQp0B6Cg
Kirsty Partridge Art,2018-12-30 21:54:42.625268,254,2015-01-08 00:00:00.000000,478305,22464505,2018-05-17 00:00:00.000000,BIGGEST TIPS for GUARANTEED Realistic Drawings,Entertainment,6.3,54764,2623,42,False,True,https://www.youtube.com/watch?v=AGEaTE9dFW8,UCSl51TSNCxLQJqLTQp0B6Cg
Kirsty Partridge Art,2018-12-30 21:54:42.625268,254,2015-01-08 00:00:00.000000,478305,22464505,2018-05-09 00:00:00.000000,10 ESSENTIAL TIPS for PASTEL DRAWINGS,Entertainment,11.3,28819,1485,12,False,True,https://www.youtube.com/watch?v=UhQ0I2_ZEaY,UCSl51TSNCxLQJqLTQp0B6Cg
