ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
clah123,2019-01-23 01:12:05.419048,20,2006-06-10 00:00:00.000000,85,324070,2014-02-10 00:00:00.000000,Warpaint- Go in,Music,4.02,22995,66,0,False,False,https://www.youtube.com/watch?v=rk1ENgfKspg,UCVAberZro8zs5vKbDtmpxhw
clah123,2019-01-23 01:12:05.419048,20,2006-06-10 00:00:00.000000,85,324070,2012-04-19 00:00:00.000000,Connan Mockasin- Faking Jazz Together Live,Music,6.65,2881,17,0,False,False,https://www.youtube.com/watch?v=qo160hb8EUk,UCVAberZro8zs5vKbDtmpxhw
clah123,2019-01-23 01:12:05.419048,20,2006-06-10 00:00:00.000000,85,324070,2012-02-28 00:00:00.000000,Broken Social Scene Presents:Brendan Canning- All The Best Wooden Toys Come From Germany,Music,2.88,1918,24,0,False,True,https://www.youtube.com/watch?v=fh_5Kln3rsI,UCVAberZro8zs5vKbDtmpxhw
clah123,2019-01-23 01:12:05.419048,20,2006-06-10 00:00:00.000000,85,324070,2012-01-26 00:00:00.000000,Broadcast- Dead the Long Year,Music,2.9,585,3,0,False,True,https://www.youtube.com/watch?v=Z_PZ221JM-0,UCVAberZro8zs5vKbDtmpxhw
clah123,2019-01-23 01:12:05.419048,20,2006-06-10 00:00:00.000000,85,324070,2012-01-11 00:00:00.000000,broadcast- Interlude 2 (Black Session 6 of 10),Music,1.77,806,8,0,False,True,https://www.youtube.com/watch?v=zX677n-e2Es,UCVAberZro8zs5vKbDtmpxhw
clah123,2019-01-23 01:12:05.419048,20,2006-06-10 00:00:00.000000,85,324070,2012-01-11 00:00:00.000000,Broadcast- Hammer Without A Master (Black Session 10 of 10),Music,7.58,3291,47,0,False,True,https://www.youtube.com/watch?v=3OwjpXIrlEE,UCVAberZro8zs5vKbDtmpxhw
clah123,2019-01-23 01:12:05.419048,20,2006-06-10 00:00:00.000000,85,324070,2012-01-11 00:00:00.000000,Broadcast- Lights Out (Black Session 9 of 10),Music,4.58,5390,89,0,False,True,https://www.youtube.com/watch?v=pDc-k9kIRRg,UCVAberZro8zs5vKbDtmpxhw
clah123,2019-01-23 01:12:05.419048,20,2006-06-10 00:00:00.000000,85,324070,2012-01-11 00:00:00.000000,Broadcast-Papercuts (Black Session 8 of 10),Music,5.17,1875,18,0,False,True,https://www.youtube.com/watch?v=DBDLPKrLd7o,UCVAberZro8zs5vKbDtmpxhw
clah123,2019-01-23 01:12:05.419048,20,2006-06-10 00:00:00.000000,85,324070,2012-01-11 00:00:00.000000,Broadcast-Unchanging Window/Chord Simple (Black Session 7 of 10),Music,6.55,3142,42,0,False,True,https://www.youtube.com/watch?v=x9zPJS8sLD0,UCVAberZro8zs5vKbDtmpxhw
clah123,2019-01-23 01:12:05.419048,20,2006-06-10 00:00:00.000000,85,324070,2011-12-11 00:00:00.000000,Elastica- Blue,Music,2.43,23000,183,2,False,True,https://www.youtube.com/watch?v=5wtUSBN0Vx8,UCVAberZro8zs5vKbDtmpxhw
clah123,2019-01-23 01:12:05.419048,20,2006-06-10 00:00:00.000000,85,324070,2011-10-22 00:00:00.000000,Broadcast- Where Youth and Laughter Go (Black Session 2 of 10),Music,2.78,1304,12,0,False,True,https://www.youtube.com/watch?v=UqnttHbBdF4,UCVAberZro8zs5vKbDtmpxhw
clah123,2019-01-23 01:12:05.419048,20,2006-06-10 00:00:00.000000,85,324070,2011-10-22 00:00:00.000000,Broadcast-  Long Was the Year live  (Black Session 1 of 10),Music,4.57,4337,29,0,False,True,https://www.youtube.com/watch?v=RMKilCaqCBA,UCVAberZro8zs5vKbDtmpxhw
clah123,2019-01-23 01:12:05.419048,20,2006-06-10 00:00:00.000000,85,324070,2011-10-22 00:00:00.000000,Broadcast- Echoes Answer (Black Session 4 of 10),Music,5.03,4976,75,0,False,True,https://www.youtube.com/watch?v=EG2VbZZsdEM,UCVAberZro8zs5vKbDtmpxhw
clah123,2019-01-23 01:12:05.419048,20,2006-06-10 00:00:00.000000,85,324070,2011-10-22 00:00:00.000000,Broadcast- Message From Home (Black Session 3 of 10),Music,4.93,3023,29,0,False,False,https://www.youtube.com/watch?v=RIYRyag15Ck,UCVAberZro8zs5vKbDtmpxhw
clah123,2019-01-23 01:12:05.419048,20,2006-06-10 00:00:00.000000,85,324070,2011-10-06 00:00:00.000000,Broadcast- Dead the Long Year/Look Outside (Black Sessions 5 of 10),Music,5.72,3473,38,0,False,True,https://www.youtube.com/watch?v=XjnqpcBqHCU,UCVAberZro8zs5vKbDtmpxhw
clah123,2019-01-23 01:12:05.419048,20,2006-06-10 00:00:00.000000,85,324070,2011-07-01 00:00:00.000000,Bombay Bicycle Club- The Hill (The Boy I Used to Be Ep),Music,4.1,62397,413,4,False,True,https://www.youtube.com/watch?v=4u3e1RGPT5I,UCVAberZro8zs5vKbDtmpxhw
clah123,2019-01-23 01:12:05.419048,20,2006-06-10 00:00:00.000000,85,324070,2011-03-17 00:00:00.000000,The Avalanches- A different feeling,Music,4.4,172956,900,9,False,True,https://www.youtube.com/watch?v=9loABWPkT2E,UCVAberZro8zs5vKbDtmpxhw
clah123,2019-01-23 01:12:05.419048,20,2006-06-10 00:00:00.000000,85,324070,2011-01-29 00:00:00.000000,Here We Go Magic- Ghost List,Film & Animation,4.38,2814,5,0,False,True,https://www.youtube.com/watch?v=jJmKFmbWxyQ,UCVAberZro8zs5vKbDtmpxhw
clah123,2019-01-23 01:12:05.419048,20,2006-06-10 00:00:00.000000,85,324070,2007-11-12 00:00:00.000000,asdfa,Film & Animation,3.72,1956,5,0,False,True,https://www.youtube.com/watch?v=H2wiCcCw-Qk,UCVAberZro8zs5vKbDtmpxhw
clah123,2019-01-23 01:12:05.419048,20,2006-06-10 00:00:00.000000,85,324070,2007-07-28 00:00:00.000000,Christie Dupree and Wesley Jensen,People & Blogs,2.9,901,8,0,False,True,https://www.youtube.com/watch?v=4cx2RR95feE,UCVAberZro8zs5vKbDtmpxhw
