ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
Fishing with Luiza,2019-01-28 05:26:07.153185,126,2015-03-30 00:00:00.000000,196275,48363795,2019-01-27 00:00:00.000000,HOT Mexico Fishing pt 1,Entertainment,12.4,5290,522,8,False,True,https://www.youtube.com/watch?v=c9yv8beYdtE,UCXP8XoI6xGyMsuwjC_replaced_lEePg
Fishing with Luiza,2019-01-28 05:26:07.153185,126,2015-03-30 00:00:00.000000,196275,48363795,2019-01-24 00:00:00.000000,BIKINI Fishing in MEXICO!,Sports,1.68,54779,1366,41,False,True,https://www.youtube.com/watch?v=DA9dmmqTCyY,UCXP8XoI6xGyMsuwjC_replaced_lEePg
Fishing with Luiza,2019-01-28 05:26:07.153185,126,2015-03-30 00:00:00.000000,196275,48363795,2019-01-20 00:00:00.000000,TOP 10 Best Moments of 2018!,Travel & Events,37.05,52243,1381,36,False,True,https://www.youtube.com/watch?v=WSLJk7RvVjY,UCXP8XoI6xGyMsuwjC_replaced_lEePg
Fishing with Luiza,2019-01-28 05:26:07.153185,126,2015-03-30 00:00:00.000000,196275,48363795,2019-01-17 00:00:00.000000,TRIPLETAIL in the Florida Keys,Travel & Events,2.42,104652,1448,58,False,True,https://www.youtube.com/watch?v=2m7YgrRjzCg,UCXP8XoI6xGyMsuwjC_replaced_lEePg
Fishing with Luiza,2019-01-28 05:26:07.153185,126,2015-03-30 00:00:00.000000,196275,48363795,2019-01-13 00:00:00.000000,LOBSTERING in the BAHAMAS with Luiza,Travel & Events,18.35,99023,1605,100,False,True,https://www.youtube.com/watch?v=k5kdbtPIqTU,UCXP8XoI6xGyMsuwjC_replaced_lEePg
Fishing with Luiza,2019-01-28 05:26:07.153185,126,2015-03-30 00:00:00.000000,196275,48363795,2019-01-08 00:00:00.000000,CATCHING BIG Snook with Live Bait,Travel & Events,11.17,55430,1261,48,False,True,https://www.youtube.com/watch?v=LLA4NXbyY_c,UCXP8XoI6xGyMsuwjC_replaced_lEePg
Fishing with Luiza,2019-01-28 05:26:07.153185,126,2015-03-30 00:00:00.000000,196275,48363795,2019-01-03 00:00:00.000000,Diving for CONCH in the BAHAMAS,Sports,6.72,147945,1685,141,False,True,https://www.youtube.com/watch?v=Aj9jxAg8wec,UCXP8XoI6xGyMsuwjC_replaced_lEePg
Fishing with Luiza,2019-01-28 05:26:07.153185,126,2015-03-30 00:00:00.000000,196275,48363795,2018-12-30 00:00:00.000000,Trying NEW THINGS in the BAHAMAS,Travel & Events,5.37,107822,1272,165,False,True,https://www.youtube.com/watch?v=2YFK5rFGAV0,UCXP8XoI6xGyMsuwjC_replaced_lEePg
Fishing with Luiza,2019-01-28 05:26:07.153185,126,2015-03-30 00:00:00.000000,196275,48363795,2018-12-25 00:00:00.000000,BOATING the Amalfi Coast Italy,Travel & Events,1.82,201779,1569,320,False,True,https://www.youtube.com/watch?v=4xuI6dm6CSY,UCXP8XoI6xGyMsuwjC_replaced_lEePg
Fishing with Luiza,2019-01-28 05:26:07.153185,126,2015-03-30 00:00:00.000000,196275,48363795,2018-12-20 00:00:00.000000,Searching for SHELLS in the BAHAMAS,Sports,5.97,1905450,10427,2337,False,True,https://www.youtube.com/watch?v=8zPl3G4nFSQ,UCXP8XoI6xGyMsuwjC_replaced_lEePg
Fishing with Luiza,2019-01-28 05:26:07.153185,126,2015-03-30 00:00:00.000000,196275,48363795,2018-12-05 00:00:00.000000,My FIRST TRY ON HAUL,Sports,8.22,104112,1888,171,False,True,https://www.youtube.com/watch?v=3F5wFJy3zB0,UCXP8XoI6xGyMsuwjC_replaced_lEePg
Fishing with Luiza,2019-01-28 05:26:07.153185,126,2015-03-30 00:00:00.000000,196275,48363795,2018-11-27 00:00:00.000000,SURPRISE Catch in Mexico Pt2 !,Sports,5.25,256609,2265,134,False,True,https://www.youtube.com/watch?v=motSSTfpxnA,UCXP8XoI6xGyMsuwjC_replaced_lEePg
Fishing with Luiza,2019-01-28 05:26:07.153185,126,2015-03-30 00:00:00.000000,196275,48363795,2018-11-21 00:00:00.000000,Roosterfish in MEXICO,Sports,2.38,28756,649,41,False,True,https://www.youtube.com/watch?v=hnlIoGSfNRc,UCXP8XoI6xGyMsuwjC_replaced_lEePg
Fishing with Luiza,2019-01-28 05:26:07.153185,126,2015-03-30 00:00:00.000000,196275,48363795,2018-11-04 00:00:00.000000,SURPRISE catch in Mexico !,Sports,5.3,220861,2126,168,False,True,https://www.youtube.com/watch?v=4CnhMDX8D-8,UCXP8XoI6xGyMsuwjC_replaced_lEePg
Fishing with Luiza,2019-01-28 05:26:07.153185,126,2015-03-30 00:00:00.000000,196275,48363795,2018-10-30 00:00:00.000000,DIVING in the Cayman ISLANDS,Sports,10.1,918041,4837,362,False,True,https://www.youtube.com/watch?v=qlwDVJAceDM,UCXP8XoI6xGyMsuwjC_replaced_lEePg
Fishing with Luiza,2019-01-28 05:26:07.153185,126,2015-03-30 00:00:00.000000,196275,48363795,2018-10-16 00:00:00.000000,Big SNOOK and a Dip in the POOL !,Sports,10.98,78145,1595,41,False,True,https://www.youtube.com/watch?v=SYwFG2bpKHA,UCXP8XoI6xGyMsuwjC_replaced_lEePg
Fishing with Luiza,2019-01-28 05:26:07.153185,126,2015-03-30 00:00:00.000000,196275,48363795,2018-10-02 00:00:00.000000,4 Wheelers and a PRIVATE Beach,Sports,5.37,745312,4690,808,False,True,https://www.youtube.com/watch?v=QyXeEaoWwn4,UCXP8XoI6xGyMsuwjC_replaced_lEePg
Fishing with Luiza,2019-01-28 05:26:07.153185,126,2015-03-30 00:00:00.000000,196275,48363795,2018-09-23 00:00:00.000000,I Love this stuff !,Sports,1.73,623865,2653,818,False,True,https://www.youtube.com/watch?v=iQIJLNk5chg,UCXP8XoI6xGyMsuwjC_replaced_lEePg
Fishing with Luiza,2019-01-28 05:26:07.153185,126,2015-03-30 00:00:00.000000,196275,48363795,2018-09-18 00:00:00.000000,River FUN on a hot summer day!,Sports,10.9,351270,3389,262,False,True,https://www.youtube.com/watch?v=IUDOVvztkIs,UCXP8XoI6xGyMsuwjC_replaced_lEePg
Fishing with Luiza,2019-01-28 05:26:07.153185,126,2015-03-30 00:00:00.000000,196275,48363795,2018-09-11 00:00:00.000000,Epic Offshore fishing in Florida,Sports,22.03,54862,647,96,False,True,https://www.youtube.com/watch?v=O9fzkEG0o-4,UCXP8XoI6xGyMsuwjC_replaced_lEePg
Fishing with Luiza,2019-01-28 05:26:07.153185,126,2015-03-30 00:00:00.000000,196275,48363795,2018-08-29 00:00:00.000000,Fishing for SPANISH MACKEREL and MANGROVES,Sports,12.87,877915,7049,618,False,True,https://www.youtube.com/watch?v=B2SNoWXYjig,UCXP8XoI6xGyMsuwjC_replaced_lEePg
Fishing with Luiza,2019-01-28 05:26:07.153185,126,2015-03-30 00:00:00.000000,196275,48363795,2018-08-19 00:00:00.000000,BAHAMAS Mutton Madness 1st half,Sports,11.27,40939,634,90,False,True,https://www.youtube.com/watch?v=FUUocsWGyrw,UCXP8XoI6xGyMsuwjC_replaced_lEePg
Fishing with Luiza,2019-01-28 05:26:07.153185,126,2015-03-30 00:00:00.000000,196275,48363795,2018-08-09 00:00:00.000000,Swimming in the River with Bass! Crystal Clear water,Sports,18.07,1534397,11531,958,False,True,https://www.youtube.com/watch?v=4kFQZKZln3c,UCXP8XoI6xGyMsuwjC_replaced_lEePg
Fishing with Luiza,2019-01-28 05:26:07.153185,126,2015-03-30 00:00:00.000000,196275,48363795,2018-07-30 00:00:00.000000,Cayman Islands BEACH,Sports,1.32,1214417,3442,943,False,True,https://www.youtube.com/watch?v=WqDRnt3sx_c,UCXP8XoI6xGyMsuwjC_replaced_lEePg
Fishing with Luiza,2019-01-28 05:26:07.153185,126,2015-03-30 00:00:00.000000,196275,48363795,2018-07-24 00:00:00.000000,SWIMMING with STINGRAYS in the Cayman Islands,Sports,8.67,211506,1954,88,False,True,https://www.youtube.com/watch?v=s2RJhEnbc_I,UCXP8XoI6xGyMsuwjC_replaced_lEePg
