ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
RaBchEiNmA,2019-02-01 04:34:20.555405,52,2011-07-31 00:00:00.000000,836,2107296,2014-02-23 00:00:00.000000,Counter Strike Source: Ze_Lotr_Mines_of_Moria_v6_3,Gaming,6.25,230,2,4,False,True,https://www.youtube.com/watch?v=dqxir2w9HVw,UCZbw2guSIiHf_replaced_ZIc15VWtdQ
RaBchEiNmA,2019-02-01 04:34:20.555405,52,2011-07-31 00:00:00.000000,836,2107296,2013-10-07 00:00:00.000000,Dj Antoine - Garmoshka,Music,3.48,3294,34,1,False,True,https://www.youtube.com/watch?v=ssp7qIaatm8,UCZbw2guSIiHf_replaced_ZIc15VWtdQ
RaBchEiNmA,2019-02-01 04:34:20.555405,52,2011-07-31 00:00:00.000000,836,2107296,2013-04-17 00:00:00.000000,ksiolajidebt - Funny/best moment,Comedy,0.32,779,5,2,False,True,https://www.youtube.com/watch?v=qlYLWSP6gr0,UCZbw2guSIiHf_replaced_ZIc15VWtdQ
RaBchEiNmA,2019-02-01 04:34:20.555405,52,2011-07-31 00:00:00.000000,836,2107296,2013-03-21 00:00:00.000000,Harold and Kumar - BEST MOVIE SCENE EVER,Gaming,0.78,493684,3070,230,False,True,https://www.youtube.com/watch?v=BfilaKrnAhQ,UCZbw2guSIiHf_replaced_ZIc15VWtdQ
RaBchEiNmA,2019-02-01 04:34:20.555405,52,2011-07-31 00:00:00.000000,836,2107296,2013-03-12 00:00:00.000000,BattleField 3 - Javelin vs Dirt bikers (End Game),Gaming,0.97,201,3,3,False,True,https://www.youtube.com/watch?v=2ul1MeBvdkg,UCZbw2guSIiHf_replaced_ZIc15VWtdQ
RaBchEiNmA,2019-02-01 04:34:20.555405,52,2011-07-31 00:00:00.000000,836,2107296,2013-02-28 00:00:00.000000,Counter Strike Source: Ze_Predator_Ultimate v3:Human Win,Gaming,5.95,652,3,3,False,True,https://www.youtube.com/watch?v=D2uFLRoBLVA,UCZbw2guSIiHf_replaced_ZIc15VWtdQ
RaBchEiNmA,2019-02-01 04:34:20.555405,52,2011-07-31 00:00:00.000000,836,2107296,2013-02-27 00:00:00.000000,Dj Weez - Ok roll the drums,Music,2.73,129413,1274,30,False,True,https://www.youtube.com/watch?v=t-TyiyvgWzo,UCZbw2guSIiHf_replaced_ZIc15VWtdQ
RaBchEiNmA,2019-02-01 04:34:20.555405,52,2011-07-31 00:00:00.000000,836,2107296,2012-12-07 00:00:00.000000,Ricochet - Game Of The Year,Gaming,2.23,65,0,0,False,True,https://www.youtube.com/watch?v=htHRnZg0gSA,UCZbw2guSIiHf_replaced_ZIc15VWtdQ
RaBchEiNmA,2019-02-01 04:34:20.555405,52,2011-07-31 00:00:00.000000,836,2107296,2012-11-09 00:00:00.000000,GTA IV: Funny Stuff/Random Stuff,Gaming,7.42,53,1,0,False,True,https://www.youtube.com/watch?v=q_v78RRlAqI,UCZbw2guSIiHf_replaced_ZIc15VWtdQ
RaBchEiNmA,2019-02-01 04:34:20.555405,52,2011-07-31 00:00:00.000000,836,2107296,2012-11-08 00:00:00.000000,GTA IV: Car Falls From Space,Gaming,1.02,2744,13,1,False,True,https://www.youtube.com/watch?v=HBqUeESxJWY,UCZbw2guSIiHf_replaced_ZIc15VWtdQ
RaBchEiNmA,2019-02-01 04:34:20.555405,52,2011-07-31 00:00:00.000000,836,2107296,2012-11-03 00:00:00.000000,GTA IV fraps test 1080p,Gaming,0.38,82,1,0,False,True,https://www.youtube.com/watch?v=tRwCZ_RD-5U,UCZbw2guSIiHf_replaced_ZIc15VWtdQ
RaBchEiNmA,2019-02-01 04:34:20.555405,52,2011-07-31 00:00:00.000000,836,2107296,2012-10-25 00:00:00.000000,MW2 Gameplay: Team deathmatch - UMP45,Gaming,9.18,81,2,1,False,True,https://www.youtube.com/watch?v=ph2iU0MmGZE,UCZbw2guSIiHf_replaced_ZIc15VWtdQ
RaBchEiNmA,2019-02-01 04:34:20.555405,52,2011-07-31 00:00:00.000000,836,2107296,2012-10-23 00:00:00.000000,GTA 4 Not Fun With Gravity Gun,Gaming,8.27,1024,4,2,False,True,https://www.youtube.com/watch?v=PCgojIqnDto,UCZbw2guSIiHf_replaced_ZIc15VWtdQ
RaBchEiNmA,2019-02-01 04:34:20.555405,52,2011-07-31 00:00:00.000000,836,2107296,2012-10-22 00:00:00.000000,GTA IV Car + Rooftop + Ramp,Gaming,5.05,874,7,1,False,True,https://www.youtube.com/watch?v=k4n8VAfSGQI,UCZbw2guSIiHf_replaced_ZIc15VWtdQ
RaBchEiNmA,2019-02-01 04:34:20.555405,52,2011-07-31 00:00:00.000000,836,2107296,2012-10-22 00:00:00.000000,GTA IV 32 motorcycle gang members vs 6 people,Gaming,2.8,6851,14,10,False,True,https://www.youtube.com/watch?v=gy7pAqyqiWI,UCZbw2guSIiHf_replaced_ZIc15VWtdQ
RaBchEiNmA,2019-02-01 04:34:20.555405,52,2011-07-31 00:00:00.000000,836,2107296,2012-10-20 00:00:00.000000,Medieval 2 total war fraps test,Gaming,2.4,61,1,0,False,True,https://www.youtube.com/watch?v=CfEubq2QxkU,UCZbw2guSIiHf_replaced_ZIc15VWtdQ
RaBchEiNmA,2019-02-01 04:34:20.555405,52,2011-07-31 00:00:00.000000,836,2107296,2012-08-07 00:00:00.000000,South Park - Mel Gibson Fart,Comedy,0.08,105469,368,13,False,True,https://www.youtube.com/watch?v=AuqvUGHO9JQ,UCZbw2guSIiHf_replaced_ZIc15VWtdQ
RaBchEiNmA,2019-02-01 04:34:20.555405,52,2011-07-31 00:00:00.000000,836,2107296,2012-08-06 00:00:00.000000,Lord Of The Rings - Orc Marches,Film & Animation,5.35,579711,2353,97,False,True,https://www.youtube.com/watch?v=1IfavsALqtw,UCZbw2guSIiHf_replaced_ZIc15VWtdQ
