ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
One More Cast,2019-02-09 16:27:48.985064,56,2017-08-16 00:00:00.000000,1274,106264,2019-02-03 00:00:00.000000,Airbrush Painting Deep Diving CRANKBAIT! (Duo Realis m65),Film & Animation,9.45,187,27,0,False,True,https://www.youtube.com/watch?v=1RM7h6k62AE,UCePX7AbbRLOh9EK9rCYI6gw
One More Cast,2019-02-09 16:27:48.985064,56,2017-08-16 00:00:00.000000,1274,106264,2019-01-31 00:00:00.000000,LIVE STREAM Airbrush Painting a Bluegill Crankbait,Film & Animation,28.55,207,17,0,False,True,https://www.youtube.com/watch?v=TnqtCHecIps,UCePX7AbbRLOh9EK9rCYI6gw
One More Cast,2019-02-09 16:27:48.985064,56,2017-08-16 00:00:00.000000,1274,106264,2019-01-27 00:00:00.000000,"Airbrush Painting WHOPPER PLOPPER 90 ""Freestyle""",Film & Animation,7.47,206,24,0,False,True,https://www.youtube.com/watch?v=8AOPfY3yZ0Q,UCePX7AbbRLOh9EK9rCYI6gw
One More Cast,2019-02-09 16:27:48.985064,56,2017-08-16 00:00:00.000000,1274,106264,2019-01-20 00:00:00.000000,Airbrush Painting Chartreuse Crankbait for DIRTY WATER!,Film & Animation,9.83,608,40,0,False,True,https://www.youtube.com/watch?v=9EtOtu4RfsA,UCePX7AbbRLOh9EK9rCYI6gw
One More Cast,2019-02-09 16:27:48.985064,56,2017-08-16 00:00:00.000000,1274,106264,2019-01-15 00:00:00.000000,AquaSeal: Repairing my leaking waders!,Film & Animation,9.15,61,9,0,False,True,https://www.youtube.com/watch?v=vRxAaRBsRgM,UCePX7AbbRLOh9EK9rCYI6gw
One More Cast,2019-02-09 16:27:48.985064,56,2017-08-16 00:00:00.000000,1274,106264,2019-01-08 00:00:00.000000,How to FOIL a Crankbait (Cheap and Easy!),Film & Animation,10.58,362,31,0,False,True,https://www.youtube.com/watch?v=BBeTni0Z6OM,UCePX7AbbRLOh9EK9rCYI6gw
One More Cast,2019-02-09 16:27:48.985064,56,2017-08-16 00:00:00.000000,1274,106264,2019-01-01 00:00:00.000000,"2011 Macbook Pro Upgrade STEP BY STEP (2+TB, SSD, 16 GB RAM)",Film & Animation,13.8,1332,42,2,False,True,https://www.youtube.com/watch?v=7__bmqNGF-0,UCePX7AbbRLOh9EK9rCYI6gw
One More Cast,2019-02-09 16:27:48.985064,56,2017-08-16 00:00:00.000000,1274,106264,2018-12-26 00:00:00.000000,Airbrush Painting SHAD Squarebill Crankbait | Painting Fishing Lures,Film & Animation,10.17,656,32,0,False,True,https://www.youtube.com/watch?v=CfPBOzKj_mI,UCePX7AbbRLOh9EK9rCYI6gw
One More Cast,2019-02-09 16:27:48.985064,56,2017-08-16 00:00:00.000000,1274,106264,2018-12-18 00:00:00.000000,Painting Fishing Lures | Airbrush Stencil Tips (Cheap & Easy!),Film & Animation,8.62,286,11,1,False,True,https://www.youtube.com/watch?v=d83J3xzwsIg,UCePX7AbbRLOh9EK9rCYI6gw
One More Cast,2019-02-09 16:27:48.985064,56,2017-08-16 00:00:00.000000,1274,106264,2018-11-30 00:00:00.000000,GIVEAWAY - Custom Heddon Super spook jr (ended),Film & Animation,8.97,242,42,0,False,True,https://www.youtube.com/watch?v=D5_kAFDn7Vg,UCePX7AbbRLOh9EK9rCYI6gw
One More Cast,2019-02-09 16:27:48.985064,56,2017-08-16 00:00:00.000000,1274,106264,2018-11-25 00:00:00.000000,I SAVED over 500$ on Fishing Gear on BLACK FRIDAY (CRAZY DEALS!),Film & Animation,7.53,202,13,0,False,True,https://www.youtube.com/watch?v=MKsT1wm7m1w,UCePX7AbbRLOh9EK9rCYI6gw
One More Cast,2019-02-09 16:27:48.985064,56,2017-08-16 00:00:00.000000,1274,106264,2018-11-19 00:00:00.000000,Top 5 BLACK Friday FISHING Deals (2018),Film & Animation,5.78,512,16,2,False,True,https://www.youtube.com/watch?v=VPJ0PNU7n-k,UCePX7AbbRLOh9EK9rCYI6gw
One More Cast,2019-02-09 16:27:48.985064,56,2017-08-16 00:00:00.000000,1274,106264,2018-11-17 00:00:00.000000,PAINTING Fishing Lures | REALISTIC Bluegill Wakebait |,Film & Animation,10.03,559,24,0,False,True,https://www.youtube.com/watch?v=SA4MMq6I_mo,UCePX7AbbRLOh9EK9rCYI6gw
