ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
Kevin Parks,2019-01-23 04:43:30.936322,12,2015-09-14 00:00:00.000000,145,23340,2019-01-17 00:00:00.000000,DASD Mental Health Panel Discussion,Education,96.8,1688,37,23,False,True,https://www.youtube.com/watch?v=6DjLZBXhLnA,UCfAtFmI6NTkhzFDTVpxtm8A
Kevin Parks,2019-01-23 04:43:30.936322,12,2015-09-14 00:00:00.000000,145,23340,2019-01-10 00:00:00.000000,Downingtown High School West Home and School Presents: Dr Brigette A. Erwin,Education,91.83,1843,30,8,False,True,https://www.youtube.com/watch?v=uvhIkgiTWy0,UCfAtFmI6NTkhzFDTVpxtm8A
Kevin Parks,2019-01-23 04:43:30.936322,12,2015-09-14 00:00:00.000000,145,23340,2019-01-09 00:00:00.000000,Downingtown Area School District School Board Meeting January 2019,Education,147.7,6643,0,0,False,True,https://www.youtube.com/watch?v=xIQNIW4Fqco,UCfAtFmI6NTkhzFDTVpxtm8A
Kevin Parks,2019-01-23 04:43:30.936322,12,2015-09-14 00:00:00.000000,145,23340,2018-06-07 00:00:00.000000,2018 Downingtown STEM Academy Commencement,Education,91.0,1049,20,1,False,True,https://www.youtube.com/watch?v=AJMVj2OBEjI,UCfAtFmI6NTkhzFDTVpxtm8A
Kevin Parks,2019-01-23 04:43:30.936322,12,2015-09-14 00:00:00.000000,145,23340,2018-06-06 00:00:00.000000,2018 Downingtown High School East Commencement,Education,121.33,2426,33,0,False,True,https://www.youtube.com/watch?v=BqRBqEqjTNY,UCfAtFmI6NTkhzFDTVpxtm8A
Kevin Parks,2019-01-23 04:43:30.936322,12,2015-09-14 00:00:00.000000,145,23340,2018-06-05 00:00:00.000000,2018 Downingtown High School West Commencement,Education,108.62,3295,45,11,False,True,https://www.youtube.com/watch?v=IEUN2xwvu2Y,UCfAtFmI6NTkhzFDTVpxtm8A
Kevin Parks,2019-01-23 04:43:30.936322,12,2015-09-14 00:00:00.000000,145,23340,2017-12-15 00:00:00.000000,Marsh Creek Sixth Grade Center TEDx 2017 - Dr. Brady Beale,Education,21.5,192,0,0,False,True,https://www.youtube.com/watch?v=K3m6iaFD024,UCfAtFmI6NTkhzFDTVpxtm8A
Kevin Parks,2019-01-23 04:43:30.936322,12,2015-09-14 00:00:00.000000,145,23340,2017-12-15 00:00:00.000000,Marsh Creek Sixth Grade Center TEDx 2017 - Mr. Norman Horn,Education,25.1,78,0,0,False,True,https://www.youtube.com/watch?v=MEGOxvBGrJE,UCfAtFmI6NTkhzFDTVpxtm8A
Kevin Parks,2019-01-23 04:43:30.936322,12,2015-09-14 00:00:00.000000,145,23340,2017-06-08 00:00:00.000000,2017 Downingtown High School West Commencement,Education,101.47,1486,0,0,False,True,https://www.youtube.com/watch?v=A6UI9wyqA34,UCfAtFmI6NTkhzFDTVpxtm8A
Kevin Parks,2019-01-23 04:43:30.936322,12,2015-09-14 00:00:00.000000,145,23340,2017-06-07 00:00:00.000000,2017 Downingtown High School East Commencement,Education,120.78,2483,0,0,False,True,https://www.youtube.com/watch?v=awxqRqYKCHw,UCfAtFmI6NTkhzFDTVpxtm8A
Kevin Parks,2019-01-23 04:43:30.936322,12,2015-09-14 00:00:00.000000,145,23340,2017-06-06 00:00:00.000000,2017 Downingtown STEM Academy Commencement,Education,87.5,2087,0,0,False,True,https://www.youtube.com/watch?v=SDVA1QIWCZM,UCfAtFmI6NTkhzFDTVpxtm8A
Kevin Parks,2019-01-23 04:43:30.936322,12,2015-09-14 00:00:00.000000,145,23340,2016-10-11 00:00:00.000000,Dr  William Hartman DASD Budget Analysis,Education,29.18,24,0,0,False,True,https://www.youtube.com/watch?v=a2COmoQjMXc,UCfAtFmI6NTkhzFDTVpxtm8A
