ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
Why Don't We,2019-01-28 04:56:27.436947,96,2016-09-20 00:00:00.000000,2485553,363367396,2019-01-19 00:00:00.000000,BIG PLANS - Why Don't We [Official Music Video],Music,3.18,2733364,208006,3869,False,True,https://www.youtube.com/watch?v=EWguUJtesrs,UCgJMQU7JOIoP_replaced_YnrhH_P_replaced_bA
Why Don't We,2019-01-28 04:56:27.436947,96,2016-09-20 00:00:00.000000,2485553,363367396,2018-10-06 00:00:00.000000,8 Letters Acoustic - Why Don't We [Official Music Video],Music,3.35,1825318,108718,367,False,True,https://www.youtube.com/watch?v=WihX3peej0Q,UCgJMQU7JOIoP_replaced_YnrhH_P_replaced_bA
Why Don't We,2019-01-28 04:56:27.436947,96,2016-09-20 00:00:00.000000,2485553,363367396,2018-08-19 00:00:00.000000,8 Letters - Why Don't We [Official Music Video],Music,3.2,35575146,490280,8813,False,True,https://www.youtube.com/watch?v=C3DlM19x4RQ,UCgJMQU7JOIoP_replaced_YnrhH_P_replaced_bA
Why Don't We,2019-01-28 04:56:27.436947,96,2016-09-20 00:00:00.000000,2485553,363367396,2018-07-07 00:00:00.000000,Talk - Why Don't We [Official Music Video],Music,3.47,33180833,438982,8030,False,True,https://www.youtube.com/watch?v=Y15MOr9saxE,UCgJMQU7JOIoP_replaced_YnrhH_P_replaced_bA
Why Don't We,2019-01-28 04:56:27.436947,96,2016-09-20 00:00:00.000000,2485553,363367396,2018-06-07 00:00:00.000000,Hooked - Why Don't We [Official Music Video],Music,3.7,25906623,383585,7728,False,True,https://www.youtube.com/watch?v=-vuDnPVXFbY,UCgJMQU7JOIoP_replaced_YnrhH_P_replaced_bA
Why Don't We,2019-01-28 04:56:27.436947,96,2016-09-20 00:00:00.000000,2485553,363367396,2018-03-25 00:00:00.000000,Trust Fund Baby Behind The Scenes - Why Don't We [Official Music Video BTS],Music,3.32,829479,52166,225,False,True,https://www.youtube.com/watch?v=SqSUHfWaEQc,UCgJMQU7JOIoP_replaced_YnrhH_P_replaced_bA
Why Don't We,2019-01-28 04:56:27.436947,96,2016-09-20 00:00:00.000000,2485553,363367396,2018-03-01 00:00:00.000000,Trust Fund Baby - Why Don't We [Official Music Video],Music,3.53,38520807,497266,8374,False,True,https://www.youtube.com/watch?v=fOmhbMXY52o,UCgJMQU7JOIoP_replaced_YnrhH_P_replaced_bA
Why Don't We,2019-01-28 04:56:27.436947,96,2016-09-20 00:00:00.000000,2485553,363367396,2018-01-21 00:00:00.000000,Nobody Gotta Know (Live on the Honda Stage at the Hammerstein Ballroom),Music,2.0,336968,21149,94,False,True,https://www.youtube.com/watch?v=tuMX2HuPtAE,UCgJMQU7JOIoP_replaced_YnrhH_P_replaced_bA
Why Don't We,2019-01-28 04:56:27.436947,96,2016-09-20 00:00:00.000000,2485553,363367396,2018-01-21 00:00:00.000000,These Girls (Live on the Honda Stage at the Hammerstein Ballroom),Music,2.33,390750,23676,117,False,True,https://www.youtube.com/watch?v=TMe333Jjyx4,UCgJMQU7JOIoP_replaced_YnrhH_P_replaced_bA
Why Don't We,2019-01-28 04:56:27.436947,96,2016-09-20 00:00:00.000000,2485553,363367396,2018-01-21 00:00:00.000000,Something Different (Live on the Honda Stage at the Hammerstein Ballroom),Music,2.37,449821,29191,156,False,True,https://www.youtube.com/watch?v=YllUTbb3CLk,UCgJMQU7JOIoP_replaced_YnrhH_P_replaced_bA
Why Don't We,2019-01-28 04:56:27.436947,96,2016-09-20 00:00:00.000000,2485553,363367396,2017-12-04 00:00:00.000000,Why Don't We • 180 Virtual Reality Google Daydream House Tour,Music,3.43,1124003,41751,492,False,True,https://www.youtube.com/watch?v=GU9aHslWPAc,UCgJMQU7JOIoP_replaced_YnrhH_P_replaced_bA
