ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
OFFICIAL SNAPPER Channel,2019-01-28 05:20:22.661144,19,2016-10-26 00:00:00.000000,0,452808,2018-12-21 00:00:00.000000,SNAPPER - NEW SINGLE  Hoodratz,Music,2.82,774,31,12,False,True,https://www.youtube.com/watch?v=69n-JFdzS8Y,UCiT6Ko3IxsmHSHJxaHk1uGg
OFFICIAL SNAPPER Channel,2019-01-28 05:20:22.661144,19,2016-10-26 00:00:00.000000,0,452808,2018-12-13 00:00:00.000000,SNAPPER-2019 The Evolution will begin,Music,3.42,783,48,8,False,True,https://www.youtube.com/watch?v=B7xDxNc9E1Q,UCiT6Ko3IxsmHSHJxaHk1uGg
OFFICIAL SNAPPER Channel,2019-01-28 05:20:22.661144,19,2016-10-26 00:00:00.000000,0,452808,2018-11-21 00:00:00.000000,SNAPPER- CONSISTENCY is the key in the rap game or anything you do.,Music,6.07,554,46,0,False,True,https://www.youtube.com/watch?v=lO9fQDNyW1o,UCiT6Ko3IxsmHSHJxaHk1uGg
OFFICIAL SNAPPER Channel,2019-01-28 05:20:22.661144,19,2016-10-26 00:00:00.000000,0,452808,2018-11-08 00:00:00.000000,SNAPPER- Advice to all rappers- Do not worry about the haters,Music,7.78,527,51,2,False,True,https://www.youtube.com/watch?v=gDxw3BhZuuw,UCiT6Ko3IxsmHSHJxaHk1uGg
OFFICIAL SNAPPER Channel,2019-01-28 05:20:22.661144,19,2016-10-26 00:00:00.000000,0,452808,2018-01-29 00:00:00.000000,SNAPPER Feat Young Buck- G-Unit- Our Father,Music,3.22,125723,199,36,False,True,https://www.youtube.com/watch?v=HyGzmvfXRzw,UCiT6Ko3IxsmHSHJxaHk1uGg
OFFICIAL SNAPPER Channel,2019-01-28 05:20:22.661144,19,2016-10-26 00:00:00.000000,0,452808,2017-10-29 00:00:00.000000,"Snapper, Mr. Knightowl, YBE, David Salas- Summertime__",Music,3.52,4443,82,7,False,True,https://www.youtube.com/watch?v=pehUcducsMg,UCiT6Ko3IxsmHSHJxaHk1uGg
OFFICIAL SNAPPER Channel,2019-01-28 05:20:22.661144,19,2016-10-26 00:00:00.000000,0,452808,2017-10-29 00:00:00.000000,Snapper It's the Glock,Music,3.85,1320,31,5,False,True,https://www.youtube.com/watch?v=hLmnAYXuZOA,UCiT6Ko3IxsmHSHJxaHk1uGg
OFFICIAL SNAPPER Channel,2019-01-28 05:20:22.661144,19,2016-10-26 00:00:00.000000,0,452808,2017-10-28 00:00:00.000000,SNAPPER Feat Butch Cassidy - Behind closed Doors,Music,3.9,55435,116,22,False,True,https://www.youtube.com/watch?v=zTpWPJLXuFY,UCiT6Ko3IxsmHSHJxaHk1uGg
OFFICIAL SNAPPER Channel,2019-01-28 05:20:22.661144,19,2016-10-26 00:00:00.000000,0,452808,2017-10-26 00:00:00.000000,"Snapper feat- SlowPain, Capone-e  Knock Knock",Music,4.27,5648,113,8,False,True,https://www.youtube.com/watch?v=XoUV9sQguSw,UCiT6Ko3IxsmHSHJxaHk1uGg
OFFICIAL SNAPPER Channel,2019-01-28 05:20:22.661144,19,2016-10-26 00:00:00.000000,0,452808,2017-10-20 00:00:00.000000,SNAPPER- Give it to me,Music,2.93,25235,65,16,False,True,https://www.youtube.com/watch?v=gHxyaskOsGw,UCiT6Ko3IxsmHSHJxaHk1uGg
OFFICIAL SNAPPER Channel,2019-01-28 05:20:22.661144,19,2016-10-26 00:00:00.000000,0,452808,2017-06-23 00:00:00.000000,General Franco - Ballin' Out,Music,2.68,584,14,11,False,True,https://www.youtube.com/watch?v=FKGujzykDiM,UCiT6Ko3IxsmHSHJxaHk1uGg
OFFICIAL SNAPPER Channel,2019-01-28 05:20:22.661144,19,2016-10-26 00:00:00.000000,0,452808,2017-06-23 00:00:00.000000,General Franco- I GOT IT,Music,4.1,379,11,8,False,True,https://www.youtube.com/watch?v=BZGXBBrnt8s,UCiT6Ko3IxsmHSHJxaHk1uGg
OFFICIAL SNAPPER Channel,2019-01-28 05:20:22.661144,19,2016-10-26 00:00:00.000000,0,452808,2017-06-23 00:00:00.000000,General Franco - I'm Gone,Music,5.18,833,17,5,False,True,https://www.youtube.com/watch?v=AFgC9AyiE1I,UCiT6Ko3IxsmHSHJxaHk1uGg
OFFICIAL SNAPPER Channel,2019-01-28 05:20:22.661144,19,2016-10-26 00:00:00.000000,0,452808,2017-06-23 00:00:00.000000,General Franco - In The Dark,Music,3.27,429,11,5,False,True,https://www.youtube.com/watch?v=0BJI9TGvLdQ,UCiT6Ko3IxsmHSHJxaHk1uGg
OFFICIAL SNAPPER Channel,2019-01-28 05:20:22.661144,19,2016-10-26 00:00:00.000000,0,452808,2017-06-23 00:00:00.000000,General Franco- Rollin,Music,4.83,1299,29,15,False,True,https://www.youtube.com/watch?v=LxI7C7kXBjo,UCiT6Ko3IxsmHSHJxaHk1uGg
OFFICIAL SNAPPER Channel,2019-01-28 05:20:22.661144,19,2016-10-26 00:00:00.000000,0,452808,2017-06-21 00:00:00.000000,General Franco- Thumbing through a check,Music,4.25,5354,53,28,False,True,https://www.youtube.com/watch?v=ddz6D3Di0wY,UCiT6Ko3IxsmHSHJxaHk1uGg
OFFICIAL SNAPPER Channel,2019-01-28 05:20:22.661144,19,2016-10-26 00:00:00.000000,0,452808,2017-06-15 00:00:00.000000,Snapper Feat. Janice - Give Me That Green,Music,3.93,2702,84,6,False,True,https://www.youtube.com/watch?v=vTSqjjdwHZo,UCiT6Ko3IxsmHSHJxaHk1uGg
