ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
Møme Music,2019-01-07 06:33:01.923200,32,2014-02-18 00:00:00.000000,113118,54030541,2018-12-19 00:00:00.000000,"Møme - Møment II (Live Session / Los Angeles) ft. Ricky Ducati, Goldwash",Music,9.13,84600,4170,61,False,True,https://www.youtube.com/watch?v=fEKZBgOlYKA,UCjHBbCH9yddRerP1_replaced_0oDogw
Møme Music,2019-01-07 06:33:01.923200,32,2014-02-18 00:00:00.000000,113118,54030541,2018-12-06 00:00:00.000000,Møme - Sail Away ft. Ricky Ducati,Music,4.42,342009,3906,108,False,True,https://www.youtube.com/watch?v=mI3z9BNXcEE,UCjHBbCH9yddRerP1_replaced_0oDogw
Møme Music,2019-01-07 06:33:01.923200,32,2014-02-18 00:00:00.000000,113118,54030541,2018-06-13 00:00:00.000000,Møme - When We Ride ft. JPL,Music,5.1,311283,6522,193,False,True,https://www.youtube.com/watch?v=1e-qZU21zk0,UCjHBbCH9yddRerP1_replaced_0oDogw
Møme Music,2019-01-07 06:33:01.923200,32,2014-02-18 00:00:00.000000,113118,54030541,2018-06-08 00:00:00.000000,Møme - Møment I (Live Session / Bali),Music,7.67,288454,3779,101,False,True,https://www.youtube.com/watch?v=pCUez21QIhc,UCjHBbCH9yddRerP1_replaced_0oDogw
Møme Music,2019-01-07 06:33:01.923200,32,2014-02-18 00:00:00.000000,113118,54030541,2017-11-27 00:00:00.000000,Møme - Panorama Tour Report,Music,6.67,5150,125,4,False,True,https://www.youtube.com/watch?v=uX3M8jCbrzU,UCjHBbCH9yddRerP1_replaced_0oDogw
Møme Music,2019-01-07 06:33:01.923200,32,2014-02-18 00:00:00.000000,113118,54030541,2017-11-27 00:00:00.000000,Møme - Panorama Tour Report,Music,6.67,5150,125,4,False,True,https://www.youtube.com/watch?v=uX3M8jCbrzU,UCjHBbCH9yddRerP1_replaced_0oDogw
Møme Music,2019-01-07 06:33:01.923200,32,2014-02-18 00:00:00.000000,113118,54030541,2017-06-29 00:00:00.000000,Møme - Olympia [Live Report],Music,1.47,5886,175,0,False,True,https://www.youtube.com/watch?v=OS_kORJxbgg,UCjHBbCH9yddRerP1_replaced_0oDogw
Møme Music,2019-01-07 06:33:01.923200,32,2014-02-18 00:00:00.000000,113118,54030541,2017-06-29 00:00:00.000000,Møme - Olympia [Live Report],Music,1.47,5886,175,0,False,True,https://www.youtube.com/watch?v=OS_kORJxbgg,UCjHBbCH9yddRerP1_replaced_0oDogw
Møme Music,2019-01-07 06:33:01.923200,32,2014-02-18 00:00:00.000000,113118,54030541,2017-06-22 00:00:00.000000,Møme - Take Off (Coca-Cola Summer 2017) ft. Romuald,Music,2.67,551201,4682,241,False,True,https://www.youtube.com/watch?v=TxLmO0h9GO0,UCjHBbCH9yddRerP1_replaced_0oDogw
Møme Music,2019-01-07 06:33:01.923200,32,2014-02-18 00:00:00.000000,113118,54030541,2017-04-23 00:00:00.000000,Møme - Why Is It (Official Video) ft. Merryn Jeann,Music,3.18,591978,10136,247,False,True,https://www.youtube.com/watch?v=rIrAWDG_vBs,UCjHBbCH9yddRerP1_replaced_0oDogw
Møme Music,2019-01-07 06:33:01.923200,32,2014-02-18 00:00:00.000000,113118,54030541,2017-03-01 00:00:00.000000,Møme - Panorama Story (EP03 - Medicine),Music,3.37,8606,129,1,False,True,https://www.youtube.com/watch?v=ZfXe2pHwczo,UCjHBbCH9yddRerP1_replaced_0oDogw
Møme Music,2019-01-07 06:33:01.923200,32,2014-02-18 00:00:00.000000,113118,54030541,2017-03-01 00:00:00.000000,Møme - Panorama Story (EP03 - Medicine),Music,3.37,8606,129,1,False,True,https://www.youtube.com/watch?v=ZfXe2pHwczo,UCjHBbCH9yddRerP1_replaced_0oDogw
Møme Music,2019-01-07 06:33:01.923200,32,2014-02-18 00:00:00.000000,113118,54030541,2017-02-01 00:00:00.000000,Møme - Panorama Story (EP02 - Panorama),Music,2.73,6931,148,0,False,True,https://www.youtube.com/watch?v=P1HrHztrDDo,UCjHBbCH9yddRerP1_replaced_0oDogw
Møme Music,2019-01-07 06:33:01.923200,32,2014-02-18 00:00:00.000000,113118,54030541,2017-02-01 00:00:00.000000,Møme - Panorama Story (EP02 - Panorama),Music,2.73,6931,148,0,False,True,https://www.youtube.com/watch?v=P1HrHztrDDo,UCjHBbCH9yddRerP1_replaced_0oDogw
Møme Music,2019-01-07 06:33:01.923200,32,2014-02-18 00:00:00.000000,113118,54030541,2017-01-20 00:00:00.000000,Møme - Cigale 2017 [Live Report],Music,1.82,3959,67,0,False,True,https://www.youtube.com/watch?v=vo32obz-voM,UCjHBbCH9yddRerP1_replaced_0oDogw
Møme Music,2019-01-07 06:33:01.923200,32,2014-02-18 00:00:00.000000,113118,54030541,2017-01-20 00:00:00.000000,Møme - Cigale 2017 [Live Report],Music,1.82,3959,67,0,False,True,https://www.youtube.com/watch?v=vo32obz-voM,UCjHBbCH9yddRerP1_replaced_0oDogw
Møme Music,2019-01-07 06:33:01.923200,32,2014-02-18 00:00:00.000000,113118,54030541,2016-12-23 00:00:00.000000,Møme - On the Top session [EIFFEL TOWER] Live 2016 @Cercle,Music,72.32,388864,4840,93,False,True,https://www.youtube.com/watch?v=bGoVFZck_NY,UCjHBbCH9yddRerP1_replaced_0oDogw
Møme Music,2019-01-07 06:33:01.923200,32,2014-02-18 00:00:00.000000,113118,54030541,2016-12-23 00:00:00.000000,Møme - On the Top session [EIFFEL TOWER] Live 2016 @Cercle,Music,72.32,388864,4840,93,False,True,https://www.youtube.com/watch?v=bGoVFZck_NY,UCjHBbCH9yddRerP1_replaced_0oDogw
Møme Music,2019-01-07 06:33:01.923200,32,2014-02-18 00:00:00.000000,113118,54030541,2016-12-17 00:00:00.000000,Møme - Panorama Album Minimix,Music,1.68,4116,137,2,False,True,https://www.youtube.com/watch?v=qMh5hA6d6DY,UCjHBbCH9yddRerP1_replaced_0oDogw
Møme Music,2019-01-07 06:33:01.923200,32,2014-02-18 00:00:00.000000,113118,54030541,2016-12-17 00:00:00.000000,Møme - Panorama Album Minimix,Music,1.68,4116,137,2,False,True,https://www.youtube.com/watch?v=qMh5hA6d6DY,UCjHBbCH9yddRerP1_replaced_0oDogw
Møme Music,2019-01-07 06:33:01.923200,32,2014-02-18 00:00:00.000000,113118,54030541,2016-11-10 00:00:00.000000,Møme Vs Midnight To Monaco - Alive (Official Video),Music,4.5,3209482,31763,828,False,True,https://www.youtube.com/watch?v=oBGKpUZzp6A,UCjHBbCH9yddRerP1_replaced_0oDogw
Møme Music,2019-01-07 06:33:01.923200,32,2014-02-18 00:00:00.000000,113118,54030541,2016-10-20 00:00:00.000000,Møme - Playground,Music,4.55,9241412,88346,2023,False,True,https://www.youtube.com/watch?v=CehAKQL463M,UCjHBbCH9yddRerP1_replaced_0oDogw
Møme Music,2019-01-07 06:33:01.923200,32,2014-02-18 00:00:00.000000,113118,54030541,2016-05-25 00:00:00.000000,Møme - Aloha (Acoustic Version) ft. Merryn Jeann,Music,3.17,256770,4216,164,False,True,https://www.youtube.com/watch?v=oWe8B-l3Ums,UCjHBbCH9yddRerP1_replaced_0oDogw
Møme Music,2019-01-07 06:33:01.923200,32,2014-02-18 00:00:00.000000,113118,54030541,2016-05-24 00:00:00.000000,Møme - Australian Trip [Teaser #1],Music,1.18,4642,77,1,False,True,https://www.youtube.com/watch?v=QihsMD-vylk,UCjHBbCH9yddRerP1_replaced_0oDogw
