ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
TheSincereSeeker,2019-02-09 16:26:43.316310,35,2018-01-15 00:00:00.000000,0,11435,2019-01-12 00:00:00.000000,HellFire in Islam | Punishments in Jahannam | Punishments of Hellfire islam | Hell Fire in Afterlife,Education,15.38,38,5,0,False,True,https://www.youtube.com/watch?v=MJp1rYDomeM,UCkIssAHOI9AACnzDO_UatOg
TheSincereSeeker,2019-02-09 16:26:43.316310,35,2018-01-15 00:00:00.000000,0,11435,2018-12-31 00:00:00.000000,What is Jihad in Islam? | The Concept and Practice of Jihad in Islam | Does Jihad Mean Holy War? |,Education,11.05,44,3,0,False,True,https://www.youtube.com/watch?v=V35LEXvclIM,UCkIssAHOI9AACnzDO_UatOg
TheSincereSeeker,2019-02-09 16:26:43.316310,35,2018-01-15 00:00:00.000000,0,11435,2018-12-30 00:00:00.000000,The Concept of Shirk in Islam | Polytheism in Islam | Major Shirk | Minor Shirk | Ascribing Partners,Education,11.15,35,5,0,False,True,https://www.youtube.com/watch?v=Rpqp2MVv55c,UCkIssAHOI9AACnzDO_UatOg
TheSincereSeeker,2019-02-09 16:26:43.316310,35,2018-01-15 00:00:00.000000,0,11435,2018-11-07 00:00:00.000000,What is Hajj? | Pilgrimage to Mecca in Islam | Fifth Pillar of Islam | How Do You Perform Hajj? |,Education,14.28,62,8,0,False,True,https://www.youtube.com/watch?v=vC4djwCbGkc,UCkIssAHOI9AACnzDO_UatOg
TheSincereSeeker,2019-02-09 16:26:43.316310,35,2018-01-15 00:00:00.000000,0,11435,2018-10-24 00:00:00.000000,What is Fasting in the Month of Ramadan? | What is Ramadan? | Why Do Muslims Fast in Ramadan? |,Education,11.78,28,3,0,False,True,https://www.youtube.com/watch?v=5sSMckux1is,UCkIssAHOI9AACnzDO_UatOg
TheSincereSeeker,2019-02-09 16:26:43.316310,35,2018-01-15 00:00:00.000000,0,11435,2018-10-24 00:00:00.000000,Zakat in Islam | Giving Alms to The Poor & Needy | Sadaqah | Zakat Al-Mal | Zakat Al-Fatir | Charity,Education,10.87,103,5,0,False,True,https://www.youtube.com/watch?v=aEf7N3_xIxA,UCkIssAHOI9AACnzDO_UatOg
TheSincereSeeker,2019-02-09 16:26:43.316310,35,2018-01-15 00:00:00.000000,0,11435,2018-10-24 00:00:00.000000,Islamic Ritual Prayer | Salah | Namaz | Second Pillar of Islam | Praying 5 Times a Day in Islam |,Education,14.15,121,5,0,False,True,https://www.youtube.com/watch?v=51RgMQLh7Qc,UCkIssAHOI9AACnzDO_UatOg
TheSincereSeeker,2019-02-09 16:26:43.316310,35,2018-01-15 00:00:00.000000,0,11435,2018-09-11 00:00:00.000000,Declaration of Faith | Testimony of Faith | Shahada | Belief in Oneness of God | Prophet Muhammad |,Education,5.97,99,5,0,False,True,https://www.youtube.com/watch?v=SiexBFnAodc,UCkIssAHOI9AACnzDO_UatOg
TheSincereSeeker,2019-02-09 16:26:43.316310,35,2018-01-15 00:00:00.000000,0,11435,2018-09-11 00:00:00.000000,Five Pillars of Islam | Mandatory Religious Duties | Testimony | Prayer | Zakat | Fasting | Hajj,Education,2.97,39,2,0,False,True,https://www.youtube.com/watch?v=UmMRElGqvuE,UCkIssAHOI9AACnzDO_UatOg
TheSincereSeeker,2019-02-09 16:26:43.316310,35,2018-01-15 00:00:00.000000,0,11435,2018-08-31 00:00:00.000000,Pre-Destination in Islam | Divine Decree | Al-Qadr | Fate | Destiny | 6th Article of Faith in Islam,Education,7.58,238,7,1,False,True,https://www.youtube.com/watch?v=Jj3AQTErpGk,UCkIssAHOI9AACnzDO_UatOg
TheSincereSeeker,2019-02-09 16:26:43.316310,35,2018-01-15 00:00:00.000000,0,11435,2018-08-20 00:00:00.000000,Last Day | Resurrection | Judgement Day | Fifth Article Faith | Events & Proof of Life After Death,Education,20.32,51,5,0,False,True,https://www.youtube.com/watch?v=LaoMe_akPe8,UCkIssAHOI9AACnzDO_UatOg
TheSincereSeeker,2019-02-09 16:26:43.316310,35,2018-01-15 00:00:00.000000,0,11435,2018-08-01 00:00:00.000000,Belief in the Prophets and Messengers of God | Fourth Article of Faith | Muslims Believe in,Education,3.42,151,5,0,False,True,https://www.youtube.com/watch?v=fYFr1cTtNuk,UCkIssAHOI9AACnzDO_UatOg
TheSincereSeeker,2019-02-09 16:26:43.316310,35,2018-01-15 00:00:00.000000,0,11435,2018-07-22 00:00:00.000000,What is TheSincereSeeker? | Inspiring You To Connect With Your Creator |,Education,1.35,82,6,0,False,True,https://www.youtube.com/watch?v=qipcO195Qns,UCkIssAHOI9AACnzDO_UatOg
TheSincereSeeker,2019-02-09 16:26:43.316310,35,2018-01-15 00:00:00.000000,0,11435,2018-07-22 00:00:00.000000,Belief in God's Scriptures | Third Article of Faith in The Islamic Religion | Muslims Must Believe |,Education,4.78,55,6,0,False,True,https://www.youtube.com/watch?v=0-UX6Q-5jhI,UCkIssAHOI9AACnzDO_UatOg
TheSincereSeeker,2019-02-09 16:26:43.316310,35,2018-01-15 00:00:00.000000,0,11435,2018-07-16 00:00:00.000000,Belief in The Angels in Islam | Second Article of Faith In Islam Religion | Muslims Must Believe in,Education,8.17,410,12,1,False,True,https://www.youtube.com/watch?v=MHe9QIiLGGU,UCkIssAHOI9AACnzDO_UatOg
TheSincereSeeker,2019-02-09 16:26:43.316310,35,2018-01-15 00:00:00.000000,0,11435,2018-07-11 00:00:00.000000,First Article of Faith | Belief in The Oneness of God | Belief in Allah |,Education,4.78,179,9,0,False,True,https://www.youtube.com/watch?v=eKnIJqe8gc8,UCkIssAHOI9AACnzDO_UatOg
TheSincereSeeker,2019-02-09 16:26:43.316310,35,2018-01-15 00:00:00.000000,0,11435,2018-07-09 00:00:00.000000,What is Hadith? | What is Sunnah? | Why Do Muslims Emulate Prophet Muhammad? | Sunnah of The Prophet,Education,5.98,485,15,2,False,True,https://www.youtube.com/watch?v=wv4-6m4jtZI,UCkIssAHOI9AACnzDO_UatOg
TheSincereSeeker,2019-02-09 16:26:43.316310,35,2018-01-15 00:00:00.000000,0,11435,2018-07-09 00:00:00.000000,What Are The Articles of Faith in Islam | Which Every Believer Must Believe to Become Muslim |,Education,2.43,128,9,0,False,True,https://www.youtube.com/watch?v=foNaMDvYLPo,UCkIssAHOI9AACnzDO_UatOg
TheSincereSeeker,2019-02-09 16:26:43.316310,35,2018-01-15 00:00:00.000000,0,11435,2018-04-19 00:00:00.000000,What is The Purpose & Meaning of Life | Explained According to Islam and Quran | Why Was I Created?,Education,7.47,210,10,0,False,True,https://www.youtube.com/watch?v=6E6Vv5GgNDk,UCkIssAHOI9AACnzDO_UatOg
TheSincereSeeker,2019-02-09 16:26:43.316310,35,2018-01-15 00:00:00.000000,0,11435,2018-04-19 00:00:00.000000,Prophet Muhammad | God's Last & Final Prophet | Who Prophet Muhammad? What Message Did He Deliver?,Education,5.9,192,12,1,False,True,https://www.youtube.com/watch?v=Bs0Y4A4sO2c,UCkIssAHOI9AACnzDO_UatOg
TheSincereSeeker,2019-02-09 16:26:43.316310,35,2018-01-15 00:00:00.000000,0,11435,2018-04-19 00:00:00.000000,What is a Muslim? | What do Muslims Believe? | Who Do Muslims Worship? | Who Are Non-Muslims? |,Education,7.92,180,10,0,False,True,https://www.youtube.com/watch?v=tQLE3CgxzgI,UCkIssAHOI9AACnzDO_UatOg
TheSincereSeeker,2019-02-09 16:26:43.316310,35,2018-01-15 00:00:00.000000,0,11435,2018-04-19 00:00:00.000000,What Happened to The Previous Nations? | What Does the Quran Say about Nations That Lived Before Us?,Education,9.25,46,4,0,False,True,https://www.youtube.com/watch?v=WXn7yPH5eHQ,UCkIssAHOI9AACnzDO_UatOg
TheSincereSeeker,2019-02-09 16:26:43.316310,35,2018-01-15 00:00:00.000000,0,11435,2018-04-19 00:00:00.000000,Who Are God's Messengers and Prophets? | What Role Did They Have? | Prophets That Were Sent From God,Education,7.5,80,5,0,False,True,https://www.youtube.com/watch?v=sZ4XoHjFWv4,UCkIssAHOI9AACnzDO_UatOg
TheSincereSeeker,2019-02-09 16:26:43.316310,35,2018-01-15 00:00:00.000000,0,11435,2018-04-19 00:00:00.000000,What is The Holy Quran? | Is it God's Words? | What is God's Final Message to Mankind? | God's Book,Education,7.9,160,8,0,False,True,https://www.youtube.com/watch?v=ZPvjedyjBm4,UCkIssAHOI9AACnzDO_UatOg
TheSincereSeeker,2019-02-09 16:26:43.316310,35,2018-01-15 00:00:00.000000,0,11435,2018-04-19 00:00:00.000000,Who is Allah? | Who is God The Almighty? | Is the God of Islam The Same God Of Christians & Jews?,Education,6.27,146,9,0,False,True,https://www.youtube.com/watch?v=ovbWGALzpXc,UCkIssAHOI9AACnzDO_UatOg
TheSincereSeeker,2019-02-09 16:26:43.316310,35,2018-01-15 00:00:00.000000,0,11435,2018-04-19 00:00:00.000000,What is the Religion of Islam? | Who is Allah? | What is Quran? | Who is Prophet Muhammad? | Muslim?,Education,6.82,5952,42,3,False,True,https://www.youtube.com/watch?v=ACySalb0UP0,UCkIssAHOI9AACnzDO_UatOg
TheSincereSeeker,2019-02-09 16:26:43.316310,35,2018-01-15 00:00:00.000000,0,11435,2018-03-16 00:00:00.000000,What is the Purpose of Life & Why Are We Here?,Education,26.23,115,5,0,False,True,https://www.youtube.com/watch?v=k81GCekyYj8,UCkIssAHOI9AACnzDO_UatOg
TheSincereSeeker,2019-02-09 16:26:43.316310,35,2018-01-15 00:00:00.000000,0,11435,2018-02-28 00:00:00.000000,Who is Prophet Muhammad? | Who is The Last & Final Prophet of God?,Education,10.77,165,3,0,False,True,https://www.youtube.com/watch?v=hg_CKl8d8E0,UCkIssAHOI9AACnzDO_UatOg
TheSincereSeeker,2019-02-09 16:26:43.316310,35,2018-01-15 00:00:00.000000,0,11435,2018-02-25 00:00:00.000000,Who Were The Past Nations & What Happened to Them?,Education,23.6,67,5,0,False,True,https://www.youtube.com/watch?v=dNUirAA36p4,UCkIssAHOI9AACnzDO_UatOg
TheSincereSeeker,2019-02-09 16:26:43.316310,35,2018-01-15 00:00:00.000000,0,11435,2018-02-21 00:00:00.000000,Who Are The Prophets & Messengers of God?,Education,15.35,172,6,2,False,True,https://www.youtube.com/watch?v=ovJMLiIJD1Y,UCkIssAHOI9AACnzDO_UatOg
TheSincereSeeker,2019-02-09 16:26:43.316310,35,2018-01-15 00:00:00.000000,0,11435,2018-02-11 00:00:00.000000,What is The Holy Quran?,Education,17.8,109,5,1,False,True,https://www.youtube.com/watch?v=fuQAw5c50F8,UCkIssAHOI9AACnzDO_UatOg
TheSincereSeeker,2019-02-09 16:26:43.316310,35,2018-01-15 00:00:00.000000,0,11435,2018-02-05 00:00:00.000000,Who Are Muslims? What Do Muslims Believe?,Education,17.22,68,7,1,False,True,https://www.youtube.com/watch?v=YKl82WjEMH0,UCkIssAHOI9AACnzDO_UatOg
TheSincereSeeker,2019-02-09 16:26:43.316310,35,2018-01-15 00:00:00.000000,0,11435,2018-02-01 00:00:00.000000,Who is Allah (God)? Who Do Muslims Worship?,Education,16.57,1168,11,4,False,True,https://www.youtube.com/watch?v=G4dxcsYauBM,UCkIssAHOI9AACnzDO_UatOg
TheSincereSeeker,2019-02-09 16:26:43.316310,35,2018-01-15 00:00:00.000000,0,11435,2018-01-28 00:00:00.000000,What Do Muslims Believe in? | What is Islam?,Education,14.37,267,8,3,False,True,https://www.youtube.com/watch?v=pItDUVGQAcg,UCkIssAHOI9AACnzDO_UatOg
TheSincereSeeker,2019-02-09 16:26:43.316310,35,2018-01-15 00:00:00.000000,0,11435,2018-01-28 00:00:00.000000,Islamic Educational Animation Videos & Blog | TheSincereSeeker | Islam | God | The Holy Quran | 2018,Education,3.18,220,8,2,False,True,https://www.youtube.com/watch?v=vSmNIac0aT8,UCkIssAHOI9AACnzDO_UatOg
