ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
A Thousand Horses,2019-01-26 06:43:56.144062,51,2011-10-23 00:00:00.000000,36353,22750949,2017-07-22 00:00:00.000000,A Thousand Horses - EXCLUSIVE: Top Gun 2 Teaser,Music,0.88,628,9,0,False,True,https://www.youtube.com/watch?v=ATjwqpG-Kg8,UCkRTIm4k5MISqXx9NFF22lQ
A Thousand Horses,2019-01-26 06:43:56.144062,51,2011-10-23 00:00:00.000000,36353,22750949,2017-07-22 00:00:00.000000,A Thousand Horses - EXCLUSIVE: Top Gun 2 Teaser,Music,0.88,628,9,0,False,True,https://www.youtube.com/watch?v=ATjwqpG-Kg8,UCkRTIm4k5MISqXx9NFF22lQ
A Thousand Horses,2019-01-26 06:43:56.144062,51,2011-10-23 00:00:00.000000,36353,22750949,2017-06-14 00:00:00.000000,A Thousand Horses - CMA Fest 2017 Wrap Up,Music,1.17,141,4,0,False,True,https://www.youtube.com/watch?v=ObfdMv77Gk8,UCkRTIm4k5MISqXx9NFF22lQ
A Thousand Horses,2019-01-26 06:43:56.144062,51,2011-10-23 00:00:00.000000,36353,22750949,2017-06-08 00:00:00.000000,"A Thousand Horses - ""Bridges"" Release Party Bus with Fans",Music,2.15,1937,11,3,False,True,https://www.youtube.com/watch?v=Ts1zbTdfwdc,UCkRTIm4k5MISqXx9NFF22lQ
A Thousand Horses,2019-01-26 06:43:56.144062,51,2011-10-23 00:00:00.000000,36353,22750949,2017-06-08 00:00:00.000000,"A Thousand Horses - ""Bridges"" Release Party Bus with Fans",Music,2.15,1937,11,3,False,True,https://www.youtube.com/watch?v=Ts1zbTdfwdc,UCkRTIm4k5MISqXx9NFF22lQ
A Thousand Horses,2019-01-26 06:43:56.144062,51,2011-10-23 00:00:00.000000,36353,22750949,2017-03-23 00:00:00.000000,A Thousand Horses - Preachin' To The Choir Available Now!,Music,0.92,4043,26,2,False,True,https://www.youtube.com/watch?v=b-W29yP-TwY,UCkRTIm4k5MISqXx9NFF22lQ
A Thousand Horses,2019-01-26 06:43:56.144062,51,2011-10-23 00:00:00.000000,36353,22750949,2016-08-01 00:00:00.000000,A Thousand Horses - Bad jokes but great songs....CMA MUSIC FESTIVAL,Music,4.93,7812,42,4,False,True,https://www.youtube.com/watch?v=qD-tI2EV1yI,UCkRTIm4k5MISqXx9NFF22lQ
A Thousand Horses,2019-01-26 06:43:56.144062,51,2011-10-23 00:00:00.000000,36353,22750949,2015-12-08 00:00:00.000000,"A Thousand Horses - ""First Time""",Music,4.7,152950,923,27,False,True,https://www.youtube.com/watch?v=AaTx4oPjVD8,UCkRTIm4k5MISqXx9NFF22lQ
A Thousand Horses,2019-01-26 06:43:56.144062,51,2011-10-23 00:00:00.000000,36353,22750949,2015-10-08 00:00:00.000000,A Thousand Horses Describe Zach in One Word,Music,0.25,571,3,0,False,True,https://www.youtube.com/watch?v=Q0e_uD0Esms,UCkRTIm4k5MISqXx9NFF22lQ
A Thousand Horses,2019-01-26 06:43:56.144062,51,2011-10-23 00:00:00.000000,36353,22750949,2015-10-08 00:00:00.000000,A Thousand Horses Describe Zach in One Word,Music,0.25,571,3,0,False,True,https://www.youtube.com/watch?v=Q0e_uD0Esms,UCkRTIm4k5MISqXx9NFF22lQ
