ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
Mark Shead,2019-01-14 22:33:53.083734,18,2011-02-15 00:00:00.000000,8770,1292402,2018-11-25 00:00:00.000000,What is Behavior Driven Development? (What is BDD?) In 4 minutes.,Science & Technology,4.27,446,19,0,False,True,https://www.youtube.com/watch?v=3_sIQEkkoko,UCkcSqKNo_replaced__hBeknZEhsIRng
Mark Shead,2019-01-14 22:33:53.083734,18,2011-02-15 00:00:00.000000,8770,1292402,2018-10-23 00:00:00.000000,What is DevOps? (in 2 minutes),Science & Technology,2.42,710,30,0,False,True,https://www.youtube.com/watch?v=n7kvcM40iaI,UCkcSqKNo_replaced__hBeknZEhsIRng
Mark Shead,2019-01-14 22:33:53.083734,18,2011-02-15 00:00:00.000000,8770,1292402,2018-10-02 00:00:00.000000,What is Agile Development Methodology? (hint Agile isn't a methodology),Science & Technology,3.87,1784,91,2,False,True,https://www.youtube.com/watch?v=KLARQSoNAlc,UCkcSqKNo_replaced__hBeknZEhsIRng
Mark Shead,2019-01-14 22:33:53.083734,18,2011-02-15 00:00:00.000000,8770,1292402,2018-08-22 00:00:00.000000,What is Agile Methodology?,Science & Technology,4.65,27921,784,24,False,True,https://www.youtube.com/watch?v=ZZ_vnqvW4DQ,UCkcSqKNo_replaced__hBeknZEhsIRng
Mark Shead,2019-01-14 22:33:53.083734,18,2011-02-15 00:00:00.000000,8770,1292402,2018-08-07 00:00:00.000000,Regular Demos - Creating Agile Software,Science & Technology,6.57,2066,110,0,False,True,https://www.youtube.com/watch?v=Njxek3s3Shs,UCkcSqKNo_replaced__hBeknZEhsIRng
Mark Shead,2019-01-14 22:33:53.083734,18,2011-02-15 00:00:00.000000,8770,1292402,2018-05-30 00:00:00.000000,Talk To Users - Agile Principle of Face-to-face Communication,Howto & Style,4.35,2151,134,3,False,True,https://www.youtube.com/watch?v=9WqjReqxAA8,UCkcSqKNo_replaced__hBeknZEhsIRng
Mark Shead,2019-01-14 22:33:53.083734,18,2011-02-15 00:00:00.000000,8770,1292402,2018-04-13 00:00:00.000000,Standup Meetings - What's the Goal in Agile Teams?,Howto & Style,3.87,4322,114,3,False,True,https://www.youtube.com/watch?v=Vf3lUqAKCBs,UCkcSqKNo_replaced__hBeknZEhsIRng
Mark Shead,2019-01-14 22:33:53.083734,18,2011-02-15 00:00:00.000000,8770,1292402,2018-02-26 00:00:00.000000,Why Have A Daily Standup - Agile Practices,Howto & Style,4.0,11929,240,7,False,True,https://www.youtube.com/watch?v=YHMw3CL5cXE,UCkcSqKNo_replaced__hBeknZEhsIRng
Mark Shead,2019-01-14 22:33:53.083734,18,2011-02-15 00:00:00.000000,8770,1292402,2018-01-27 00:00:00.000000,How To Memorize Verbatim Text,Howto & Style,6.07,5727,179,10,False,True,https://www.youtube.com/watch?v=thLg86SzSvE,UCkcSqKNo_replaced__hBeknZEhsIRng
Mark Shead,2019-01-14 22:33:53.083734,18,2011-02-15 00:00:00.000000,8770,1292402,2017-09-05 00:00:00.000000,Why You Aren't Wildly Successful,Howto & Style,5.4,1955,91,2,False,True,https://www.youtube.com/watch?v=mPTfO8U3kCs,UCkcSqKNo_replaced__hBeknZEhsIRng
