ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
Elvis Ceasario,2019-01-29 04:32:25.289889,14,2014-03-18 00:00:00.000000,6,10095,2014-05-04 00:00:00.000000,The Devils track12,People & Blogs,1.02,326,2,1,False,True,https://www.youtube.com/watch?v=D731rYEkx1Y,UCkofWA0d_replaced_qWr3I5rXqP24YA
Elvis Ceasario,2019-01-29 04:32:25.289889,14,2014-03-18 00:00:00.000000,6,10095,2014-05-04 00:00:00.000000,The Devils track11,People & Blogs,2.63,767,5,0,False,True,https://www.youtube.com/watch?v=jbhNTmgwtvc,UCkofWA0d_replaced_qWr3I5rXqP24YA
Elvis Ceasario,2019-01-29 04:32:25.289889,14,2014-03-18 00:00:00.000000,6,10095,2014-05-04 00:00:00.000000,The Devils track10,People & Blogs,3.18,285,0,0,False,True,https://www.youtube.com/watch?v=Qxn4lqTCIlw,UCkofWA0d_replaced_qWr3I5rXqP24YA
Elvis Ceasario,2019-01-29 04:32:25.289889,14,2014-03-18 00:00:00.000000,6,10095,2014-05-04 00:00:00.000000,The Devils track9,People & Blogs,2.22,548,0,0,False,True,https://www.youtube.com/watch?v=GcRklgoWPII,UCkofWA0d_replaced_qWr3I5rXqP24YA
Elvis Ceasario,2019-01-29 04:32:25.289889,14,2014-03-18 00:00:00.000000,6,10095,2014-05-04 00:00:00.000000,The Devils track8,People & Blogs,3.03,2345,9,0,False,True,https://www.youtube.com/watch?v=Hf3LALhBIfU,UCkofWA0d_replaced_qWr3I5rXqP24YA
Elvis Ceasario,2019-01-29 04:32:25.289889,14,2014-03-18 00:00:00.000000,6,10095,2014-05-04 00:00:00.000000,The Devils track7,People & Blogs,3.27,670,4,0,False,True,https://www.youtube.com/watch?v=0ZJyAAsAFxQ,UCkofWA0d_replaced_qWr3I5rXqP24YA
Elvis Ceasario,2019-01-29 04:32:25.289889,14,2014-03-18 00:00:00.000000,6,10095,2014-05-04 00:00:00.000000,Sandra Reemer track2,People & Blogs,3.08,327,2,0,False,True,https://www.youtube.com/watch?v=uo-_HR9ESh4,UCkofWA0d_replaced_qWr3I5rXqP24YA
Elvis Ceasario,2019-01-29 04:32:25.289889,14,2014-03-18 00:00:00.000000,6,10095,2014-05-04 00:00:00.000000,Sandra Reemer track1,People & Blogs,2.17,558,3,0,False,True,https://www.youtube.com/watch?v=oRSrBnsMwBQ,UCkofWA0d_replaced_qWr3I5rXqP24YA
Elvis Ceasario,2019-01-29 04:32:25.289889,14,2014-03-18 00:00:00.000000,6,10095,2014-05-04 00:00:00.000000,The Cosmo Beat track5,People & Blogs,3.65,679,2,0,False,True,https://www.youtube.com/watch?v=opXvJ7uKaPY,UCkofWA0d_replaced_qWr3I5rXqP24YA
Elvis Ceasario,2019-01-29 04:32:25.289889,14,2014-03-18 00:00:00.000000,6,10095,2014-05-04 00:00:00.000000,The Cosmo Beat track1,People & Blogs,2.3,1499,3,0,False,True,https://www.youtube.com/watch?v=XpFTYLyu18Y,UCkofWA0d_replaced_qWr3I5rXqP24YA
Elvis Ceasario,2019-01-29 04:32:25.289889,14,2014-03-18 00:00:00.000000,6,10095,2014-05-04 00:00:00.000000,The Cosmo Beat track6,People & Blogs,0.7,393,0,0,False,True,https://www.youtube.com/watch?v=-pwmcVMtiOg,UCkofWA0d_replaced_qWr3I5rXqP24YA
Elvis Ceasario,2019-01-29 04:32:25.289889,14,2014-03-18 00:00:00.000000,6,10095,2014-05-04 00:00:00.000000,The Cosmo Beat track4,People & Blogs,4.13,1260,5,0,False,True,https://www.youtube.com/watch?v=kkVualu9Qy8,UCkofWA0d_replaced_qWr3I5rXqP24YA
Elvis Ceasario,2019-01-29 04:32:25.289889,14,2014-03-18 00:00:00.000000,6,10095,2014-05-04 00:00:00.000000,The Cosmo Beat track3,People & Blogs,3.9,213,0,0,False,True,https://www.youtube.com/watch?v=hyTkbyJmtSQ,UCkofWA0d_replaced_qWr3I5rXqP24YA
Elvis Ceasario,2019-01-29 04:32:25.289889,14,2014-03-18 00:00:00.000000,6,10095,2014-05-04 00:00:00.000000,The Cosmo Beat track2,People & Blogs,3.72,209,1,0,False,True,https://www.youtube.com/watch?v=FWYHqlxYnJ4,UCkofWA0d_replaced_qWr3I5rXqP24YA
