ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
Ron Pratt,2019-01-21 21:40:37.904184,283,2011-06-11 00:00:00.000000,181466,35373276,2019-01-15 00:00:00.000000,Twisted Lift!!!!  Aftermath!!!!,Autos & Vehicles,32.43,55971,2560,30,False,True,https://www.youtube.com/watch?v=AKUvtK1aG9o,UClVu_replaced_pg8gavvoT8yL8M60vg
Ron Pratt,2019-01-21 21:40:37.904184,283,2011-06-11 00:00:00.000000,181466,35373276,2019-01-11 00:00:00.000000,Twisted Truck!!!  Driver Walks Away from Major Crash!!!,Autos & Vehicles,100.65,122205,5519,59,False,True,https://www.youtube.com/watch?v=n7Spn1X3wkE,UClVu_replaced_pg8gavvoT8yL8M60vg
Ron Pratt,2019-01-21 21:40:37.904184,283,2011-06-11 00:00:00.000000,181466,35373276,2019-01-04 00:00:00.000000,GPS FAIL!!!!   Let's Go Down To The River,Autos & Vehicles,48.95,165473,5362,95,False,True,https://www.youtube.com/watch?v=6kGQPN0CGZA,UClVu_replaced_pg8gavvoT8yL8M60vg
Ron Pratt,2019-01-21 21:40:37.904184,283,2011-06-11 00:00:00.000000,181466,35373276,2018-12-31 00:00:00.000000,"2018 Crash Collection    Highlights, Lessons Learned & a Look Ahead",Autos & Vehicles,48.98,56592,2977,48,False,True,https://www.youtube.com/watch?v=shsPHjvN59U,UClVu_replaced_pg8gavvoT8yL8M60vg
Ron Pratt,2019-01-21 21:40:37.904184,283,2011-06-11 00:00:00.000000,181466,35373276,2018-12-28 00:00:00.000000,Team Work Makes the Dream Work   Rotator & Crane Cooperation,Autos & Vehicles,67.82,110547,3923,71,False,True,https://www.youtube.com/watch?v=0ommaZLZ72A,UClVu_replaced_pg8gavvoT8yL8M60vg
Ron Pratt,2019-01-21 21:40:37.904184,283,2011-06-11 00:00:00.000000,181466,35373276,2018-12-24 00:00:00.000000,2018 Christmas Message,Autos & Vehicles,14.32,48632,3562,32,False,True,https://www.youtube.com/watch?v=JU-r9kL0XLg,UClVu_replaced_pg8gavvoT8yL8M60vg
Ron Pratt,2019-01-21 21:40:37.904184,283,2011-06-11 00:00:00.000000,181466,35373276,2018-12-21 00:00:00.000000,JACK KNIFE IN THE SNOW!!!  ONE MAN SHOW!!!,Autos & Vehicles,45.48,87609,3894,60,False,True,https://www.youtube.com/watch?v=U6OU6iNAMgg,UClVu_replaced_pg8gavvoT8yL8M60vg
Ron Pratt,2019-01-21 21:40:37.904184,283,2011-06-11 00:00:00.000000,181466,35373276,2018-12-14 00:00:00.000000,2018 Winter's 1st Victim,Autos & Vehicles,31.65,103879,4349,44,False,True,https://www.youtube.com/watch?v=nyFx8OAS5WI,UClVu_replaced_pg8gavvoT8yL8M60vg
Ron Pratt,2019-01-21 21:40:37.904184,283,2011-06-11 00:00:00.000000,181466,35373276,2018-12-07 00:00:00.000000,DRIVING FAIL!!!!!!!!  ROLLOVER BOX VAN,Autos & Vehicles,31.32,110891,3976,72,False,True,https://www.youtube.com/watch?v=16QWVzGBBjA,UClVu_replaced_pg8gavvoT8yL8M60vg
Ron Pratt,2019-01-21 21:40:37.904184,283,2011-06-11 00:00:00.000000,181466,35373276,2018-11-30 00:00:00.000000,Rogue Tator   Fishing In The Woods,Autos & Vehicles,31.82,98047,3997,61,False,True,https://www.youtube.com/watch?v=oS1E7vm_GUA,UClVu_replaced_pg8gavvoT8yL8M60vg
Ron Pratt,2019-01-21 21:40:37.904184,283,2011-06-11 00:00:00.000000,181466,35373276,2018-11-23 00:00:00.000000,DOLLY LEG FAIL!!!  Tired Trailer Rollover!!!,Autos & Vehicles,61.65,129341,4058,96,False,True,https://www.youtube.com/watch?v=GTgXdJJKvQE,UClVu_replaced_pg8gavvoT8yL8M60vg
Ron Pratt,2019-01-21 21:40:37.904184,283,2011-06-11 00:00:00.000000,181466,35373276,2018-11-22 00:00:00.000000,Our Wedding Vow Renewal  YouTube Edit,Autos & Vehicles,18.77,24237,2324,57,False,True,https://www.youtube.com/watch?v=FziE1y1dsGg,UClVu_replaced_pg8gavvoT8yL8M60vg
Ron Pratt,2019-01-21 21:40:37.904184,283,2011-06-11 00:00:00.000000,181466,35373276,2018-11-16 00:00:00.000000,Dumping Trash Tator Style!!!,Autos & Vehicles,68.32,199057,4171,131,False,True,https://www.youtube.com/watch?v=HHnn9SzbQQI,UClVu_replaced_pg8gavvoT8yL8M60vg
Ron Pratt,2019-01-21 21:40:37.904184,283,2011-06-11 00:00:00.000000,181466,35373276,2018-11-10 00:00:00.000000,ROLLOVER!!!  Trash Crash  Dangerous Recovery,Autos & Vehicles,61.53,74579,2249,72,False,True,https://www.youtube.com/watch?v=yv4uphB1CrA,UClVu_replaced_pg8gavvoT8yL8M60vg
