ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
Jinx ASMR,2019-01-09 04:39:14.656135,21,2016-07-03 00:00:00.000000,70689,3523536,2019-01-08 00:00:00.000000,"ASMR | 50 Facts About Me (Whispering, Paper Sounds, Mouth Sounds)",Entertainment,24.98,16728,2045,47,False,True,https://www.youtube.com/watch?v=Byn4HOKC3Ek,UCnR2VoUqv9OF2oW4OmGZMzg
Jinx ASMR,2019-01-09 04:39:14.656135,21,2016-07-03 00:00:00.000000,70689,3523536,2019-01-06 00:00:00.000000,ASMR | Juvia Takes Care of You (Injured Gray -sama) Fairy Tail,Entertainment,12.32,57759,2946,76,False,True,https://www.youtube.com/watch?v=9Z82RBJ17HA,UCnR2VoUqv9OF2oW4OmGZMzg
Jinx ASMR,2019-01-09 04:39:14.656135,21,2016-07-03 00:00:00.000000,70689,3523536,2018-12-31 00:00:00.000000,ASMR | 100 TRIGGERS in 10 MINUTES,Entertainment,10.03,308473,8032,436,False,True,https://www.youtube.com/watch?v=KZT8Qab9g_0,UCnR2VoUqv9OF2oW4OmGZMzg
Jinx ASMR,2019-01-09 04:39:14.656135,21,2016-07-03 00:00:00.000000,70689,3523536,2018-12-27 00:00:00.000000,ASMR | Reading And Responding To My Instagram DMs (WHISPERING 20 + MINUTES),Entertainment,22.13,274148,6976,357,False,True,https://www.youtube.com/watch?v=AzDAVSlKkls,UCnR2VoUqv9OF2oW4OmGZMzg
Jinx ASMR,2019-01-09 04:39:14.656135,21,2016-07-03 00:00:00.000000,70689,3523536,2018-12-23 00:00:00.000000,"ASMR | Kissing and Mouth Sounds To Help You Fall Asleep (Mouth Sounds, Kissing Sounds, Whispering)",Entertainment,15.98,670192,16070,1089,False,True,https://www.youtube.com/watch?v=OlhPhF4jZWE,UCnR2VoUqv9OF2oW4OmGZMzg
Jinx ASMR,2019-01-09 04:39:14.656135,21,2016-07-03 00:00:00.000000,70689,3523536,2018-12-21 00:00:00.000000,ASMR | 10 Triggers To Help You Fall Asleep,Entertainment,26.8,249925,6154,276,False,True,https://www.youtube.com/watch?v=rH7h-tygKjY,UCnR2VoUqv9OF2oW4OmGZMzg
Jinx ASMR,2019-01-09 04:39:14.656135,21,2016-07-03 00:00:00.000000,70689,3523536,2018-12-19 00:00:00.000000,ASMR | Mira Welcomes You to Fairy Tail !,Entertainment,15.92,142907,4349,241,False,True,https://www.youtube.com/watch?v=nXeElPbXcS0,UCnR2VoUqv9OF2oW4OmGZMzg
Jinx ASMR,2019-01-09 04:39:14.656135,21,2016-07-03 00:00:00.000000,70689,3523536,2018-12-15 00:00:00.000000,"ASMR | 20,000 Sub Q & A",Entertainment,19.17,230407,6423,275,False,True,https://www.youtube.com/watch?v=0_seilj182Q,UCnR2VoUqv9OF2oW4OmGZMzg
Jinx ASMR,2019-01-09 04:39:14.656135,21,2016-07-03 00:00:00.000000,70689,3523536,2018-12-10 00:00:00.000000,ASMR | Sound Assortment Christmas Tingles For You To Relax ( + Q & A Request),Entertainment,15.6,242712,5737,198,False,True,https://www.youtube.com/watch?v=3k9e5MCK9Zo,UCnR2VoUqv9OF2oW4OmGZMzg
Jinx ASMR,2019-01-09 04:39:14.656135,21,2016-07-03 00:00:00.000000,70689,3523536,2018-12-07 00:00:00.000000,"ASMR | Trigger Words To Help You Sleep (Stipple, Sk, Tingle, etc.)",Entertainment,12.7,732496,15100,1233,False,True,https://www.youtube.com/watch?v=96v0hoT4jkM,UCnR2VoUqv9OF2oW4OmGZMzg
Jinx ASMR,2019-01-09 04:39:14.656135,21,2016-07-03 00:00:00.000000,70689,3523536,2018-12-05 00:00:00.000000,"ASMR | Video Game Controller Sounds For You To Relax (Tapping, Mouth Sounds, Whispering)",Entertainment,13.63,106983,2809,59,False,True,https://www.youtube.com/watch?v=SRCrh1lYwzE,UCnR2VoUqv9OF2oW4OmGZMzg
Jinx ASMR,2019-01-09 04:39:14.656135,21,2016-07-03 00:00:00.000000,70689,3523536,2018-12-03 00:00:00.000000,"ASMR | Whipped Cream Mouth Sounds For You To Relax (Whispering, Whipped Cream, Mouth Sounds)",Entertainment,11.02,115823,2725,92,False,True,https://www.youtube.com/watch?v=ddb8X7SZ2qc,UCnR2VoUqv9OF2oW4OmGZMzg
Jinx ASMR,2019-01-09 04:39:14.656135,21,2016-07-03 00:00:00.000000,70689,3523536,2018-12-01 00:00:00.000000,"ASMR | Kisses For You To Help You Sleep (Mouth Sounds, Kissing Sounds, Whispering)",Entertainment,11.05,180722,4597,128,False,True,https://www.youtube.com/watch?v=gtDompFbqPY,UCnR2VoUqv9OF2oW4OmGZMzg
Jinx ASMR,2019-01-09 04:39:14.656135,21,2016-07-03 00:00:00.000000,70689,3523536,2018-11-28 00:00:00.000000,ASMR | BRUSHING YOU TO SLEEP 💤 (Mic Brushing And Tapping),Entertainment,20.17,62950,1393,27,False,True,https://www.youtube.com/watch?v=TD6UJtHs-r8,UCnR2VoUqv9OF2oW4OmGZMzg
Jinx ASMR,2019-01-09 04:39:14.656135,21,2016-07-03 00:00:00.000000,70689,3523536,2018-11-26 00:00:00.000000,ASMR PAPER RIPPING/TEARING,Entertainment,13.08,24535,564,12,False,True,https://www.youtube.com/watch?v=UuMF1fBBmss,UCnR2VoUqv9OF2oW4OmGZMzg
Jinx ASMR,2019-01-09 04:39:14.656135,21,2016-07-03 00:00:00.000000,70689,3523536,2018-11-05 00:00:00.000000,"ASMR Sound Assortment (Liquid Shaking, Tapping, Whispers)",Entertainment,14.82,24437,456,10,False,True,https://www.youtube.com/watch?v=XUIjgyw0-uE,UCnR2VoUqv9OF2oW4OmGZMzg
Jinx ASMR,2019-01-09 04:39:14.656135,21,2016-07-03 00:00:00.000000,70689,3523536,2018-10-18 00:00:00.000000,WHISPERING TRIGGER WORDS | ASMR,Entertainment,11.47,18272,390,11,False,True,https://www.youtube.com/watch?v=uSG-jWgqWzY,UCnR2VoUqv9OF2oW4OmGZMzg
Jinx ASMR,2019-01-09 04:39:14.656135,21,2016-07-03 00:00:00.000000,70689,3523536,2018-09-27 00:00:00.000000,ASMR Video Game Tapping and Whispering (Aggressive Tapping),Entertainment,15.57,13798,304,7,False,True,https://www.youtube.com/watch?v=PoaXBryDqQE,UCnR2VoUqv9OF2oW4OmGZMzg
Jinx ASMR,2019-01-09 04:39:14.656135,21,2016-07-03 00:00:00.000000,70689,3523536,2018-09-20 00:00:00.000000,ASMR HAND MOVEMENTS AND LIGHT TRIGGERS (No Talking),Entertainment,11.27,14050,248,12,False,True,https://www.youtube.com/watch?v=aFLkMN48VZg,UCnR2VoUqv9OF2oW4OmGZMzg
Jinx ASMR,2019-01-09 04:39:14.656135,21,2016-07-03 00:00:00.000000,70689,3523536,2018-09-18 00:00:00.000000,ASMR LIPGLOSS APPLICATION (MOUTH SOUNDS),Entertainment,15.9,29119,531,18,False,True,https://www.youtube.com/watch?v=LqSsTphe95I,UCnR2VoUqv9OF2oW4OmGZMzg
Jinx ASMR,2019-01-09 04:39:14.656135,21,2016-07-03 00:00:00.000000,70689,3523536,2018-09-07 00:00:00.000000,ASMR in Target,Entertainment,6.72,13956,500,5,False,True,https://www.youtube.com/watch?v=3uh9m9ZIvMA,UCnR2VoUqv9OF2oW4OmGZMzg
