ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
Ada,2019-01-28 05:15:24.486373,23,2013-07-20 00:00:00.000000,325388,90957783,2018-10-18 00:00:00.000000,Ada - On My Matter (The Official Video),Music,3.72,537738,10671,304,False,True,https://www.youtube.com/watch?v=Z-aI2Xa33WE,UCpM0LdoSSvRgW_replaced_AqBTOhKow
Ada,2019-01-28 05:15:24.486373,23,2013-07-20 00:00:00.000000,325388,90957783,2018-08-13 00:00:00.000000,ADA - Live in The Future Now Concert MaryLand USA,Music,1.0,66630,721,56,False,True,https://www.youtube.com/watch?v=izYyKuXaqrc,UCpM0LdoSSvRgW_replaced_AqBTOhKow
Ada,2019-01-28 05:15:24.486373,23,2013-07-20 00:00:00.000000,325388,90957783,2018-08-11 00:00:00.000000,Ada - Live in The Future Now Concert London,Music,1.0,36009,507,43,False,True,https://www.youtube.com/watch?v=B0soGYgnsuM,UCpM0LdoSSvRgW_replaced_AqBTOhKow
Ada,2019-01-28 05:15:24.486373,23,2013-07-20 00:00:00.000000,325388,90957783,2018-08-05 00:00:00.000000,ADA - live at The African Praise Experience 2018,Music,15.53,188577,2670,121,False,True,https://www.youtube.com/watch?v=FmQJ8mt3XcI,UCpM0LdoSSvRgW_replaced_AqBTOhKow
Ada,2019-01-28 05:15:24.486373,23,2013-07-20 00:00:00.000000,325388,90957783,2018-03-12 00:00:00.000000,Ada - Cheta | The Official Video,Music,4.8,4827172,20276,1290,False,True,https://www.youtube.com/watch?v=aWrYrinRNl0,UCpM0LdoSSvRgW_replaced_AqBTOhKow
Ada,2019-01-28 05:15:24.486373,23,2013-07-20 00:00:00.000000,325388,90957783,2018-03-08 00:00:00.000000,ADA - Live in the  FUTURE NOW CONCERT ZAMBIA,Music,1.02,40110,650,42,False,True,https://www.youtube.com/watch?v=Vm-jUr7vtaU,UCpM0LdoSSvRgW_replaced_AqBTOhKow
Ada,2019-01-28 05:15:24.486373,23,2013-07-20 00:00:00.000000,325388,90957783,2018-03-03 00:00:00.000000,Ada - Live in the Future Now Concert Johannesburg South Africa,Music,1.02,27791,592,60,False,True,https://www.youtube.com/watch?v=HhogaeLEYK0,UCpM0LdoSSvRgW_replaced_AqBTOhKow
Ada,2019-01-28 05:15:24.486373,23,2013-07-20 00:00:00.000000,325388,90957783,2018-01-26 00:00:00.000000,ADA - Cheta | The Movie,Music,9.93,941831,13482,477,False,True,https://www.youtube.com/watch?v=s2zY-XxlPdQ,UCpM0LdoSSvRgW_replaced_AqBTOhKow
Ada,2019-01-28 05:15:24.486373,23,2013-07-20 00:00:00.000000,325388,90957783,2017-12-22 00:00:00.000000,Ada - In Your Name (Audio) Future Now Album,Music,5.52,557428,4041,215,False,True,https://www.youtube.com/watch?v=9_OKkQSwvNU,UCpM0LdoSSvRgW_replaced_AqBTOhKow
Ada,2019-01-28 05:15:24.486373,23,2013-07-20 00:00:00.000000,325388,90957783,2017-11-09 00:00:00.000000,Ada - The Victory Song (Audio) - Future Now album,Music,5.13,100583,1126,70,False,True,https://www.youtube.com/watch?v=SVx35ENmYzw,UCpM0LdoSSvRgW_replaced_AqBTOhKow
Ada,2019-01-28 05:15:24.486373,23,2013-07-20 00:00:00.000000,325388,90957783,2017-11-08 00:00:00.000000,ADA - He'll Do it Again (Audio) - Future Now album,Music,4.4,129747,1546,59,False,True,https://www.youtube.com/watch?v=dWC-EIuiNxM,UCpM0LdoSSvRgW_replaced_AqBTOhKow
Ada,2019-01-28 05:15:24.486373,23,2013-07-20 00:00:00.000000,325388,90957783,2017-11-05 00:00:00.000000,Ada - I Will Sing  (Audio) - Future Now Album,Music,4.87,176104,2088,73,False,True,https://www.youtube.com/watch?v=4Rj6C32EoH0,UCpM0LdoSSvRgW_replaced_AqBTOhKow
Ada,2019-01-28 05:15:24.486373,23,2013-07-20 00:00:00.000000,325388,90957783,2017-10-25 00:00:00.000000,Ada - Future Now | Part 1 (The Message),Music,9.25,122534,1837,58,False,True,https://www.youtube.com/watch?v=sVckihHxKVU,UCpM0LdoSSvRgW_replaced_AqBTOhKow
