ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
Tello Mobile,2019-01-11 15:57:25.821022,22,2015-09-28 00:00:00.000000,1946,4374681,2019-01-10 00:00:00.000000,Double Data for the next 6 Months,People & Blogs,0.22,2616,3,0,False,True,https://www.youtube.com/watch?v=fYT0Zn3Tk30,UCpm3XByuH_SnEWU8v3ACKxQ
Tello Mobile,2019-01-11 15:57:25.821022,22,2015-09-28 00:00:00.000000,1946,4374681,2018-10-01 00:00:00.000000,Tello Mobile | $19 Phone Plan,People & Blogs,0.12,297,2,1,False,True,https://www.youtube.com/watch?v=8UfW93msJJg,UCpm3XByuH_SnEWU8v3ACKxQ
Tello Mobile,2019-01-11 15:57:25.821022,22,2015-09-28 00:00:00.000000,1946,4374681,2018-09-19 00:00:00.000000,Tello Mobile | Value Plan,People & Blogs,0.12,513,4,0,False,True,https://www.youtube.com/watch?v=113vnWiqBeE,UCpm3XByuH_SnEWU8v3ACKxQ
Tello Mobile,2019-01-11 15:57:25.821022,22,2015-09-28 00:00:00.000000,1946,4374681,2018-06-18 00:00:00.000000,Introducing Tello's Referral Program | Tello Mobile,People & Blogs,0.28,179641,8,2,False,True,https://www.youtube.com/watch?v=3C0jeRNLXjw,UCpm3XByuH_SnEWU8v3ACKxQ
Tello Mobile,2019-01-11 15:57:25.821022,22,2015-09-28 00:00:00.000000,1946,4374681,2018-05-03 00:00:00.000000,Two is Better than One | 50% OFF for the first 2 months,People & Blogs,0.33,5725,7,6,False,True,https://www.youtube.com/watch?v=vuTF09PXK_o,UCpm3XByuH_SnEWU8v3ACKxQ
Tello Mobile,2019-01-11 15:57:25.821022,22,2015-09-28 00:00:00.000000,1946,4374681,2018-05-03 00:00:00.000000,Join Tello’s Second Birthday! Offers & giveaways are on us,People & Blogs,0.33,12270,6,5,False,True,https://www.youtube.com/watch?v=aUw1WRSZg6U,UCpm3XByuH_SnEWU8v3ACKxQ
Tello Mobile,2019-01-11 15:57:25.821022,22,2015-09-28 00:00:00.000000,1946,4374681,2018-03-13 00:00:00.000000,Introducing a new phone plan: Unlimited mins & text + 4 GB=$29/mo.,People & Blogs,0.18,1188085,51,32,False,True,https://www.youtube.com/watch?v=kykpBW9wHo0,UCpm3XByuH_SnEWU8v3ACKxQ
Tello Mobile,2019-01-11 15:57:25.821022,22,2015-09-28 00:00:00.000000,1946,4374681,2018-03-13 00:00:00.000000,Unlimited Mins & Text + 2GB = $19/mo.,People & Blogs,0.18,446551,78,50,False,True,https://www.youtube.com/watch?v=LV6olNwN_hg,UCpm3XByuH_SnEWU8v3ACKxQ
Tello Mobile,2019-01-11 15:57:25.821022,22,2015-09-28 00:00:00.000000,1946,4374681,2018-03-13 00:00:00.000000,Unlimited Mins & Text + 1GB = $14/mo.,People & Blogs,0.18,693582,90,53,False,True,https://www.youtube.com/watch?v=13pLP7IDX3g,UCpm3XByuH_SnEWU8v3ACKxQ
Tello Mobile,2019-01-11 15:57:25.821022,22,2015-09-28 00:00:00.000000,1946,4374681,2018-03-06 00:00:00.000000,Introducing the New Tello Prices | Tello Mobile,People & Blogs,0.18,137674,54,52,False,True,https://www.youtube.com/watch?v=_7cxNdL9DJE,UCpm3XByuH_SnEWU8v3ACKxQ
