ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
UV Fastlane,2019-01-07 05:47:14.526872,13,2017-02-06 00:00:00.000000,0,51288,2018-07-19 00:00:00.000000,UV Fastlane Instant Primer Curing #1 with Testimonial,People & Blogs,3.28,161,0,0,False,True,https://www.youtube.com/watch?v=Qb3l_LhQ6Jo,UCsWfvFmFF5q_V6q4S9_Ay4A
UV Fastlane,2019-01-07 05:47:14.526872,13,2017-02-06 00:00:00.000000,0,51288,2018-05-24 00:00:00.000000,Spray - Cure - Sand - Done,People & Blogs,0.42,92,0,0,False,True,https://www.youtube.com/watch?v=yeATGeDpE7s,UCsWfvFmFF5q_V6q4S9_Ay4A
UV Fastlane,2019-01-07 05:47:14.526872,13,2017-02-06 00:00:00.000000,0,51288,2018-05-24 00:00:00.000000,UV Fastlane 2K Cart Basic Operation,People & Blogs,4.32,128,0,0,False,True,https://www.youtube.com/watch?v=1e9WdDHBfOY,UCsWfvFmFF5q_V6q4S9_Ay4A
UV Fastlane,2019-01-07 05:47:14.526872,13,2017-02-06 00:00:00.000000,0,51288,2018-05-24 00:00:00.000000,UV Fastlane Instant Primer Curing #1,People & Blogs,0.77,48740,76,40,False,True,https://www.youtube.com/watch?v=RVH6eN5V1w8,UCsWfvFmFF5q_V6q4S9_Ay4A
UV Fastlane,2019-01-07 05:47:14.526872,13,2017-02-06 00:00:00.000000,0,51288,2018-05-24 00:00:00.000000,UV Fastlane Instant Primer Curing #2,People & Blogs,0.98,839,0,1,False,True,https://www.youtube.com/watch?v=Vvov_4xlKPY,UCsWfvFmFF5q_V6q4S9_Ay4A
UV Fastlane,2019-01-07 05:47:14.526872,13,2017-02-06 00:00:00.000000,0,51288,2018-05-24 00:00:00.000000,UV Fastlane Instant Primer Curing #3,People & Blogs,1.03,438,1,0,False,True,https://www.youtube.com/watch?v=zKFTCdO97Mc,UCsWfvFmFF5q_V6q4S9_Ay4A
UV Fastlane,2019-01-07 05:47:14.526872,13,2017-02-06 00:00:00.000000,0,51288,2018-03-12 00:00:00.000000,Learning to Cure UV Primer with the UV Visualizer,People & Blogs,2.48,73,0,0,False,True,https://www.youtube.com/watch?v=6toOldvvj2E,UCsWfvFmFF5q_V6q4S9_Ay4A
UV Fastlane,2019-01-07 05:47:14.526872,13,2017-02-06 00:00:00.000000,0,51288,2018-03-12 00:00:00.000000,Changing the Filters on the Handheld Irradiator for the UVFastlane 2K Cart,People & Blogs,0.87,9,0,0,False,True,https://www.youtube.com/watch?v=85zhpEN2nBQ,UCsWfvFmFF5q_V6q4S9_Ay4A
UV Fastlane,2019-01-07 05:47:14.526872,13,2017-02-06 00:00:00.000000,0,51288,2018-03-12 00:00:00.000000,Changing the Filter Media on the Handheld Irradiator for the UVFastlane 2K Cart,People & Blogs,0.83,5,0,0,False,True,https://www.youtube.com/watch?v=Jqj_lxiiJYU,UCsWfvFmFF5q_V6q4S9_Ay4A
UV Fastlane,2019-01-07 05:47:14.526872,13,2017-02-06 00:00:00.000000,0,51288,2018-03-12 00:00:00.000000,UV Fastlane Lamp and Reflector Change,People & Blogs,3.75,22,0,0,False,True,https://www.youtube.com/watch?v=fX_sqE6_8sI,UCsWfvFmFF5q_V6q4S9_Ay4A
UV Fastlane,2019-01-07 05:47:14.526872,13,2017-02-06 00:00:00.000000,0,51288,2017-03-30 00:00:00.000000,What is UV Fastlane?,People & Blogs,3.0,155,1,0,False,True,https://www.youtube.com/watch?v=pKPdhgQV9C0,UCsWfvFmFF5q_V6q4S9_Ay4A
UV Fastlane,2019-01-07 05:47:14.526872,13,2017-02-06 00:00:00.000000,0,51288,2017-02-13 00:00:00.000000,UVFastlane FAQ-What if Something Breaks??,People & Blogs,0.87,49,1,0,False,True,https://www.youtube.com/watch?v=c383poEKBFI,UCsWfvFmFF5q_V6q4S9_Ay4A
UV Fastlane,2019-01-07 05:47:14.526872,13,2017-02-06 00:00:00.000000,0,51288,2017-02-06 00:00:00.000000,One-Shot-UVFastlane-Demo-On-Green-Screen,People & Blogs,3.78,567,1,0,False,True,https://www.youtube.com/watch?v=6oy1daPaewU,UCsWfvFmFF5q_V6q4S9_Ay4A
