ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
SAM SMITH,2019-02-04 03:59:21.315931,76,2012-09-14 00:00:00.000000,9413833,4700311594,2019-01-29 00:00:00.000000,"Sam Smith, Normani - Dancing With A Stranger",Music,3.27,8146152,328894,3613,False,True,https://www.youtube.com/watch?v=av5JD1dfj_c,UCvpDeGlR5wLP9Z3Tb6K0Xfg
SAM SMITH,2019-02-04 03:59:21.315931,76,2012-09-14 00:00:00.000000,9413833,4700311594,2019-01-10 00:00:00.000000,"Sam Smith, Normani - Dancing With A Stranger (Official Audio)",Music,2.88,27623390,353317,7092,False,True,https://www.youtube.com/watch?v=brmW88EO_cI,UCvpDeGlR5wLP9Z3Tb6K0Xfg
SAM SMITH,2019-02-04 03:59:21.315931,76,2012-09-14 00:00:00.000000,9413833,4700311594,2018-12-20 00:00:00.000000,"Sam Smith - Fire On Fire (From ""Watership Down"")",Music,4.13,37494836,508729,7629,False,True,https://www.youtube.com/watch?v=vk_xq1P7vIU,UCvpDeGlR5wLP9Z3Tb6K0Xfg
SAM SMITH,2019-02-04 03:59:21.315931,76,2012-09-14 00:00:00.000000,9413833,4700311594,2018-11-08 00:00:00.000000,Sam Smith - Too Good At Goodbyes (Live At Austin City Limits),Music,5.25,578092,14696,120,False,True,https://www.youtube.com/watch?v=Xkbuj72IAsA,UCvpDeGlR5wLP9Z3Tb6K0Xfg
SAM SMITH,2019-02-04 03:59:21.315931,76,2012-09-14 00:00:00.000000,9413833,4700311594,2018-11-08 00:00:00.000000,Sam Smith - Midnight Train (Live At Austin City Limits),Music,3.87,574153,11854,143,False,True,https://www.youtube.com/watch?v=ryA0O3vJyb0,UCvpDeGlR5wLP9Z3Tb6K0Xfg
SAM SMITH,2019-02-04 03:59:21.315931,76,2012-09-14 00:00:00.000000,9413833,4700311594,2018-11-08 00:00:00.000000,Sam Smith - Pray (Live At Austin City Limits),Music,6.73,523827,10278,111,False,True,https://www.youtube.com/watch?v=MP0D4kXFOcs,UCvpDeGlR5wLP9Z3Tb6K0Xfg
SAM SMITH,2019-02-04 03:59:21.315931,76,2012-09-14 00:00:00.000000,9413833,4700311594,2018-11-08 00:00:00.000000,Sam Smith - Say It First (Live At Austin City Limits),Music,5.63,860332,10916,127,False,True,https://www.youtube.com/watch?v=IzhQ8rXj5uA,UCvpDeGlR5wLP9Z3Tb6K0Xfg
SAM SMITH,2019-02-04 03:59:21.315931,76,2012-09-14 00:00:00.000000,9413833,4700311594,2018-10-11 00:00:00.000000,"Calvin Harris, Sam Smith - Promises (Live Performance)",Music,4.53,5913779,81352,1433,False,True,https://www.youtube.com/watch?v=fjMygTeZf1I,UCvpDeGlR5wLP9Z3Tb6K0Xfg
SAM SMITH,2019-02-04 03:59:21.315931,76,2012-09-14 00:00:00.000000,9413833,4700311594,2018-08-09 00:00:00.000000,Sam Smith - Baby You Make Me Crazy (Friction Remix),Music,3.62,710617,21799,590,False,True,https://www.youtube.com/watch?v=3E-KIznX88o,UCvpDeGlR5wLP9Z3Tb6K0Xfg
SAM SMITH,2019-02-04 03:59:21.315931,76,2012-09-14 00:00:00.000000,9413833,4700311594,2018-06-21 00:00:00.000000,"Sam Smith - Baby, You Make Me Crazy (Acoustic)",Music,3.4,25822476,373151,5462,False,True,https://www.youtube.com/watch?v=m87vQBwgGo8,UCvpDeGlR5wLP9Z3Tb6K0Xfg
