ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
A Foreign Affair Live Web Cast,2019-01-28 05:14:30.530079,33,2017-04-28 00:00:00.000000,2377,449114,2018-11-27 00:00:00.000000,Love Advice Mature Men NEED If Dating Russian Women,Travel & Events,1.33,729,21,1,False,True,https://www.youtube.com/watch?v=Gs2VdPxItd8,UCwtpqEp7cNn4Q8JfgLGn6tw
A Foreign Affair Live Web Cast,2019-01-28 05:14:30.530079,33,2017-04-28 00:00:00.000000,2377,449114,2018-11-08 00:00:00.000000,Ukraine Women Flood Nikolaev Romance Tour For Foreign Men,Travel & Events,1.68,5346,38,2,False,True,https://www.youtube.com/watch?v=p4xJ8dXsbYI,UCwtpqEp7cNn4Q8JfgLGn6tw
A Foreign Affair Live Web Cast,2019-01-28 05:14:30.530079,33,2017-04-28 00:00:00.000000,2377,449114,2018-09-14 00:00:00.000000,300+ Ukraine Women Flood Odessa International Dating Event,Travel & Events,1.42,8837,58,3,False,True,https://www.youtube.com/watch?v=43wM5vd3H-o,UCwtpqEp7cNn4Q8JfgLGn6tw
A Foreign Affair Live Web Cast,2019-01-28 05:14:30.530079,33,2017-04-28 00:00:00.000000,2377,449114,2018-06-29 00:00:00.000000,Single Latin Women Attend International Dating Event in Peru,Travel & Events,1.4,4568,23,1,False,True,https://www.youtube.com/watch?v=mvDYmulalG4,UCwtpqEp7cNn4Q8JfgLGn6tw
A Foreign Affair Live Web Cast,2019-01-28 05:14:30.530079,33,2017-04-28 00:00:00.000000,2377,449114,2018-04-30 00:00:00.000000,Benefits of Meeting Foreign Women with International Matchmakers,Travel & Events,60.1,1608,26,2,False,True,https://www.youtube.com/watch?v=DMYhQKeez7s,UCwtpqEp7cNn4Q8JfgLGn6tw
A Foreign Affair Live Web Cast,2019-01-28 05:14:30.530079,33,2017-04-28 00:00:00.000000,2377,449114,2018-04-24 00:00:00.000000,Kherson Women Swarm Local Ukraine Singles Event,Travel & Events,1.93,8769,56,11,False,True,https://www.youtube.com/watch?v=Qi5RZnVExUs,UCwtpqEp7cNn4Q8JfgLGn6tw
A Foreign Affair Live Web Cast,2019-01-28 05:14:30.530079,33,2017-04-28 00:00:00.000000,2377,449114,2018-04-24 00:00:00.000000,Exploring Cartagena Colombia with Beautiful Colombian Women,Travel & Events,1.53,4712,31,0,False,True,https://www.youtube.com/watch?v=og0dM2Cv9u0,UCwtpqEp7cNn4Q8JfgLGn6tw
A Foreign Affair Live Web Cast,2019-01-28 05:14:30.530079,33,2017-04-28 00:00:00.000000,2377,449114,2018-04-24 00:00:00.000000,#1 Mistake Men Make While Dating Ukrainian Women,Travel & Events,3.25,4533,35,2,False,True,https://www.youtube.com/watch?v=xy2YKrSD4es,UCwtpqEp7cNn4Q8JfgLGn6tw
A Foreign Affair Live Web Cast,2019-01-28 05:14:30.530079,33,2017-04-28 00:00:00.000000,2377,449114,2018-03-07 00:00:00.000000,How Often Does Relocation Westernize Foreign Women?,Travel & Events,2.3,687,19,0,False,True,https://www.youtube.com/watch?v=aM_FhvS61wE,UCwtpqEp7cNn4Q8JfgLGn6tw
A Foreign Affair Live Web Cast,2019-01-28 05:14:30.530079,33,2017-04-28 00:00:00.000000,2377,449114,2018-03-06 00:00:00.000000,International Women's Day Celebration Ideas for March 8th,Travel & Events,1.85,508,9,0,False,True,https://www.youtube.com/watch?v=vDoinJ9CwVY,UCwtpqEp7cNn4Q8JfgLGn6tw
A Foreign Affair Live Web Cast,2019-01-28 05:14:30.530079,33,2017-04-28 00:00:00.000000,2377,449114,2018-02-12 00:00:00.000000,What Leads Ukrainian Women To International Matchmakers?,Travel & Events,47.07,2871,46,1,False,True,https://www.youtube.com/watch?v=9AQgIdSqj98,UCwtpqEp7cNn4Q8JfgLGn6tw
A Foreign Affair Live Web Cast,2019-01-28 05:14:30.530079,33,2017-04-28 00:00:00.000000,2377,449114,2018-02-05 00:00:00.000000,End Common Worries Associated With International Matchmaking,Travel & Events,28.3,1343,18,1,False,True,https://www.youtube.com/watch?v=9GCHVrkcDgc,UCwtpqEp7cNn4Q8JfgLGn6tw
A Foreign Affair Live Web Cast,2019-01-28 05:14:30.530079,33,2017-04-28 00:00:00.000000,2377,449114,2018-01-29 00:00:00.000000,Engaging Foreign Women - Avoid These Questions on First Dates,Travel & Events,62.08,2119,27,2,False,True,https://www.youtube.com/watch?v=wEYg7JdtNLk,UCwtpqEp7cNn4Q8JfgLGn6tw
A Foreign Affair Live Web Cast,2019-01-28 05:14:30.530079,33,2017-04-28 00:00:00.000000,2377,449114,2018-01-22 00:00:00.000000,Manifesting Success Meeting Foreign Women Abroad,Travel & Events,35.02,2368,21,1,False,True,https://www.youtube.com/watch?v=2TwKWDNcpXI,UCwtpqEp7cNn4Q8JfgLGn6tw
A Foreign Affair Live Web Cast,2019-01-28 05:14:30.530079,33,2017-04-28 00:00:00.000000,2377,449114,2018-01-15 00:00:00.000000,Inside International Dating Travel with Ukrainian Women,Travel & Events,57.57,2663,26,1,False,True,https://www.youtube.com/watch?v=SkTjxa7bODk,UCwtpqEp7cNn4Q8JfgLGn6tw
A Foreign Affair Live Web Cast,2019-01-28 05:14:30.530079,33,2017-04-28 00:00:00.000000,2377,449114,2018-01-08 00:00:00.000000,Courting Ukrainian Women Abroad - International Dating Mastery,Travel & Events,61.07,1718,24,0,False,True,https://www.youtube.com/watch?v=qH-jCd21pT0,UCwtpqEp7cNn4Q8JfgLGn6tw
A Foreign Affair Live Web Cast,2019-01-28 05:14:30.530079,33,2017-04-28 00:00:00.000000,2377,449114,2018-01-01 00:00:00.000000,2018 International Dating Success Strategies from Ukrainian Women,Travel & Events,65.57,21694,127,21,False,True,https://www.youtube.com/watch?v=wnKbrAWMkGY,UCwtpqEp7cNn4Q8JfgLGn6tw
A Foreign Affair Live Web Cast,2019-01-28 05:14:30.530079,33,2017-04-28 00:00:00.000000,2377,449114,2017-12-18 00:00:00.000000,Direct Ukraine Women Perspective on Dating Foreign Men,Travel & Events,39.5,3205,38,7,False,True,https://www.youtube.com/watch?v=0lrHBPDUgLc,UCwtpqEp7cNn4Q8JfgLGn6tw
A Foreign Affair Live Web Cast,2019-01-28 05:14:30.530079,33,2017-04-28 00:00:00.000000,2377,449114,2017-12-11 00:00:00.000000,17 Yrs Single American Reviews A Foreign Affair Tour of Kiev,Travel & Events,61.73,5242,56,29,False,True,https://www.youtube.com/watch?v=LlovMCABHGg,UCwtpqEp7cNn4Q8JfgLGn6tw
A Foreign Affair Live Web Cast,2019-01-28 05:14:30.530079,33,2017-04-28 00:00:00.000000,2377,449114,2017-12-01 00:00:00.000000,Sexy Ukrainian Women Meet Foreign Men at Nikolaev Singles Event,Travel & Events,2.3,40909,170,34,False,True,https://www.youtube.com/watch?v=AriOQY0ZGSM,UCwtpqEp7cNn4Q8JfgLGn6tw
A Foreign Affair Live Web Cast,2019-01-28 05:14:30.530079,33,2017-04-28 00:00:00.000000,2377,449114,2017-10-13 00:00:00.000000,Ukraine Dating Event Attracts 200+ Single Kiev Women,Travel & Events,1.83,30636,148,33,False,True,https://www.youtube.com/watch?v=piMytS4x9mQ,UCwtpqEp7cNn4Q8JfgLGn6tw
A Foreign Affair Live Web Cast,2019-01-28 05:14:30.530079,33,2017-04-28 00:00:00.000000,2377,449114,2017-07-28 00:00:00.000000,Asian Women Seek Foreign Men at Shenzhen China International Dating Event,Travel & Events,3.53,20385,64,16,False,True,https://www.youtube.com/watch?v=M9KqPAj1fKg,UCwtpqEp7cNn4Q8JfgLGn6tw
