ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
Ella Mai,2019-01-28 05:28:59.807395,78,2012-11-06 00:00:00.000000,2052226,795778981,2019-01-17 00:00:00.000000,Ella Mai - Shot Clock,Music,3.15,5577923,137948,2959,False,True,https://www.youtube.com/watch?v=T4kAYIC5Xzo,UCy1qd93CcOTvOrQ_replaced_QM8_pyQ
Ella Mai,2019-01-28 05:28:59.807395,78,2012-11-06 00:00:00.000000,2052226,795778981,2019-01-08 00:00:00.000000,Ellasode: Televised,People & Blogs,4.23,28462,1903,29,False,True,https://www.youtube.com/watch?v=wYoYIjq77y0,UCy1qd93CcOTvOrQ_replaced_QM8_pyQ
Ella Mai,2019-01-28 05:28:59.807395,78,2012-11-06 00:00:00.000000,2052226,795778981,2019-01-04 00:00:00.000000,Ella Mai - Boo’d Up (Live From Dick Clark’s New Year’s Rockin Eve/2018),Music,3.55,84476,4552,92,False,True,https://www.youtube.com/watch?v=5di9Mrvoxew,UCy1qd93CcOTvOrQ_replaced_QM8_pyQ
Ella Mai,2019-01-28 05:28:59.807395,78,2012-11-06 00:00:00.000000,2052226,795778981,2019-01-02 00:00:00.000000,Ella Mai - Naked (Vevo LIFT Live Sessions),Music,3.27,338958,10944,125,False,True,https://www.youtube.com/watch?v=33PIRqwowZM,UCy1qd93CcOTvOrQ_replaced_QM8_pyQ
Ella Mai,2019-01-28 05:28:59.807395,78,2012-11-06 00:00:00.000000,2052226,795778981,2019-01-02 00:00:00.000000,Ella Mai - Trip (Vevo LIFT Live Sessions),Music,3.93,363840,11945,142,False,True,https://www.youtube.com/watch?v=KU6ISEfi8uo,UCy1qd93CcOTvOrQ_replaced_QM8_pyQ
Ella Mai,2019-01-28 05:28:59.807395,78,2012-11-06 00:00:00.000000,2052226,795778981,2018-12-31 00:00:00.000000,Ella Mai - Shot Clock (Live From Dick Clark’s New Year’s Rockin Eve/2018),Music,3.25,122514,6263,135,False,True,https://www.youtube.com/watch?v=b6Rg9kJdWG0,UCy1qd93CcOTvOrQ_replaced_QM8_pyQ
Ella Mai,2019-01-28 05:28:59.807395,78,2012-11-06 00:00:00.000000,2052226,795778981,2018-12-20 00:00:00.000000,Ella Mai - Sauce (Official Live Performance) | Vevo LIFT,Music,3.02,822774,18206,372,False,True,https://www.youtube.com/watch?v=wkcmu-4qpXY,UCy1qd93CcOTvOrQ_replaced_QM8_pyQ
Ella Mai,2019-01-28 05:28:59.807395,78,2012-11-06 00:00:00.000000,2052226,795778981,2018-12-20 00:00:00.000000,"Ella Mai - Becoming Ella Mai: Emotion, Love, Lust & Being Assertive | Vevo LIFT",Music,3.93,131512,4032,93,False,True,https://www.youtube.com/watch?v=UYRRPuZ1KPI,UCy1qd93CcOTvOrQ_replaced_QM8_pyQ
Ella Mai,2019-01-28 05:28:59.807395,78,2012-11-06 00:00:00.000000,2052226,795778981,2018-12-20 00:00:00.000000,Ella Mai - Easy (Official Live Performance) | Vevo LIFT,Music,4.55,307182,7515,216,False,True,https://www.youtube.com/watch?v=ZtElfp1mizY,UCy1qd93CcOTvOrQ_replaced_QM8_pyQ
Ella Mai,2019-01-28 05:28:59.807395,78,2012-11-06 00:00:00.000000,2052226,795778981,2018-12-12 00:00:00.000000,"Ellasode: ""Ella Mai"" The Album",People & Blogs,5.55,26232,1842,21,False,True,https://www.youtube.com/watch?v=QcfS4ic8Mzk,UCy1qd93CcOTvOrQ_replaced_QM8_pyQ
