ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
Nat Creates,2019-02-05 01:43:38.095688,117,2016-07-05 00:00:00.000000,12681,2147862,2019-01-21 00:00:00.000000,FLOWEY'S MISCHIEF ~ [ITTBG Season 5 Episode 5],Film & Animation,5.68,4019,283,2,False,True,https://www.youtube.com/watch?v=4BD81NZaqno,UCytuAb8ct7JhFgDlaIjInew
Nat Creates,2019-02-05 01:43:38.095688,117,2016-07-05 00:00:00.000000,12681,2147862,2019-01-06 00:00:00.000000,SURPRISES ~ [ITTBG Season 5 Episode 4],Film & Animation,8.67,3963,318,0,False,True,https://www.youtube.com/watch?v=illaQH09G5I,UCytuAb8ct7JhFgDlaIjInew
Nat Creates,2019-02-05 01:43:38.095688,117,2016-07-05 00:00:00.000000,12681,2147862,2019-01-06 00:00:00.000000,Welcome to Nat Creates! (2019),Film & Animation,0.82,705,66,0,False,True,https://www.youtube.com/watch?v=qo0XWofNmN4,UCytuAb8ct7JhFgDlaIjInew
Nat Creates,2019-02-05 01:43:38.095688,117,2016-07-05 00:00:00.000000,12681,2147862,2019-01-01 00:00:00.000000,make me a ghost (original song animatic),Film & Animation,4.47,1553,191,1,False,True,https://www.youtube.com/watch?v=cpc2x7TmCYg,UCytuAb8ct7JhFgDlaIjInew
Nat Creates,2019-02-05 01:43:38.095688,117,2016-07-05 00:00:00.000000,12681,2147862,2018-12-09 00:00:00.000000,CONVERSING ~ [ITTBG Season 5 Episode 3],Film & Animation,9.08,3737,250,1,False,True,https://www.youtube.com/watch?v=5VHIK27H5ZU,UCytuAb8ct7JhFgDlaIjInew
Nat Creates,2019-02-05 01:43:38.095688,117,2016-07-05 00:00:00.000000,12681,2147862,2018-11-11 00:00:00.000000,i know how this ends (animatic / vent?),Film & Animation,1.5,2170,171,3,False,True,https://www.youtube.com/watch?v=7jVe55OSgoY,UCytuAb8ct7JhFgDlaIjInew
Nat Creates,2019-02-05 01:43:38.095688,117,2016-07-05 00:00:00.000000,12681,2147862,2018-11-10 00:00:00.000000,PAST ~ [ITTBG Season 5 Episode 2],Film & Animation,6.43,6129,330,1,False,True,https://www.youtube.com/watch?v=LPf3N-zU4c4,UCytuAb8ct7JhFgDlaIjInew
Nat Creates,2019-02-05 01:43:38.095688,117,2016-07-05 00:00:00.000000,12681,2147862,2018-10-29 00:00:00.000000,ALPHA ~ [ITTBG Season 5 Episode 1],Film & Animation,7.27,7174,403,5,False,True,https://www.youtube.com/watch?v=-vu0OVP5Gwk,UCytuAb8ct7JhFgDlaIjInew
Nat Creates,2019-02-05 01:43:38.095688,117,2016-07-05 00:00:00.000000,12681,2147862,2018-10-22 00:00:00.000000,MEMORIES ~ [TIMW Season Finale],Film & Animation,7.43,4950,296,3,False,True,https://www.youtube.com/watch?v=PUO5yF-N75k,UCytuAb8ct7JhFgDlaIjInew
Nat Creates,2019-02-05 01:43:38.095688,117,2016-07-05 00:00:00.000000,12681,2147862,2018-10-07 00:00:00.000000,THE PRESENT ~ [TIMW Episode 11],Film & Animation,3.43,4724,271,0,False,True,https://www.youtube.com/watch?v=chsT0qNuAFE,UCytuAb8ct7JhFgDlaIjInew
