ARTIST,SCRAPE_DATE,TOTAL_VIDEOS,JOINED,SUBSCRIBERS,TOTAL_VIEWS,PUBLISHED,TITLE,CATEGORY,DURATION,VIEWS,LIKES,DISLIKES,PAID,FAMILY_FRIENDLY,URL,ARTIST_CODE
Zahngeschichten,2019-03-04 03:32:55.709219,18,2018-05-02 00:00:00.000000,374,27382,2019-02-20 00:00:00.000000,"#15: 6,5 Monate AGGA: Vorher-Nachher-Fotos",People & Blogs,4.47,979,20,0,False,True,http://www.youtube.com/watch?v=A9e2XosMaKY,UC_replaced_5mV2syCQBhZMk_pQ6yX7Q
Zahngeschichten,2019-03-04 03:32:55.709219,18,2018-05-02 00:00:00.000000,374,27382,2019-02-20 00:00:00.000000,#14: Die AGGA ist raus! Schritt 2,People & Blogs,7.87,785,21,2,False,True,http://www.youtube.com/watch?v=5Jr-yD46cwQ,UC_replaced_5mV2syCQBhZMk_pQ6yX7Q
Zahngeschichten,2019-03-04 03:32:55.709219,18,2018-05-02 00:00:00.000000,374,27382,2019-01-31 00:00:00.000000,#13: 6 Monate mit der AGGA,People & Blogs,6.5,733,14,1,False,True,http://www.youtube.com/watch?v=ykafDWXMwqM,UC_replaced_5mV2syCQBhZMk_pQ6yX7Q
Zahngeschichten,2019-03-04 03:32:55.709219,18,2018-05-02 00:00:00.000000,374,27382,2018-12-27 00:00:00.000000,#12: 5 Monate mit der AGGA,People & Blogs,5.2,941,16,2,False,True,http://www.youtube.com/watch?v=A2fvQG_vBtM,UC_replaced_5mV2syCQBhZMk_pQ6yX7Q
Zahngeschichten,2019-03-04 03:32:55.709219,18,2018-05-02 00:00:00.000000,374,27382,2018-11-28 00:00:00.000000,#11: 4 Monate mit der AGGA,People & Blogs,5.98,1000,9,1,False,True,http://www.youtube.com/watch?v=gl3sMrwDS9M,UC_replaced_5mV2syCQBhZMk_pQ6yX7Q
Zahngeschichten,2019-03-04 03:32:55.709219,18,2018-05-02 00:00:00.000000,374,27382,2018-10-28 00:00:00.000000,#10: 3 Monate mit der AGGA,People & Blogs,4.68,977,12,2,False,True,http://www.youtube.com/watch?v=ItOdIPlOlV4,UC_replaced_5mV2syCQBhZMk_pQ6yX7Q
Zahngeschichten,2019-03-04 03:32:55.709219,18,2018-05-02 00:00:00.000000,374,27382,2018-09-27 00:00:00.000000,#9: 2 Monate mit der AGGA,People & Blogs,8.63,1050,15,3,False,True,http://www.youtube.com/watch?v=GC9nOvUorlY,UC_replaced_5mV2syCQBhZMk_pQ6yX7Q
Zahngeschichten,2019-03-04 03:32:55.709219,18,2018-05-02 00:00:00.000000,374,27382,2018-08-29 00:00:00.000000,#8: 1 Monat mit der AGGA,People & Blogs,7.97,1061,15,2,False,True,http://www.youtube.com/watch?v=jE5YWR__Plw,UC_replaced_5mV2syCQBhZMk_pQ6yX7Q
Zahngeschichten,2019-03-04 03:32:55.709219,18,2018-05-02 00:00:00.000000,374,27382,2018-08-09 00:00:00.000000,#7: 3 Wochen mit der RAGGA,People & Blogs,1.95,774,8,0,False,True,http://www.youtube.com/watch?v=a1BPgSLIgE0,UC_replaced_5mV2syCQBhZMk_pQ6yX7Q
Zahngeschichten,2019-03-04 03:32:55.709219,18,2018-05-02 00:00:00.000000,374,27382,2018-08-03 00:00:00.000000,#6: Eine Woche mit der AGGA,People & Blogs,6.85,964,17,2,False,True,http://www.youtube.com/watch?v=SuuKAmQOWrg,UC_replaced_5mV2syCQBhZMk_pQ6yX7Q
Zahngeschichten,2019-03-04 03:32:55.709219,18,2018-05-02 00:00:00.000000,374,27382,2018-07-27 00:00:00.000000,#5: Die AGGA ist drin!,People & Blogs,3.98,2933,26,2,False,True,http://www.youtube.com/watch?v=wE9tRmD7Sh4,UC_replaced_5mV2syCQBhZMk_pQ6yX7Q
Zahngeschichten,2019-03-04 03:32:55.709219,18,2018-05-02 00:00:00.000000,374,27382,2018-07-19 00:00:00.000000,#4: Zwischenbericht: 2 Wochen Separiergummis + 1 Woche Aufbauten,People & Blogs,7.92,1272,14,0,False,True,http://www.youtube.com/watch?v=7X5DwAzPGPw,UC_replaced_5mV2syCQBhZMk_pQ6yX7Q
Zahngeschichten,2019-03-04 03:32:55.709219,18,2018-05-02 00:00:00.000000,374,27382,2018-07-12 00:00:00.000000,#3: AGGA rein - oder auch nicht,People & Blogs,4.85,1365,18,0,False,True,http://www.youtube.com/watch?v=qKLd_WxxaPQ,UC_replaced_5mV2syCQBhZMk_pQ6yX7Q
Zahngeschichten,2019-03-04 03:32:55.709219,18,2018-05-02 00:00:00.000000,374,27382,2018-07-05 00:00:00.000000,#1: Digitale Abdrücke,People & Blogs,0.4,637,6,0,False,True,http://www.youtube.com/watch?v=c6cX2_f504E,UC_replaced_5mV2syCQBhZMk_pQ6yX7Q
Zahngeschichten,2019-03-04 03:32:55.709219,18,2018-05-02 00:00:00.000000,374,27382,2018-07-05 00:00:00.000000,#2: Platzmachergummis als Vorbereitung auf die AGGA,People & Blogs,2.38,762,7,0,False,True,http://www.youtube.com/watch?v=REIBD8ygQGA,UC_replaced_5mV2syCQBhZMk_pQ6yX7Q
Zahngeschichten,2019-03-04 03:32:55.709219,18,2018-05-02 00:00:00.000000,374,27382,2018-06-27 00:00:00.000000,"Meine Erfahrung mit Aufbissbehelfen: Knirscherschiene, Aqualizer, Selbstbau",People & Blogs,12.27,4737,31,11,False,True,http://www.youtube.com/watch?v=QwCk6lrKAx4,UC_replaced_5mV2syCQBhZMk_pQ6yX7Q
Zahngeschichten,2019-03-04 03:32:55.709219,18,2018-05-02 00:00:00.000000,374,27382,2018-06-15 00:00:00.000000,Zahngeschichten,People & Blogs,1.63,869,15,0,False,True,http://www.youtube.com/watch?v=Ky_6HmH6F1A,UC_replaced_5mV2syCQBhZMk_pQ6yX7Q
Zahngeschichten,2019-03-04 03:32:55.709219,18,2018-05-02 00:00:00.000000,374,27382,2018-06-15 00:00:00.000000,Craniomandibuläre Dysfunktion (CMD) - Meine Geschichte bis heute,People & Blogs,14.38,5197,64,7,False,True,http://www.youtube.com/watch?v=AuiLstPylTs,UC_replaced_5mV2syCQBhZMk_pQ6yX7Q
