,Artist,Joined,Subscribers,Total Views,Date,Title,Category,Views,Likes,Dislikes,URL
0,LastWeekTonight,2014-03-18,6646706,1793543110,2018-11-20,The Wax and the Furious: Last Week Tonight with John Oliver (HBO),Entertainment,2007073,51319,2243,https://www.youtube.com/watch?v=TB_wx0dAPU0
1,LastWeekTonight,2014-03-18,6646706,1793543110,2018-11-18,Authoritarianism: Last Week Tonight with John Oliver (HBO),Entertainment,4991478,97893,6692,https://www.youtube.com/watch?v=ximgPmJ9A5s
2,LastWeekTonight,2014-03-18,6646706,1793543110,2018-11-11,Drain the Swamp: Last Week Tonight with John Oliver (HBO),Entertainment,4725126,78177,3457,https://www.youtube.com/watch?v=5HS2TstPfW4
3,LastWeekTonight,2014-03-18,6646706,1793543110,2018-11-04,Family Separation: Last Week Tonight with John Oliver (HBO),Entertainment,3388453,106794,3860,https://www.youtube.com/watch?v=ygVX1z6tDGI
4,LastWeekTonight,2014-03-18,6646706,1793543110,2018-10-28,State Attorneys General: Last Week Tonight with John Oliver (HBO),Entertainment,4064342,69191,2964,https://www.youtube.com/watch?v=UpdMYOtAmKY
5,LastWeekTonight,2014-03-18,6646706,1793543110,2018-10-14,Saudi Arabia: Last Week Tonight with John Oliver (HBO),Entertainment,7000608,103431,12035,https://www.youtube.com/watch?v=ViDPIyiszoo
6,LastWeekTonight,2014-03-18,6646706,1793543110,2018-10-07,Brazilian Elections: Last Week Tonight with John Oliver (HBO),Entertainment,4684924,110515,130254,https://www.youtube.com/watch?v=FsZ3p9gOkpY
7,LastWeekTonight,2014-03-18,6646706,1793543110,2018-09-30,Brett Kavanaugh: Last Week Tonight with John Oliver (HBO),Entertainment,9043218,161535,28655,https://www.youtube.com/watch?v=opi8X9hQ7q8
8,LastWeekTonight,2014-03-18,6646706,1793543110,2018-09-23,Facebook: Last Week Tonight with John Oliver (HBO),Entertainment,4000889,93014,5582,https://www.youtube.com/watch?v=OjPYmEZxACM
9,LastWeekTonight,2014-03-18,6646706,1793543110,2018-09-09,Felony Disenfranchisement: Last Week Tonight with John Oliver (HBO),Entertainment,3930162,71905,3447,https://www.youtube.com/watch?v=NpPyLcQ2vdI
10,LastWeekTonight,2014-03-18,6646706,1793543110,2018-08-26,Retractions: Last Week Tonight with John Oliver (Web Exclusive),Entertainment,3713936,64286,2774,https://www.youtube.com/watch?v=2nXYbGmF3_Q
11,LastWeekTonight,2014-03-18,6646706,1793543110,2018-08-19,Trade: Last Week Tonight with John Oliver (HBO),Entertainment,6719216,109319,4321,https://www.youtube.com/watch?v=etkd57lPfPU
12,LastWeekTonight,2014-03-18,6646706,1793543110,2018-08-12,Astroturfing: Last Week Tonight with John Oliver (HBO),Entertainment,5203090,83146,3124,https://www.youtube.com/watch?v=Fmh4RdIwswE
13,LastWeekTonight,2014-03-18,6646706,1793543110,2018-08-05,Prosecutors: Last Week Tonight with John Oliver (HBO),Entertainment,4538444,72821,2192,https://www.youtube.com/watch?v=ET_b78GSBUs
14,LastWeekTonight,2014-03-18,6646706,1793543110,2018-07-29,Workplace Sexual Harassment: Last Week Tonight with John Oliver (HBO),Entertainment,4534955,102177,8468,https://www.youtube.com/watch?v=dHiAls8loz4
15,LastWeekTonight,2014-03-18,6646706,1793543110,2018-07-15,Lost Graphics Vol. 3 (Web Exclusive): Last Week Tonight with John Oliver (HBO),Entertainment,2410139,44174,1007,https://www.youtube.com/watch?v=dFnN2toxFaY
16,LastWeekTonight,2014-03-18,6646706,1793543110,2018-07-01,Gene Editing: Last Week Tonight with John Oliver (HBO),Entertainment,5748873,85263,3503,https://www.youtube.com/watch?v=AJm8PeWkiEU
17,LastWeekTonight,2014-03-18,6646706,1793543110,2018-06-24,Mexican Elections: Last Week Tonight with John Oliver (HBO),Entertainment,5806887,84017,6801,https://www.youtube.com/watch?v=8-hahRWhFvg
18,LastWeekTonight,2014-03-18,6646706,1793543110,2018-06-17,Xi Jinping: Last Week Tonight with John Oliver (HBO),Entertainment,6932320,103858,6099,https://www.youtube.com/watch?v=OubM8bD9kck
19,LastWeekTonight,2014-03-18,6646706,1793543110,2018-06-10,Stupid Watergate II: Last Week Tonight with John Oliver (HBO),Entertainment,5265996,86657,3860,https://www.youtube.com/watch?v=mOVPStnVgvU
20,LastWeekTonight,2014-03-18,6646706,1793543110,2018-06-03,Guardianship: Last Week Tonight with John Oliver (HBO),Entertainment,4089989,77820,1650,https://www.youtube.com/watch?v=nG2pEffLEJo
21,LastWeekTonight,2014-03-18,6646706,1793543110,2018-05-20,Rehab: Last Week Tonight with John Oliver (HBO),Entertainment,5496458,87918,2307,https://www.youtube.com/watch?v=hWQiXv0sn9Y
22,LastWeekTonight,2014-03-18,6646706,1793543110,2018-05-13,Venezuela: Last Week Tonight with John Oliver (HBO),Entertainment,5867764,88909,11140,https://www.youtube.com/watch?v=IYfgvS0FA7U
23,LastWeekTonight,2014-03-18,6646706,1793543110,2018-05-06,Rudy Giuliani: Last Week Tonight with John Oliver (HBO),Entertainment,6669006,91969,3864,https://www.youtube.com/watch?v=mXQuto1fMp4
24,LastWeekTonight,2014-03-18,6646706,1793543110,2018-04-22,Iran Deal: Last Week Tonight with John Oliver (HBO),Entertainment,6931615,92869,5742,https://www.youtube.com/watch?v=5xnZ_CeTqyM
25,LastWeekTonight,2014-03-18,6646706,1793543110,2018-04-15,Corporate Taxes: Last Week Tonight with John Oliver (HBO),Entertainment,4826404,73479,2598,https://www.youtube.com/watch?v=RKjk0ECXjiQ
26,LastWeekTonight,2014-03-18,6646706,1793543110,2018-04-08,Crisis Pregnancy Centers: Last Week Tonight with John Oliver (HBO),Entertainment,3600786,86866,7441,https://www.youtube.com/watch?v=4NNpkv3Us1I
27,LastWeekTonight,2014-03-18,6646706,1793543110,2018-04-01,Immigration Courts: Last Week Tonight with John Oliver (HBO),Entertainment,4763953,95381,3757,https://www.youtube.com/watch?v=9fB0GBwJ2QA
28,LastWeekTonight,2014-03-18,6646706,1793543110,2018-03-18,Mike Pence: Last Week Tonight with John Oliver (HBO),Entertainment,10158887,167389,11284,https://www.youtube.com/watch?v=rs2RlZQVXBU
29,LastWeekTonight,2014-03-18,6646706,1793543110,2018-03-11,Cryptocurrencies: Last Week Tonight with John Oliver (HBO),Entertainment,8783044,132942,5890,https://www.youtube.com/watch?v=g6iDZspbRMg
30,LastWeekTonight,2014-03-18,6646706,1793543110,2018-03-04,NRA TV: Last Week Tonight with John Oliver (HBO),Entertainment,7544723,145478,11761,https://www.youtube.com/watch?v=LEcbagW4O-s
31,LastWeekTonight,2014-03-18,6646706,1793543110,2018-02-25,Italian Election: Last Week Tonight with John Oliver (HBO),Entertainment,7514599,141212,10333,https://www.youtube.com/watch?v=LdhQzXHYLZ4
32,LastWeekTonight,2014-03-18,6646706,1793543110,2018-02-18,Trump vs. The World: Last Week Tonight with John Oliver (HBO),Entertainment,11451255,204350,16124,https://www.youtube.com/watch?v=QCjk_NPsIqU
33,LastWeekTonight,2014-03-18,6646706,1793543110,2018-01-22,Last Week Tonight: Season 5 Official Trailer (HBO),Film & Animation,2662200,69652,3489,https://www.youtube.com/watch?v=wrpeEitIEpA
34,LastWeekTonight,2014-03-18,6646706,1793543110,2017-11-13,Wax Presidents Trailer: Last Week Tonight with John Oliver (HBO),Entertainment,1336606,34995,528,https://www.youtube.com/watch?v=seGgZp-XYdM
35,LastWeekTonight,2014-03-18,6646706,1793543110,2017-11-12,The Trump Presidency: Last Week Tonight with John Oliver (HBO),Entertainment,13119770,198583,15239,https://www.youtube.com/watch?v=1ZAPwfrtAFY
36,LastWeekTonight,2014-03-18,6646706,1793543110,2017-11-05,Economic Development: Last Week Tonight with John Oliver (HBO),Entertainment,6756080,83859,3848,https://www.youtube.com/watch?v=8bl19RoR7lc
37,LastWeekTonight,2014-03-18,6646706,1793543110,2017-10-29,Floods: Last Week Tonight with John Oliver (HBO),Entertainment,6592803,85981,3528,https://www.youtube.com/watch?v=pf1t7cs9dkc
38,LastWeekTonight,2014-03-18,6646706,1793543110,2017-10-15,Equifax: Last Week Tonight with John Oliver (HBO),Entertainment,5571274,86352,3191,https://www.youtube.com/watch?v=mPjgRKW_Jmk
39,LastWeekTonight,2014-03-18,6646706,1793543110,2017-10-08,Confederacy: Last Week Tonight with John Oliver (HBO),Entertainment,11473773,184042,15747,https://www.youtube.com/watch?v=J5b_-TZwQ0I
40,LastWeekTonight,2014-03-18,6646706,1793543110,2017-10-04,NRA: Last Week Tonight with John Oliver (HBO),Entertainment,7830805,100303,10671,https://www.youtube.com/watch?v=_ECYMvjU52E
