,Artist,Joined,Subscribers,Total Views,Date,Title,Category,Views,Likes,Dislikes,URL
0,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-12-15,"Thanks, Santa - A Cold Dose of Reality for the Holidays | The Daily Show",Comedy,27200,2666,57,https://www.youtube.com/watch?v=fxwL9_KW1tM
2,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-12-14,Everything Is Stupid - “Fortnite” Addiction | The Daily Show,Comedy,578375,15441,2180,https://www.youtube.com/watch?v=EKMoNMGfBHw
1,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-12-14,Meek Mill - “Championships” & Advocating for Criminal Justice Reform | The Daily Show,Comedy,106028,3843,98,https://www.youtube.com/watch?v=cBD6QUGJYHE
3,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-12-13,The GOP Doesn’t Care if Their “Law and Order” President Breaks the Law | The Daily Show,Comedy,1019106,19300,423,https://www.youtube.com/watch?v=mdyW48HlMKo
5,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-12-13,John Kelly’s White House Departure & Trump’s Struggle to Find a New Chief of Staff | The Daily Show,Comedy,840749,14072,343,https://www.youtube.com/watch?v=Bj3nCJxsuIQ
4,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-12-13,"The Menendez Brothers’ NBA Card Appearance, Protests in Europe & Audio from Mars | The Daily Show",Comedy,375969,7907,136,https://www.youtube.com/watch?v=n1X9g65Vnfg
6,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-12-12,Trevor's Moment of Silence - Between the Scenes | The Daily Show,Comedy,209187,6277,55,https://www.youtube.com/watch?v=Tvnx005gQ2M
7,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-12-12,"Michael Cohen’s Sentence, Michael Flynn’s Defense & Stormy Daniels’s Legal Woes | The Daily Show",Comedy,1157970,20219,410,https://www.youtube.com/watch?v=7YOwyhHK4hY
8,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-12-11,Did Trump Just Botch His Border Wall Negotiation on Live TV? | The Daily Show,Comedy,2331667,35031,1306,https://www.youtube.com/watch?v=qJK-hWl_9GQ
9,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-12-11,Jeremy Scott - Using Fashion to Change the Way the World Thinks | The Daily Show,Comedy,73678,1575,109,https://www.youtube.com/watch?v=8R12l9AodBA
10,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-12-10,"Mo’ Mueller, Mo’ Problems: Trump Implicated in Multiple Felonies | The Daily Show",Comedy,2324502,34906,1283,https://www.youtube.com/watch?v=_8JwyiFcAKU
11,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-12-10,Anderson .Paak - “Oxnard” & The Brandon Anderson Foundation | The Daily Show,Comedy,103556,2383,81,https://www.youtube.com/watch?v=9ChWqPYSwYk
12,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-12-09,"Switzerland: So Many Guns, No Mass Shootings | The Daily Show",Comedy,517581,12344,203,https://www.youtube.com/watch?v=KjlT4BME2aE
