,Artist,Joined,Subscribers,Total Views,Date,Title,Category,Views,Likes,Dislikes,URL
0,FrivolousFox ASMR,2016-05-02,924275,202803441,2018-12-10,Goodnight ASMR ~ Tingly Outro Compilation,People & Blogs,122622,6249,68,https://www.youtube.com/watch?v=m6KXmkD-2MI
1,FrivolousFox ASMR,2016-05-02,924275,202803441,2018-12-07,ASMR [Christmas Themed] Marshmallow Eating 🎅☃️,People & Blogs,162369,6688,227,https://www.youtube.com/watch?v=DSJDYmm7sL0
2,FrivolousFox ASMR,2016-05-02,924275,202803441,2018-12-05,ASMR Ear Massage 😊,People & Blogs,410873,10816,287,https://www.youtube.com/watch?v=KYf9GXfDbmE
3,FrivolousFox ASMR,2016-05-02,924275,202803441,2018-12-03,Banana ASMR ~ Satisfying Mouth Sounds//Peeling//Tapping,People & Blogs,276259,9442,594,https://www.youtube.com/watch?v=f9bB9k5aEFQ
4,FrivolousFox ASMR,2016-05-02,924275,202803441,2018-11-30,ASMR Over Your Ears 🎧 ~ Headset TiNgLeCePtIoN for Tingle Immunity,People & Blogs,366699,10356,262,https://www.youtube.com/watch?v=e3NqXps-Bew
5,FrivolousFox ASMR,2016-05-02,924275,202803441,2018-11-28,ASMR 900K Ear Noms & Kisses ~,People & Blogs,920573,24922,850,https://www.youtube.com/watch?v=TYlDLXf0rUc
6,FrivolousFox ASMR,2016-05-02,924275,202803441,2018-11-26,ASMR [1 HOUR+] Ear Tapping ~ Minimal Talking//Maximum Tingles,People & Blogs,282604,7394,274,https://www.youtube.com/watch?v=v3p6JeYfbXE
7,FrivolousFox ASMR,2016-05-02,924275,202803441,2018-11-23,"ASMR Sincere (Holiday?) Affirmations ~ Shh, It’s Okay",People & Blogs,286434,9155,189,https://www.youtube.com/watch?v=bbhDRCN6GMM
8,FrivolousFox ASMR,2016-05-02,924275,202803441,2018-11-21,ASMR Thanksgiving Kisses ~ Ear to Ear Tingly Appreciation,People & Blogs,538037,13447,450,https://www.youtube.com/watch?v=ne2Mxo71dEE
9,FrivolousFox ASMR,2016-05-02,924275,202803441,2018-11-19,ASMR LoFi Licking 😛,People & Blogs,297262,10206,300,https://www.youtube.com/watch?v=A7swaSutjt8
10,FrivolousFox ASMR,2016-05-02,924275,202803441,2018-11-16,"ASMR Uncovering You: Autumn Leaves ~ Crinkles, Counting & Personal Attention",People & Blogs,178699,6332,119,https://www.youtube.com/watch?v=rIw5hrD8P4E
11,FrivolousFox ASMR,2016-05-02,924275,202803441,2018-11-14,"ASMR 1 HOUR, 100 LAYERS ~ Ear to Ear Lipgloss Tingles",People & Blogs,921597,21780,885,https://www.youtube.com/watch?v=JIt1aK1UC44
12,FrivolousFox ASMR,2016-05-02,924275,202803441,2018-11-09,"ASMR Gum, Tapping & Unintelligible Whispers 🐥",People & Blogs,294983,8212,262,https://www.youtube.com/watch?v=hY_zM_py-oQ
13,FrivolousFox ASMR,2016-05-02,924275,202803441,2018-11-07,"ASMR (UP CLOSE) Face Brushing & Tingly Phrases ~ Toasted Coconut, A little bit, It's okay",People & Blogs,290609,8898,164,https://www.youtube.com/watch?v=8nMiB0V25UQ
14,FrivolousFox ASMR,2016-05-02,924275,202803441,2018-11-05,ASMR Treating your Headache ~ Scalp Massage & Love :),People & Blogs,485510,11751,293,https://www.youtube.com/watch?v=aWRlY-dIufc
15,FrivolousFox ASMR,2016-05-02,924275,202803441,2018-11-02,ASMR Tracing Fall Trigger Words ~ Subtle Mouth Sounds & Visual Trigger Heaven,People & Blogs,403451,9148,177,https://www.youtube.com/watch?v=rFwyQFfqeoY
16,FrivolousFox ASMR,2016-05-02,924275,202803441,2018-10-31,"ASMR Halloween Show & Tell ~ Tapping, Scratching, Tracing",People & Blogs,179375,5704,129,https://www.youtube.com/watch?v=dH2KxkHYM_s
17,FrivolousFox ASMR,2016-05-02,924275,202803441,2018-10-24,ASMR (Tascam) Vampire Mouth Sounds ft. SlightSounds ASMR,People & Blogs,328756,10281,200,https://www.youtube.com/watch?v=9OyN3f4FwcU
18,FrivolousFox ASMR,2016-05-02,924275,202803441,2018-10-22,ASMR Casting a Spell on You ~ (Ear to Ear Inaudible/Unintelligible Affirmations),People & Blogs,472734,12689,349,https://www.youtube.com/watch?v=4YqWIB5v2xg
19,FrivolousFox ASMR,2016-05-02,924275,202803441,2018-10-19,ASMR Vampire Ear Eating ~,People & Blogs,1279303,29454,1465,https://www.youtube.com/watch?v=0PrmCnshsG0
20,FrivolousFox ASMR,2016-05-02,924275,202803441,2018-10-17,ASMR Doo Bee Dee Bops (Soft Humming Like My Intro) w/ Ear Tapping/Caressing ~,People & Blogs,384171,10176,255,https://www.youtube.com/watch?v=lVd84iDH-o8
21,FrivolousFox ASMR,2016-05-02,924275,202803441,2018-10-15,"ASMR Tapping, Scratching & Hair Brushing ~",People & Blogs,254069,6943,189,https://www.youtube.com/watch?v=GxtF1vXJmN0
22,FrivolousFox ASMR,2016-05-02,924275,202803441,2018-10-13,ASMR Lo-Fi Mic Nibbling & Licking ft. Petrana Gala,People & Blogs,453632,14821,544,https://www.youtube.com/watch?v=t-CzeLn_Mz0
23,FrivolousFox ASMR,2016-05-02,924275,202803441,2018-10-10,"ASMR Tingle Party [OG STYLE] ~ Tapping/K'sses/SkSk/Shh/Cupping, etc. ~",People & Blogs,417118,10420,258,https://www.youtube.com/watch?v=IMRONQMWrQ8
24,FrivolousFox ASMR,2016-05-02,924275,202803441,2018-10-08,[ASMR] UP-CLOSE Camera Tapping ~ Personal Attention Tingles,People & Blogs,340389,8888,211,https://www.youtube.com/watch?v=Um84-TIxjVY
25,FrivolousFox ASMR,2016-05-02,924275,202803441,2018-10-07,LIVE ASMR :),Entertainment,112731,3529,104,https://www.youtube.com/watch?v=gnREbOKcfiA
26,FrivolousFox ASMR,2016-05-02,924275,202803441,2018-10-05,ASMR [Halloween Themed] Marshmallow Eating ~ Extremely Satisfying Mouth Sounds,People & Blogs,322304,9755,297,https://www.youtube.com/watch?v=OtgM25G5vHE
27,FrivolousFox ASMR,2016-05-02,924275,202803441,2018-10-03,[ASMR] The Tingle Spa ~  Face Massage Virtual Experience,People & Blogs,257700,6242,148,https://www.youtube.com/watch?v=j3hu_PTm4A0
28,FrivolousFox ASMR,2016-05-02,924275,202803441,2018-10-01,[ASMR] Kisses & Shh's ~ Spoopy Edition 👻,People & Blogs,526425,13791,410,https://www.youtube.com/watch?v=HRB2aLJID9s
29,FrivolousFox ASMR,2016-05-02,924275,202803441,2018-09-28,ASMR Lo-Fi Stipples & Mouth Sounds ~ Dark & Cozy Tingles,People & Blogs,243543,6715,164,https://www.youtube.com/watch?v=v6MkmwasJVQ
30,FrivolousFox ASMR,2016-05-02,924275,202803441,2018-09-26,ASMR Lollipop & Trigger Words ~ Up-Close Mouth Sounds & Breathing Tingles :),People & Blogs,560960,11507,442,https://www.youtube.com/watch?v=taQD3c8pGGs
31,FrivolousFox ASMR,2016-05-02,924275,202803441,2018-09-24,ASMR (UP-CLOSE & PERSONAL) Plucking Away Negativity & Whispered Affirmations ~,People & Blogs,406461,10667,208,https://www.youtube.com/watch?v=XBywbdxs95c
32,FrivolousFox ASMR,2016-05-02,924275,202803441,2018-09-21,"ASMR Twin Ear Attention ~ Binaural Brushing, Inaudible Whispers, Scratching, Mouth Sounds etc",People & Blogs,351220,9232,201,https://www.youtube.com/watch?v=k-Ua47SXRxI
33,FrivolousFox ASMR,2016-05-02,924275,202803441,2018-09-19,ASMR Heavenly Scalp Scratching (Binaural Mic Scratching) ~,People & Blogs,431008,9720,307,https://www.youtube.com/watch?v=FvFaWduubHU
34,FrivolousFox ASMR,2016-05-02,924275,202803441,2018-09-18,The ASMR Tag {25 Questions Challenge} ~ Soft Spoken Q&A,People & Blogs,142410,4058,109,https://www.youtube.com/watch?v=GBQCxMtUy9A
35,FrivolousFox ASMR,2016-05-02,924275,202803441,2018-09-14,ASMR Twin Ear Licking ~ Extreme Mouth Sounds for Tingle Immunity,People & Blogs,1110542,22489,801,https://www.youtube.com/watch?v=GmGiYZpwCTM
36,FrivolousFox ASMR,2016-05-02,924275,202803441,2018-09-13,"ASMR ""The Accident"" // Why I'm an ASMRtist ~ My ""About"" Tab Explained",People & Blogs,407540,16242,368,https://www.youtube.com/watch?v=ek9f4IVXR8Q
37,FrivolousFox ASMR,2016-05-02,924275,202803441,2018-09-12,ASMR Tracing Your Name #3 ~ Visual Trigger Love ✨,People & Blogs,242468,6379,167,https://www.youtube.com/watch?v=L9kj1UflX3o
38,FrivolousFox ASMR,2016-05-02,924275,202803441,2018-09-10,ASMR Lullabies for Tingles & Relaxation ~ Softly Singing You to Sleep,People & Blogs,265537,8648,291,https://www.youtube.com/watch?v=GWQvqp4vHGg
39,FrivolousFox ASMR,2016-05-02,924275,202803441,2018-09-07,ASMR Dr. Frivolous Patches You Up ~,People & Blogs,796022,16758,1790,https://www.youtube.com/watch?v=imPQz9VYkCw
40,FrivolousFox ASMR,2016-05-02,924275,202803441,2018-09-05,ASMR Soft Spoken Ramble & Rain ✨,People & Blogs,181208,5852,130,https://www.youtube.com/watch?v=vboKiR2OSSs
41,FrivolousFox ASMR,2016-05-02,924275,202803441,2018-09-03,ASMR Subtle Mouth Sounds & Gentle Ear Brushing ~,People & Blogs,606765,12089,403,https://www.youtube.com/watch?v=tQgyt3OQ_Wo
42,FrivolousFox ASMR,2016-05-02,924275,202803441,2018-08-31,[ASMR] Sticky Finger Tapping & Gum Chewing ~,People & Blogs,281680,7971,264,https://www.youtube.com/watch?v=r0Ms5HbBEgo
43,FrivolousFox ASMR,2016-05-02,924275,202803441,2018-08-29,ASMR Mesmerizing Hand Movements ~,People & Blogs,410374,9947,320,https://www.youtube.com/watch?v=5d6sd8kAYQ4
44,FrivolousFox ASMR,2016-05-02,924275,202803441,2018-08-25,LIVE ASMR ~,Entertainment,154350,4764,166,https://www.youtube.com/watch?v=iQvb45pf21A
45,FrivolousFox ASMR,2016-05-02,924275,202803441,2018-08-24,ASMR (1HOUR+) Tapping & Soft/Inaudible Whispers ~,People & Blogs,641904,13082,467,https://www.youtube.com/watch?v=QSnVum7xbBY
46,FrivolousFox ASMR,2016-05-02,924275,202803441,2018-08-20,Tascam Kisses & Hand Movements ~,People & Blogs,503031,12233,239,https://www.youtube.com/watch?v=gqnxpPRNfjk
47,FrivolousFox ASMR,2016-05-02,924275,202803441,2018-08-17,[ASMR] Sincere Affirmations ~ Fluffy Mic,People & Blogs,379098,10097,193,https://www.youtube.com/watch?v=qIExTr5OjmA
48,FrivolousFox ASMR,2016-05-02,924275,202803441,2018-08-15,"[ASMR] Crispy, Frothy Meringue Cookies ~ Intense Mouth Sounds Eating/Mukbang",People & Blogs,378321,10371,411,https://www.youtube.com/watch?v=Yw27iRKe8Og
49,FrivolousFox ASMR,2016-05-02,924275,202803441,2018-08-13,[ASMR] The 16 Most Beautiful Words ~,People & Blogs,345014,9056,222,https://www.youtube.com/watch?v=A8egxF2vTic
