,Artist,Joined,Subscribers,Total Views,Date,Title,Category,Views,Likes,Dislikes,URL
0,Gentle Whispering ASMR,2011-02-24,1552679,553807676,2018-12-10,SATISFYING Mic Exploration 🤤🎤 ASMR • No Talking • Tapping • Brushing • Sticky fingers • Wind cover,Entertainment,253859,9017,416,https://www.youtube.com/watch?v=cgJZl1AC7vw
1,Gentle Whispering ASMR,2011-02-24,1552679,553807676,2018-12-03,GENTLE Dental Exam and Cleaning 👄 ASMR,Entertainment,819546,17218,624,https://www.youtube.com/watch?v=-YmvorvCSSw
2,Gentle Whispering ASMR,2011-02-24,1552679,553807676,2018-11-26,Special Announcement 📢 Небольшое Объявление 📢 Whisper • Шепот,Entertainment,452220,28199,364,https://www.youtube.com/watch?v=-85twU3TWmg
3,Gentle Whispering ASMR,2011-02-24,1552679,553807676,2018-11-19,Autumn Vibes 🍁 Reese Ritual 🍫 Cozy ASMR 🕯️ Soft Spoken,Entertainment,763471,17435,744,https://www.youtube.com/watch?v=biiRWoQNmLQ
4,Gentle Whispering ASMR,2011-02-24,1552679,553807676,2018-11-14,Зеркальные Прикосновения • Шепот • АСМР,Entertainment,286569,7060,181,https://www.youtube.com/watch?v=aPjflx9hnME
5,Gentle Whispering ASMR,2011-02-24,1552679,553807676,2018-11-12,Mirrored Touch • Whisper Ear-to-Ear • ASMR,Entertainment,967690,18510,711,https://www.youtube.com/watch?v=ZnI7P-z_Aws
6,Gentle Whispering ASMR,2011-02-24,1552679,553807676,2018-11-07,🌶️ Triggers and Tees 👕 ASMR • Whisper Ear-to-Ear,Entertainment,624827,13671,534,https://www.youtube.com/watch?v=6hSn0d033cQ
7,Gentle Whispering ASMR,2011-02-24,1552679,553807676,2018-10-28,Sassy Witch 🔮 ASMR 🔮 Soft Spoken,Entertainment,666571,15755,617,https://www.youtube.com/watch?v=28CQghp9oYU
8,Gentle Whispering ASMR,2011-02-24,1552679,553807676,2018-10-24,Galaxy S9 📱 Whispered Unboxing • Candy Sounds • Lip Smacking • Tapping • ASMR •,Entertainment,720265,14677,884,https://www.youtube.com/watch?v=YKUzghnuVTY
9,Gentle Whispering ASMR,2011-02-24,1552679,553807676,2018-10-15,Women's Perfume Emporium 💖 ASMR • Soft Spoken • Liquids • Tapping • Clicky,Entertainment,831969,15634,486,https://www.youtube.com/watch?v=UUOdiWO3qwI
