,Artist,Joined,Subscribers,Total Views,Date,Title,Category,Views,Likes,Dislikes,URL
0,Jojo's ASMR,2015-01-19,506556,108867866,2018-12-11,ASMR for People who Don't get Tingles,Entertainment,45093,2049,56,https://www.youtube.com/watch?v=8ALn2hsekBc
1,Jojo's ASMR,2015-01-19,506556,108867866,2018-12-09,Extremely Sensitive ASMR,Entertainment,120892,2762,165,https://www.youtube.com/watch?v=xwyeGy4MBkM
2,Jojo's ASMR,2015-01-19,506556,108867866,2018-12-07,100% OF YOU WILL FALL ASLEEP TO THIS ASMR (Not Clickbait),Entertainment,150932,3866,277,https://www.youtube.com/watch?v=_aa_d0FJ7OU
3,Jojo's ASMR,2015-01-19,506556,108867866,2018-12-05,WARNING: AGGRESSIVE ASMR TAPPING,Entertainment,87408,2698,113,https://www.youtube.com/watch?v=vV4HMKC1Ozc
4,Jojo's ASMR,2015-01-19,506556,108867866,2018-12-03,ASMR to Make You SO Tingly,Entertainment,140399,3673,160,https://www.youtube.com/watch?v=-5MxNZ_Kf_4
5,Jojo's ASMR,2015-01-19,506556,108867866,2018-12-01,Maximum ASMR,Entertainment,167779,5481,194,https://www.youtube.com/watch?v=A8Sfw0WLrYg
6,Jojo's ASMR,2015-01-19,506556,108867866,2018-11-29,the most intense 3DIO ASMR ever,Entertainment,123696,3135,125,https://www.youtube.com/watch?v=187Eio6niVM
7,Jojo's ASMR,2015-01-19,506556,108867866,2018-11-27,This ASMR will make ANYONE Tingle 10000%,Entertainment,198014,4719,246,https://www.youtube.com/watch?v=MefQ7W6x-P0
8,Jojo's ASMR,2015-01-19,506556,108867866,2018-11-25,YOU will fall asleep in 20 minutes to this ASMR video,Entertainment,259700,5084,346,https://www.youtube.com/watch?v=bJlOhVkQ2nM
9,Jojo's ASMR,2015-01-19,506556,108867866,2018-11-23,Best ASMR Trigger Ever (Not Clickbait),Entertainment,130427,3744,195,https://www.youtube.com/watch?v=5vaAlzpq5zQ
10,Jojo's ASMR,2015-01-19,506556,108867866,2018-11-21,ASMR in a Library,Entertainment,111851,4005,113,https://www.youtube.com/watch?v=gWwma8N51Ws
11,Jojo's ASMR,2015-01-19,506556,108867866,2018-11-19,ASMR To Make You SO Sleepy,Entertainment,204096,5145,209,https://www.youtube.com/watch?v=sbGmer4Govs
12,Jojo's ASMR,2015-01-19,506556,108867866,2018-11-17,ASMR for People who Don't get Tingles (Not Clickbait),Entertainment,385067,7549,456,https://www.youtube.com/watch?v=ch7bZ-Bb7ZM
13,Jojo's ASMR,2015-01-19,506556,108867866,2018-11-15,ASMR but it's on a 400 Year Old Clavichord,Entertainment,78322,3756,111,https://www.youtube.com/watch?v=fExtdQaaIso
14,Jojo's ASMR,2015-01-19,506556,108867866,2018-11-13,[ASMR] INTENSE MOUTH SOUNDS,Entertainment,182013,5002,237,https://www.youtube.com/watch?v=PjmPfeMot8Q
15,Jojo's ASMR,2015-01-19,506556,108867866,2018-11-11,UNPREDICTABLE ASMR,Entertainment,121640,4386,164,https://www.youtube.com/watch?v=b7Q00QjiUnI
16,Jojo's ASMR,2015-01-19,506556,108867866,2018-11-09,Extremely Tingly ASMR (2),Entertainment,130473,3278,112,https://www.youtube.com/watch?v=-KuiuwIOySg
17,Jojo's ASMR,2015-01-19,506556,108867866,2018-11-08,99.99% OF YOU WILL FALL ASLEEP TO CARD MAGIC ASMR,Entertainment,138333,4491,144,https://www.youtube.com/watch?v=iiOnew8wS0o
18,Jojo's ASMR,2015-01-19,506556,108867866,2018-11-06,ASMR 100 TRIGGERS IN 10 MINUTES,Entertainment,146152,4287,153,https://www.youtube.com/watch?v=nf_CqqGgOjA
