,Artist,Joined,Subscribers,Total Views,Date,Title,Category,Views,Likes,Dislikes,URL
0,LoungeV Films - Relaxing Music and Nature Sounds,2011-05-30,277242,111616587,2018-11-02,"4K Ultra HD Video - Lakes and Volcanoes, 1 Hour Long with Study Music",Film & Animation,38967,278,8,https://www.youtube.com/watch?v=EstNSjwpqE8
1,LoungeV Films - Relaxing Music and Nature Sounds,2011-05-30,277242,111616587,2018-10-26,"New 4K Video Coming Soon - Lakes and Volcanoes, Ultra HD Video Shot with Mavic 2 Drone",Film & Animation,19875,340,7,https://www.youtube.com/watch?v=eZXFtb35BsQ
2,LoungeV Films - Relaxing Music and Nature Sounds,2011-05-30,277242,111616587,2018-06-17,"🍏 Heavenly Music for Deep Sleeping or Simply Daydreaming, Very Relaxing Sleep Music",Music,172868,1291,73,https://www.youtube.com/watch?v=IKGPqvZYEDQ
3,LoungeV Films - Relaxing Music and Nature Sounds,2011-05-30,277242,111616587,2018-06-12,Distant Ocean Sounds for Deep Sleeping - Empty Beach at Night for Peaceful Sleep,Music,78902,778,39,https://www.youtube.com/watch?v=NvLEUgbl6Gg
4,LoungeV Films - Relaxing Music and Nature Sounds,2011-05-30,277242,111616587,2018-06-10,Sleep with Ocean Sounds at Night - NO MUSIC - Relaxing Rolling Waves for Sleeping,Music,307245,2589,200,https://www.youtube.com/watch?v=5iLESlcQwpk
5,LoungeV Films - Relaxing Music and Nature Sounds,2011-05-30,277242,111616587,2018-06-03,"Sleep Music with Ocean Sounds at Night - Relaxing Video for Sleeping, Waves and Female Vocals",Music,90706,917,45,https://www.youtube.com/watch?v=xaQp-OdQ738
6,LoungeV Films - Relaxing Music and Nature Sounds,2011-05-30,277242,111616587,2018-06-02,4K Video 🌴 Caribbean Nature - Ultra HD 2160p,Film & Animation,46865,444,18,https://www.youtube.com/watch?v=kYTSlfpah7A
7,LoungeV Films - Relaxing Music and Nature Sounds,2011-05-30,277242,111616587,2018-06-01,4K Video ☯ Relaxing Night!,Music,14442,197,4,https://www.youtube.com/watch?v=Al5-Dt6Q15o
8,LoungeV Films - Relaxing Music and Nature Sounds,2011-05-30,277242,111616587,2018-05-08,Sleep Music with Snow Falling Peacefully at Night - Relaxing Music for Sleeping,Music,107403,1059,63,https://www.youtube.com/watch?v=tKh08LeJ66c
9,LoungeV Films - Relaxing Music and Nature Sounds,2011-05-30,277242,111616587,2018-04-04,"Nature Sounds 🌎 Earth's Most Beautiful Places for Study, Meditation - 8 Hours!",Music,280267,2329,67,https://www.youtube.com/watch?v=1gwglom4FeA
10,LoungeV Films - Relaxing Music and Nature Sounds,2011-05-30,277242,111616587,2018-03-05,"Uplifting Study Music with Nature Scenery Video, Chillout Ambient Beats - 4 Hours 80 Tracks",Music,199960,1319,78,https://www.youtube.com/watch?v=O7tYVSP3juo
