,Artist,Joined,Subscribers,Total Views,Date,Title,Category,Views,Likes,Dislikes,URL
0,SeedTime Money,2008-09-18,37948,2099227,2018-12-06,How to buy stock as a gift,Howto & Style,557,78,1,https://www.youtube.com/watch?v=9p5PItR-Efc
1,SeedTime Money,2008-09-18,37948,2099227,2018-12-03,How a Financial Advisor invests his own money,Howto & Style,3332,110,3,https://www.youtube.com/watch?v=9iMlG6FeuKw
2,SeedTime Money,2008-09-18,37948,2099227,2018-11-26,12 Best Side Hustle Ideas for 2019 [That Pay Well],Howto & Style,18895,965,18,https://www.youtube.com/watch?v=iJ-lR2v9n9k
3,SeedTime Money,2008-09-18,37948,2099227,2018-11-20,Ebates Review 2018 (automatic cashback for shopping),Howto & Style,1165,47,2,https://www.youtube.com/watch?v=ron3A9HjJ8k
4,SeedTime Money,2008-09-18,37948,2099227,2018-11-20,Obeying God. It's getting worse...,Howto & Style,2944,229,10,https://www.youtube.com/watch?v=PdaaHCjMbqo
5,SeedTime Money,2008-09-18,37948,2099227,2018-11-15,Lowering your bills with the Trim App,Howto & Style,4089,68,6,https://www.youtube.com/watch?v=rO0vpmelxn0
6,SeedTime Money,2008-09-18,37948,2099227,2018-11-12,Before buying Bitcoin/Crypto (Ask these 4 questions),Howto & Style,752,35,4,https://www.youtube.com/watch?v=Vx0F9SfjEKo
7,SeedTime Money,2008-09-18,37948,2099227,2018-11-05,8 Amazon Savings Hacks,Howto & Style,3667,168,8,https://www.youtube.com/watch?v=XrAqa4Mch-w
8,SeedTime Money,2008-09-18,37948,2099227,2018-10-31,The 5 essential financial tools that I use,Howto & Style,7696,120,15,https://www.youtube.com/watch?v=qm9EOD-OM9U
9,SeedTime Money,2008-09-18,37948,2099227,2018-10-27,Our New Morning Routine with Jesus,Howto & Style,2050,130,5,https://www.youtube.com/watch?v=9t33IzPxLr8
10,SeedTime Money,2008-09-18,37948,2099227,2018-10-23,How to be more generous (5 tips),Howto & Style,936,52,1,https://www.youtube.com/watch?v=Gc5ZD2w-_nk
11,SeedTime Money,2008-09-18,37948,2099227,2018-10-16,11 things to stop paying for!,Howto & Style,129875,4629,387,https://www.youtube.com/watch?v=35-yPE8rbJg
12,SeedTime Money,2008-09-18,37948,2099227,2018-10-09,Is Wealthy Affiliate a Scam or Legit?  (2018 review),Howto & Style,939,22,2,https://www.youtube.com/watch?v=Ghep2LZa-Os
13,SeedTime Money,2008-09-18,37948,2099227,2018-10-09,37 Bible Verses about money and finances,Howto & Style,2830,128,4,https://www.youtube.com/watch?v=balyd_Mqf2o
14,SeedTime Money,2008-09-18,37948,2099227,2018-09-27,How to track Net Worth [FREE tracking tool],Howto & Style,6635,144,12,https://www.youtube.com/watch?v=frYbUtZ3ino
15,SeedTime Money,2008-09-18,37948,2099227,2018-09-27,7 WEIRD things Christians should do with money,Howto & Style,33446,1540,51,https://www.youtube.com/watch?v=xsLOxxQslFw
16,SeedTime Money,2008-09-18,37948,2099227,2018-09-18,My 3-Step Process to save up to 50% on my purchases [Workshop],Howto & Style,3452,119,6,https://www.youtube.com/watch?v=J2nNA0GeNU4
17,SeedTime Money,2008-09-18,37948,2099227,2018-09-11,Should you ever pray for money? 🙏 💵,Howto & Style,2126,175,3,https://www.youtube.com/watch?v=bWSsyP94Hbw
18,SeedTime Money,2008-09-18,37948,2099227,2018-09-04,Fundrise vs. Rental Property (my actual earnings with each),Howto & Style,6144,366,24,https://www.youtube.com/watch?v=8oF7ioCzZEc
19,SeedTime Money,2008-09-18,37948,2099227,2018-08-30,How I save money on organic meat,Howto & Style,6433,430,38,https://www.youtube.com/watch?v=2g-LSh4JSbI
20,SeedTime Money,2008-09-18,37948,2099227,2018-08-27,10 things American Christians should do with their money,Howto & Style,3435,167,11,https://www.youtube.com/watch?v=7I5a7rbz9I4
21,SeedTime Money,2008-09-18,37948,2099227,2018-08-20,How we paid off our debt (case study),Howto & Style,2011,74,8,https://www.youtube.com/watch?v=zRqHO2mTCjk
22,SeedTime Money,2008-09-18,37948,2099227,2018-08-14,Rich Dad Poor Dad Lesson,Howto & Style,3198,121,0,https://www.youtube.com/watch?v=49Xqgju2xPk
23,SeedTime Money,2008-09-18,37948,2099227,2018-08-09,How to invest for beginners (with little money),Howto & Style,237436,6188,498,https://www.youtube.com/watch?v=EVGJvvbdbx8
24,SeedTime Money,2008-09-18,37948,2099227,2018-08-07,Save for retirement or pay off debt?,Howto & Style,6925,72,10,https://www.youtube.com/watch?v=EeiO8AYo4Uo
25,SeedTime Money,2008-09-18,37948,2099227,2018-07-31,How to find unclaimed money (for FREE),Howto & Style,9652,246,16,https://www.youtube.com/watch?v=u4oOjtj-sgg
26,SeedTime Money,2008-09-18,37948,2099227,2018-07-31,How to pay off debt on a low income,Howto & Style,21052,826,29,https://www.youtube.com/watch?v=zyHoqesH544
27,SeedTime Money,2008-09-18,37948,2099227,2018-07-24,5 Biblical Financial Principles Every Christian Should Know!,Howto & Style,5757,392,7,https://www.youtube.com/watch?v=AZQrrBRxMbQ
28,SeedTime Money,2008-09-18,37948,2099227,2018-07-24,Earn $30/hr testing websites [UserTesting Review],Howto & Style,92971,2720,116,https://www.youtube.com/watch?v=ZtuR08XAZi0
29,SeedTime Money,2008-09-18,37948,2099227,2018-07-16,Amazon wants to give you money (for your old stuff),Howto & Style,3522,172,7,https://www.youtube.com/watch?v=U6Ose9AmUk8
30,SeedTime Money,2008-09-18,37948,2099227,2018-07-10,SeedTime: Why Subscribe?,Howto & Style,3328,75,11,https://www.youtube.com/watch?v=tjH0YTDGTwI
