,Artist,Joined,Subscribers,Total Views,Date,Title,Views,Likes,Dislikes,URL
0,Gibi ASMR,2016-06-18,1528493,381687831,2018-12-08,[ASMR] Happy Christmas Song Humming for Sleep ❄️🎄,250580,9942,218,https://www.youtube.com/watch?v=M0xRCrqaffA
1,Gibi ASMR,2016-06-18,1528493,381687831,2018-12-06,"[ASMR] Unwrapping Wooden Triggers ♡ (Soft Spoken, Tapping)",382117,10392,232,https://www.youtube.com/watch?v=doS3YF55xX4
2,Gibi ASMR,2016-06-18,1528493,381687831,2018-12-04,[ASMR] Big Sister Reads You to Sleep During a Thunderstorm (Part 7),200193,6198,134,https://www.youtube.com/watch?v=Fg9mdZvT-_U
3,Gibi ASMR,2016-06-18,1528493,381687831,2018-12-01,"[ASMR] Whispered Farm Simulator Gameplay {Typing, Clicking} *Stardew Valley*",283028,7992,223,https://www.youtube.com/watch?v=U5k9Dff4voY
4,Gibi ASMR,2016-06-18,1528493,381687831,2018-11-29,[ASMR] Ear Massage and Brushing (Whispered Close Up Attention),994743,17942,469,https://www.youtube.com/watch?v=cu3sm0rmDQY
5,Gibi ASMR,2016-06-18,1528493,381687831,2018-11-27,[ASMR] (No Talking) Soft Face and Ear Brushing For Sleep,478922,11956,265,https://www.youtube.com/watch?v=nv7gnnRQvS0
6,Gibi ASMR,2016-06-18,1528493,381687831,2018-11-26,800+ Reese Mountain!! 🧡 ASMR Triggers for Delicious Relaxation | Reese Ritual,715442,15001,882,https://www.youtube.com/watch?v=GYgQrnvzNeo
7,Gibi ASMR,2016-06-18,1528493,381687831,2018-11-24,[ASMR] Daphne Interrogates You | Scooby Doo,599503,18167,538,https://www.youtube.com/watch?v=NrxIxEzyg90
8,Gibi ASMR,2016-06-18,1528493,381687831,2018-11-22,[ASMR] Gibi & Fast ASMR: German 🇩🇪 vs American 🇺🇸 Candy,438149,14139,302,https://www.youtube.com/watch?v=jRY4GAYR4rA
9,Gibi ASMR,2016-06-18,1528493,381687831,2018-11-20,[ASMR] Making a Hand Turkey ♡ Scissor Snipping & Painting,497102,13263,287,https://www.youtube.com/watch?v=s4rAhZ-o2t8
10,Gibi ASMR,2016-06-18,1528493,381687831,2018-11-17,[ASMR] In-Home Eye Exam & Contact Appointment,713141,15107,450,https://www.youtube.com/watch?v=s__lrPUJj24
11,Gibi ASMR,2016-06-18,1528493,381687831,2018-11-15,[ASMR] Soft Spoken Wig Try-On,363633,9612,216,https://www.youtube.com/watch?v=ySbCtJPeo3Y
12,Gibi ASMR,2016-06-18,1528493,381687831,2018-11-13,[ASMR] The Gaming Store 4,934931,20036,542,https://www.youtube.com/watch?v=rH8KWADhriA
13,Gibi ASMR,2016-06-18,1528493,381687831,2018-11-10,Exploring ASMR Objects with an ASMRtist {ft. Angelica},361112,11314,353,https://www.youtube.com/watch?v=2cs5mhZTlYA
14,Gibi ASMR,2016-06-18,1528493,381687831,2018-11-08,[ASMR] Japanese Convenience Store Checkout with Daisy,558506,15599,555,https://www.youtube.com/watch?v=3yzhzBpPg6s
15,Gibi ASMR,2016-06-18,1528493,381687831,2018-11-06,Gibi & Frivvi Take Care of You at a Party [ASMR],978356,36184,809,https://www.youtube.com/watch?v=Mx0Q0ZEzYQY
16,Gibi ASMR,2016-06-18,1528493,381687831,2018-11-04,Slow Cozy Tapping & Scratching | Whispered ASMR for Relaxation,1344877,21714,1101,https://www.youtube.com/watch?v=vZ5R1wr_xO8
17,Gibi ASMR,2016-06-18,1528493,381687831,2018-11-01,[ASMR] Big Sister Reads You to Sleep During a Thunderstorm 6,299950,7453,151,https://www.youtube.com/watch?v=cv3LH8x9yM0
18,Gibi ASMR,2016-06-18,1528493,381687831,2018-10-30,"ASMR Typing on 3 Different Keyboards [Black Widow, Ornata Chroma, Apple]",1930498,31838,1733,https://www.youtube.com/watch?v=_vDHvPd8zaY
19,Gibi ASMR,2016-06-18,1528493,381687831,2018-10-27,[ASMR] Ninja Trials in the Forest (Whispered),794365,22175,511,https://www.youtube.com/watch?v=g0IO0a9cNcY
20,Gibi ASMR,2016-06-18,1528493,381687831,2018-10-25,Mochi Ice Cream & Macarons | ASMR Chat & Eating,920756,21246,1193,https://www.youtube.com/watch?v=6nGeE-18kog
21,Gibi ASMR,2016-06-18,1528493,381687831,2018-10-23,[ASMR] Tracing & Tapping on My Art Collection,421212,10303,219,https://www.youtube.com/watch?v=VsKrXG-j2E0
22,Gibi ASMR,2016-06-18,1528493,381687831,2018-10-20,New Tingly Trigger Items for ASMR (Whispered),829112,15927,407,https://www.youtube.com/watch?v=3lVG6mnCuJw
23,Gibi ASMR,2016-06-18,1528493,381687831,2018-10-18,[ASMR] Cooking with Gibi - Mexican Beef Bowls,349006,8787,365,https://www.youtube.com/watch?v=FQkDEbgIXFo
24,Gibi ASMR,2016-06-18,1528493,381687831,2018-10-16,[ASMR] Whispered Wig Try-On ♡,522946,14509,273,https://www.youtube.com/watch?v=zIYuEOdPNV8
25,Gibi ASMR,2016-06-18,1528493,381687831,2018-10-13,Top Triggers for Sleep and Relaxation ~ 3Dio Style,1152892,20195,613,https://www.youtube.com/watch?v=KyWbYFLT9ys
26,Gibi ASMR,2016-06-18,1528493,381687831,2018-10-11,Not-So-ASMR Bloopers (Part 5) [Adult Language ⚠️],842535,32528,437,https://www.youtube.com/watch?v=_8HiTB_K0jo
27,Gibi ASMR,2016-06-18,1528493,381687831,2018-10-09,Devilish Triggers 😈 Firey Soft Spoken Triggers for Sleep,1336318,30903,789,https://www.youtube.com/watch?v=F7ft3E_VR0o
28,Gibi ASMR,2016-06-18,1528493,381687831,2018-10-06,Angelic Triggers 🕊️ Gentle Sounds & Whispers for Sleep,1359407,27857,612,https://www.youtube.com/watch?v=ot1CdVzQ7Jk
29,Gibi ASMR,2016-06-18,1528493,381687831,2018-10-04,ASMR Equipment Shop - Tingly Items for Sale,619460,12665,336,https://www.youtube.com/watch?v=AR_g0fMaWO8
30,Gibi ASMR,2016-06-18,1528493,381687831,2018-10-02,[ASMR] 🎤 Each Ear Microphone Trigger Test ~ 3DIO & Rode NT1,1186778,19255,566,https://www.youtube.com/watch?v=A-E1Wfqhis4
31,Gibi ASMR,2016-06-18,1528493,381687831,2018-09-29,Sitting Around the Fire with Friends | Long Soundscape/Talking,254763,6635,351,https://www.youtube.com/watch?v=-pVTCbRd7JM
32,Gibi ASMR,2016-06-18,1528493,381687831,2018-09-27,[ASMR] Humming & 3DIO Triggers for Sleep ♡,903285,20584,653,https://www.youtube.com/watch?v=qjwbPRbNbG8
